"","sample1"
"Gly_C0",0.358274999754978
"Gly_C1",0.319939574768155
"Gly_C2",0.321785425476867
"Arg_C0",0.162560705819164
"Arg_C1",0.13820911208639
"Arg_C2",0.139902765438381
"Arg_C3",0.139830277078121
"Arg_C4",0.139832410041131
"Arg_C5",0.13983236440091
"Arg_C6",0.139832365135903
"Asn_C0",0.221801465357961
"Asn_C1",0.193322157203232
"Asn_C2",0.194998164493488
"Asn_C3",0.19493838690183
"Asn_C4",0.194939826043488
"Short_C0",0.343042941963304
"Short_C1",0.328360704044618
"Short_C2",0.328596353992078
