"","sample1"
"Gly_C0",0.354566689775198
"Gly_C1",0.320052616957794
"Gly_C2",0.325380693267008
"Arg_C0",0.157470804995045
"Arg_C1",0.135329706262769
"Arg_C2",0.138469700359369
"Arg_C3",0.139894829190998
"Arg_C4",0.141410050680968
"Arg_C5",0.142939456712643
"Arg_C6",0.144485451798208
"Asn_C0",0.217176227692373
"Asn_C1",0.191338117915661
"Asn_C2",0.195084326866073
"Asn_C3",0.197133855110624
"Asn_C4",0.19926747241527
"Short_C0",0.339411941148411
"Short_C1",0.328398979141443
"Short_C2",0.332189079710146
