"","sample1"
"Gly_C0",0.355041529883656
"Gly_C1",0.316567747748663
"Gly_C2",0.328390722367681
"Arg_C0",0.161163841269841
"Arg_C1",0.136777635796972
"Arg_C2",0.138490828647755
"Arg_C3",0.138416709041824
"Arg_C4",0.138424282788449
"Arg_C5",0.138105342563146
"Arg_C6",0.148621359892013
"Asn_C0",0.219847507669162
"Asn_C1",0.191333941538355
"Asn_C2",0.193031010839712
"Asn_C3",0.19276250568698
"Asn_C4",0.203025034265791
"Short_C0",0.339724190978759
"Short_C1",0.324934350078352
"Short_C2",0.335341458942889
