"","sample1"
"Gly_C0",0.350648933652134
"Gly_C1",0.324101268514059
"Gly_C2",0.325249797833807
"Arg_C0",0.152399531088779
"Arg_C1",0.140861347651557
"Arg_C2",0.141360523074531
"Arg_C3",0.141344326237827
"Arg_C4",0.141344764194547
"Arg_C5",0.141344753763304
"Arg_C6",0.141344753989456
"Asn_C0",0.21245964298017
"Asn_C1",0.196374302584445
"Asn_C2",0.197070201262032
"Asn_C3",0.197047621309725
"Asn_C4",0.197048231863627
"Short_C0",0.335741098006276
"Short_C1",0.332109813504008
"Short_C2",0.332149088489716
