"","sample1"
"Gly_C0",0.347408368846169
"Gly_C1",0.320737944972147
"Gly_C2",0.331853686181684
"Arg_C0",0.150990968053951
"Arg_C1",0.139442695301143
"Arg_C2",0.139947409261757
"Arg_C3",0.139930812942375
"Arg_C4",0.139936519411724
"Arg_C5",0.139621234785797
"Arg_C6",0.150130360243252
"Asn_C0",0.210495970297583
"Asn_C1",0.194396554156528
"Asn_C2",0.195102224967553
"Asn_C3",0.194874030165757
"Asn_C4",0.205131220412578
"Short_C0",0.332420342715091
"Short_C1",0.328686596891996
"Short_C2",0.338893060392913
