"","sample1"
"Asn_C0.N0.H0",113.64313123
"Asn_C0.N0.H1",113.38175203
"Asn_C0.N0.H2",113.38203758
"Asn_C0.N0.H3",113.38203739
"Asn_C0.N0.H4",113.38203739
"Asn_C0.N0.H5",113.38203739
"Asn_C0.N1.H0",112.38851106
"Asn_C0.N1.H1",112.13001748
"Asn_C0.N1.H2",112.13029989
"Asn_C0.N1.H3",112.13029969
"Asn_C0.N1.H4",112.13029969
"Asn_C0.N1.H5",112.13029969
"Asn_C0.N2.H0",112.39312806
"Asn_C0.N2.H1",112.13462387
"Asn_C0.N2.H2",112.13490628
"Asn_C0.N2.H3",112.13490609
"Asn_C0.N2.H4",112.13490609
"Asn_C0.N2.H5",112.13490609
"Asn_C1.N0.H0",99.05135318
"Asn_C1.N0.H1",98.82353507
"Asn_C1.N0.H2",98.82378396
"Asn_C1.N0.H3",98.82378379
"Asn_C1.N0.H4",98.82378379
"Asn_C1.N0.H5",98.82378379
"Asn_C1.N1.H0",97.95782624
"Asn_C1.N1.H1",97.73252324
"Asn_C1.N1.H2",97.73276938
"Asn_C1.N1.H3",97.73276921
"Asn_C1.N1.H4",97.73276921
"Asn_C1.N1.H5",97.73276921
"Asn_C1.N2.H0",97.96185042
"Asn_C1.N2.H1",97.73653816
"Asn_C1.N2.H2",97.73678432
"Asn_C1.N2.H3",97.73678415
"Asn_C1.N2.H4",97.73678415
"Asn_C1.N2.H5",97.73678415
"Asn_C2.N0.H0",99.91007932
"Asn_C2.N0.H1",99.68028613
"Asn_C2.N0.H2",99.68053718
"Asn_C2.N0.H3",99.68053701
"Asn_C2.N0.H4",99.68053701
"Asn_C2.N0.H5",99.68053701
"Asn_C2.N1.H0",98.80707204
"Asn_C2.N1.H1",98.57981578
"Asn_C2.N1.H2",98.58006405
"Asn_C2.N1.H3",98.58006388
"Asn_C2.N1.H4",98.58006388
"Asn_C2.N1.H5",98.58006388
"Asn_C2.N2.H0",98.81113111
"Asn_C2.N2.H1",98.58386551
"Asn_C2.N2.H2",98.58411379
"Asn_C2.N2.H3",98.58411362
"Asn_C2.N2.H4",98.58411362
"Asn_C2.N2.H5",98.58411362
"Asn_C3.N0.H0",99.87945142
"Asn_C3.N0.H1",99.64972868
"Asn_C3.N0.H2",99.64997965
"Asn_C3.N0.H3",99.64997948
"Asn_C3.N0.H4",99.64997948
"Asn_C3.N0.H5",99.64997948
"Asn_C3.N1.H0",98.77678227
"Asn_C3.N1.H1",98.54959568
"Asn_C3.N1.H2",98.54984388
"Asn_C3.N1.H3",98.54984371
"Asn_C3.N1.H4",98.54984371
"Asn_C3.N1.H5",98.54984371
"Asn_C3.N2.H0",98.7808401
"Asn_C3.N2.H1",98.55364416
"Asn_C3.N2.H2",98.55389238
"Asn_C3.N2.H3",98.5538922
"Asn_C3.N2.H4",98.5538922
"Asn_C3.N2.H5",98.5538922
"Asn_C4.N0.H0",99.88018878
"Asn_C4.N0.H1",99.65046435
"Asn_C4.N0.H2",99.65071532
"Asn_C4.N0.H3",99.65071515
"Asn_C4.N0.H4",99.65071515
"Asn_C4.N0.H5",99.65071515
"Asn_C4.N1.H0",98.7775115
"Asn_C4.N1.H1",98.55032322
"Asn_C4.N1.H2",98.55057143
"Asn_C4.N1.H3",98.55057126
"Asn_C4.N1.H4",98.55057126
"Asn_C4.N1.H5",98.55057126
"Asn_C4.N2.H0",98.78156935
"Asn_C4.N2.H1",98.55437174
"Asn_C4.N2.H2",98.55461996
"Asn_C4.N2.H3",98.55461979
"Asn_C4.N2.H4",98.55461979
"Asn_C4.N2.H5",98.55461979
"Arg_C0.N0.O0",117.8601442
"Arg_C0.N0.O1",116.60729086
"Arg_C0.N0.O2",116.56793317
"Arg_C0.N1.O0",115.69151754
"Arg_C0.N1.O1",114.46171671
"Arg_C0.N1.O2",114.4230832
"Arg_C0.N2.O0",115.70747864
"Arg_C0.N2.O1",114.47750814
"Arg_C0.N2.O2",114.43886929
"Arg_C1.N0.O0",100.2046946
"Arg_C1.N0.O1",99.13951869
"Arg_C1.N0.O2",99.10605678
"Arg_C1.N1.O0",98.36092822
"Arg_C1.N1.O1",97.31535155
"Arg_C1.N1.O2",97.28250533
"Arg_C1.N2.O0",98.37449834
"Arg_C1.N2.O1",97.32877742
"Arg_C1.N2.O2",97.29592667
"Arg_C2.N0.O0",101.43263112
"Arg_C2.N0.O1",100.35440225
"Arg_C2.N0.O2",100.32053028
"Arg_C2.N1.O0",99.5662707
"Arg_C2.N1.O1",98.50788125
"Arg_C2.N1.O2",98.47463252
"Arg_C2.N2.O0",99.58000712
"Arg_C2.N2.O1",98.52147164
"Arg_C2.N2.O2",98.48821833
"Arg_C3.N0.O0",101.38007543
"Arg_C3.N0.O1",100.30240523
"Arg_C3.N0.O2",100.26855082
"Arg_C3.N1.O0",99.51468205
"Arg_C3.N1.O1",98.45684098
"Arg_C3.N1.O2",98.42360948
"Arg_C3.N2.O0",99.52841134
"Arg_C3.N2.O1",98.47042433
"Arg_C3.N2.O2",98.43718825
"Arg_C4.N0.O0",101.38162188
"Arg_C4.N0.O1",100.30393524
"Arg_C4.N0.O2",100.27008031
"Arg_C4.N1.O0",99.51620004
"Arg_C4.N1.O1",98.45834284
"Arg_C4.N1.O2",98.42511083
"Arg_C4.N2.O0",99.52992955
"Arg_C4.N2.O1",98.4719264
"Arg_C4.N2.O2",98.43868981
"Arg_C5.N0.O0",101.38158879
"Arg_C5.N0.O1",100.3039025
"Arg_C5.N0.O2",100.27004758
"Arg_C5.N1.O0",99.51616756
"Arg_C5.N1.O1",98.4583107
"Arg_C5.N1.O2",98.4250787
"Arg_C5.N2.O0",99.52989706
"Arg_C5.N2.O1",98.47189425
"Arg_C5.N2.O2",98.43865768
"Arg_C6.N0.O0",101.38158932
"Arg_C6.N0.O1",100.30390303
"Arg_C6.N0.O2",100.27004811
"Arg_C6.N1.O0",99.51616808
"Arg_C6.N1.O1",98.45831121
"Arg_C6.N1.O2",98.42507922
"Arg_C6.N2.O0",99.52989758
"Arg_C6.N2.O1",98.47189477
"Arg_C6.N2.O2",98.43865819
"Short_C0.N0.O0",104.55180039
"Short_C0.N0.O1",103.86907714
"Short_C0.N0.O2",103.83092503
"Short_C0.N1.O0",103.39754852
"Short_C0.N1.O1",102.72236253
