"","sample1"
"Asn_C0.N0.H0",0.0124373162400049
"Asn_C0.N0.H1",0.0124087104128531
"Asn_C0.N0.H2",0.0124087416639777
"Asn_C0.N0.H3",0.0124087416431837
"Asn_C0.N0.H4",0.0124087416431837
"Asn_C0.N0.H5",0.0124087416431837
"Asn_C0.N1.H0",0.0123000082685817
"Asn_C0.N1.H1",0.0122717182490647
"Asn_C0.N1.H2",0.0122717491565418
"Asn_C0.N1.H3",0.0122717491346534
"Asn_C0.N1.H4",0.0122717491346534
"Asn_C0.N1.H5",0.0122717491346534
"Asn_C0.N2.H0",0.0123005135616729
"Asn_C0.N2.H1",0.0122722223809777
"Asn_C0.N2.H2",0.0122722532884549
"Asn_C0.N2.H3",0.0122722532676609
"Asn_C0.N2.H4",0.0122722532676609
"Asn_C0.N2.H5",0.0122722532676609
"Asn_C1.N0.H0",0.0108403648347809
"Asn_C1.N0.H1",0.0108154319959141
"Asn_C1.N0.H2",0.0108154592348999
"Asn_C1.N0.H3",0.0108154592162948
"Asn_C1.N0.H4",0.0108154592162948
"Asn_C1.N0.H5",0.0108154592162948
"Asn_C1.N1.H0",0.0107206872069072
"Asn_C1.N1.H1",0.0106960296263698
"Asn_C1.N1.H2",0.0106960565643905
"Asn_C1.N1.H3",0.0106960565457854
"Asn_C1.N1.H4",0.0106960565457854
"Asn_C1.N1.H5",0.0106960565457854
"Asn_C1.N2.H0",0.010721127620672
"Asn_C1.N2.H1",0.0106964690267029
"Asn_C1.N2.H2",0.0106964959669124
"Asn_C1.N2.H3",0.0106964959483073
"Asn_C1.N2.H4",0.0106964959483073
"Asn_C1.N2.H5",0.0106964959483073
"Asn_C2.N0.H0",0.0109343454251706
"Asn_C2.N0.H1",0.0109091964298649
"Asn_C2.N0.H2",0.0109092239052452
"Asn_C2.N0.H3",0.01090922388664
"Asn_C2.N0.H4",0.01090922388664
"Asn_C2.N0.H5",0.01090922388664
"Asn_C2.N1.H0",0.0108136302512054
"Asn_C2.N1.H1",0.0107887589022505
"Asn_C2.N1.H2",0.0107887860733824
"Asn_C2.N1.H3",0.0107887860547773
"Asn_C2.N1.H4",0.0107887860547773
"Asn_C2.N1.H5",0.0107887860547773
"Asn_C2.N2.H0",0.0108140744833968
"Asn_C2.N2.H1",0.010789202112255
"Asn_C2.N2.H2",0.0107892292844812
"Asn_C2.N2.H3",0.0107892292658761
"Asn_C2.N2.H4",0.0107892292658761
"Asn_C2.N2.H5",0.0107892292658761
"Asn_C3.N0.H0",0.0109309934506699
"Asn_C3.N0.H1",0.0109058521655436
"Asn_C3.N0.H2",0.0109058796321685
"Asn_C3.N0.H3",0.0109058796135634
"Asn_C3.N0.H4",0.0109058796135634
"Asn_C3.N0.H5",0.0109058796135634
"Asn_C3.N1.H0",0.0108103152822825
"Asn_C3.N1.H1",0.0107854515581424
"Asn_C3.N1.H2",0.0107854787216133
"Asn_C3.N1.H3",0.0107854787030082
"Asn_C3.N1.H4",0.0107854787030082
"Asn_C3.N1.H5",0.0107854787030082
"Asn_C3.N2.H0",0.010810759378766
"Asn_C3.N2.H1",0.0107858946313445
