"","sample1"
"Asn_C0.N0.H0",100.000000001488
"Asn_C0.N0.H1",99.7814748727045
"Asn_C0.N0.H2",99.7932023889142
"Asn_C0.N0.H3",99.8046797598581
"Asn_C0.N0.H4",99.8161586180992
"Asn_C0.N0.H5",99.8276387965608
"Asn_C0.N1.H0",99.2612815163777
"Asn_C0.N1.H1",99.0443706674877
"Asn_C0.N1.H2",99.0560115613844
"Asn_C0.N1.H3",99.0674041361799
"Asn_C0.N1.H4",99.0787981979727
"Asn_C0.N1.H5",99.0901935702333
"Asn_C0.N2.H0",99.6320050189176
"Asn_C0.N2.H1",99.414284054063
"Asn_C0.N2.H2",99.425968414374
"Asn_C0.N2.H3",99.4374035473158
"Asn_C0.N2.H4",99.4488401639346
"Asn_C0.N2.H5",99.4602780959157
"Asn_C1.N0.H0",88.1026988792452
"Asn_C1.N0.H1",87.9101723437006
"Asn_C1.N0.H2",87.9205046061031
"Asn_C1.N0.H3",87.930616475754
"Asn_C1.N0.H4",87.9407296596648
"Asn_C1.N0.H5",87.9508440067256
"Asn_C1.N1.H0",87.4518679569056
"Asn_C1.N1.H1",87.2607636487386
"Asn_C1.N1.H2",87.2710195827954
"Asn_C1.N1.H3",87.2810567525195
"Asn_C1.N1.H4",87.2910952284708
"Asn_C1.N1.H5",87.3011348589796
"Asn_C1.N2.H0",87.7784853705275
"Asn_C1.N2.H1",87.5866673173021
"Asn_C1.N2.H2",87.5969615643389
"Asn_C1.N2.H3",87.6070362211412
"Asn_C1.N2.H4",87.6171121890429
"Asn_C1.N2.H5",87.6271893158142
"Asn_C2.N0.H0",89.8276615918893
"Asn_C2.N0.H1",89.6313655704679
"Asn_C2.N0.H2",89.6419001302523
"Asn_C2.N0.H3",89.6522099815205
"Asn_C2.N0.H4",89.6625211714552
"Asn_C2.N0.H5",89.6728335473131
"Asn_C2.N1.H0",89.1640880480591
"Asn_C2.N1.H1",88.9692421135282
"Asn_C2.N1.H2",88.979698844984
"Asn_C2.N1.H3",88.989932533781
"Asn_C2.N1.H4",89.0001675530496
"Asn_C2.N1.H5",89.0104037494808
"Asn_C2.N2.H0",89.4971003060365
"Asn_C2.N2.H1",89.3015266523042
"Asn_C2.N2.H2",89.3120224376405
"Asn_C2.N2.H3",89.3222943474793
"Asn_C2.N2.H4",89.3325675927525
"Asn_C2.N2.H5",89.3428420195848
"Asn_C3.N0.H0",90.7713782512765
"Asn_C3.N0.H1",90.5730199770201
"Asn_C3.N0.H2",90.5836652086316
"Asn_C3.N0.H3",90.5940833736865
"Asn_C3.N0.H4",90.604502891519
"Asn_C3.N0.H5",90.6149236077339
"Asn_C3.N1.H0",90.1008332961658
"Asn_C3.N1.H1",89.9039403411349
"Asn_C3.N1.H2",89.9145069351
"Asn_C3.N1.H3",89.9248481375319
"Asn_C3.N1.H4",89.9351906844606
"Asn_C3.N1.H5",89.945534420919
"Asn_C3.N2.H0",90.4373441376005
"Asn_C3.N2.H1",90.2397158062881
"Asn_C3.N2.H2",90.250321873608
"Asn_C3.N2.H3",90.2607016894681
"Asn_C3.N2.H4",90.2710828639974
"Asn_C3.N2.H5",90.2814652324992
"Asn_C4.N0.H0",91.7538141826857
"Asn_C4.N0.H1",91.5533090444584
"Asn_C4.N0.H2",91.5640694897392
"Asn_C4.N0.H3",91.5746004125822
"Asn_C4.N0.H4",91.585132702843
"Asn_C4.N0.H5",91.5956662044565
"Asn_C4.N1.H0",91.0760118013328
"Asn_C4.N1.H1",90.8769878245164
"Asn_C4.N1.H2",90.8876687902747
"Asn_C4.N1.H3",90.8981219175137
"Asn_C4.N1.H4",90.9085764038002
"Asn_C4.N1.H5",90.9190320924908
"Asn_C4.N2.H0",91.4161647545777
"Asn_C4.N2.H1",91.2163974608921
"Asn_C4.N2.H2",91.2271183180052
"Asn_C4.N2.H3",91.2376104858506
"Asn_C4.N2.H4",91.2481040178126
"Asn_C4.N2.H5",91.2585987566696
"Arg_C0.N0.O0",100.000000001914
"Arg_C0.N0.O1",99.1780025420011
"Arg_C0.N0.O2",99.3860357115411
"Arg_C0.N1.O0",98.5225630281209
"Arg_C0.N1.O1",97.7127100698367
"Arg_C0.N1.O2",97.9176696791477
"Arg_C0.N2.O0",98.9001078517913
"Arg_C0.N2.O1",98.0871514816692
"Arg_C0.N2.O2",98.2928965008237
"Arg_C1.N0.O0",85.9395532220881
"Arg_C1.N0.O1",85.2331322772805
"Arg_C1.N0.O2",85.4119150520422
"Arg_C1.N1.O0",84.6698504931654
"Arg_C1.N1.O1",83.9738664753574
"Arg_C1.N1.O2",84.1500078394108
"Arg_C1.N2.O0",84.9943108216168
"Arg_C1.N2.O1",84.2956597484859
"Arg_C1.N2.O2",84.4724760989516
"Arg_C2.N0.O0",87.933569883935
"Arg_C2.N0.O1",87.2107581774044
"Arg_C2.N0.O2",87.3936891609351
"Arg_C2.N1.O0",86.6344068087184
"Arg_C2.N1.O1",85.9222741972025
"Arg_C2.N1.O2",86.1025024870452
"Arg_C2.N2.O0",86.9663954506164
"Arg_C2.N2.O1",86.2515338905625
"Arg_C2.N2.O2",86.43245283304
"Arg_C3.N0.O0",88.8385813361754
"Arg_C3.N0.O1",88.1083304611882
"Arg_C3.N0.O2",88.2931441772556
"Arg_C3.N1.O0",87.5260473005892
"Arg_C3.N1.O1",86.8065854205242
"Arg_C3.N1.O2",86.9886686205925
"Arg_C3.N2.O0",87.8614527552275
"Arg_C3.N2.O1",87.1392338529481
"Arg_C3.N2.O2",87.3220148117488
"Arg_C4.N0.O0",89.8008050929255
"Arg_C4.N0.O1",89.0626447620772
"Arg_C4.N0.O2",89.2494602195248
"Arg_C4.N1.O0",88.4740548031873
"Arg_C4.N1.O1",87.7468003311464
"Arg_C4.N1.O2",87.9308556984121
"Arg_C4.N2.O0",88.813093093114
"Arg_C4.N2.O1",88.083051730235
"Arg_C4.N2.O2",88.2678124138192
"Arg_C5.N0.O0",90.7720365741375
"Arg_C5.N0.O1",90.0258927436809
"Arg_C5.N0.O2",90.2147286837745
"Arg_C5.N1.O0",89.4309369525036
"Arg_C5.N1.O1",88.6958169288807
"Arg_C5.N1.O2",88.8818629274923
"Arg_C5.N2.O0",89.7736420716252
"Arg_C5.N2.O1",89.0357050157568
"Arg_C5.N2.O2",89.2224639680112
"Arg_C6.N0.O0",91.7538027379695
