"","sample1"
"Asn_C0.N0.H0",0.0121297685763858
"Asn_C0.N0.H1",0.0121032619839835
"Asn_C0.N0.H2",0.0121046845045595
"Asn_C0.N0.H3",0.0121060766830936
"Asn_C0.N0.H4",0.0121074690420334
"Asn_C0.N0.H5",0.012108861561113
"Asn_C0.N1.H0",0.0120401637337123
"Asn_C0.N1.H1",0.0120138529497252
"Asn_C0.N1.H2",0.0120152649632151
"Asn_C0.N1.H3",0.0120166468561727
"Asn_C0.N1.H4",0.0120180289294996
"Asn_C0.N1.H5",0.0120194111617832
"Asn_C0.N2.H0",0.012085131636628
"Asn_C0.N2.H1",0.0120587225874492
"Asn_C0.N2.H2",0.0120601398733146
"Asn_C0.N2.H3",0.0120615269284768
"Asn_C0.N2.H4",0.0120629141636056
"Asn_C0.N2.H5",0.0120643015582848
"Asn_C1.N0.H0",0.0106866534834435
"Asn_C1.N0.H1",0.0106633004602341
"Asn_C1.N0.H2",0.0106645537397522
"Asn_C1.N0.H3",0.0106657802861396
"Asn_C1.N0.H4",0.0106670069919437
"Asn_C1.N0.H5",0.0106682338388352
"Asn_C1.N1.H0",0.0106077091987413
"Asn_C1.N1.H1",0.0105845286884215
"Asn_C1.N1.H2",0.0105857727094879
"Asn_C1.N1.H3",0.010586990194947
"Asn_C1.N1.H4",0.0105882078388485
"Asn_C1.N1.H5",0.0105894256227951
"Asn_C1.N2.H0",0.0106473271351432
"Asn_C1.N2.H1",0.0106240600491996
"Asn_C1.N2.H2",0.0106253087175418
"Asn_C1.N2.H3",0.0106265307500968
"Asn_C1.N2.H4",0.0106277529416851
"Asn_C1.N2.H5",0.0106289752738416
"Asn_C2.N0.H0",0.010895887468513
"Asn_C2.N0.H1",0.0108720772153903
"Asn_C2.N0.H2",0.0108733550331127
"Asn_C2.N0.H3",0.0108746055942121
"Asn_C2.N0.H4",0.0108758563176886
"Asn_C2.N0.H5",0.0108771071850149
"Asn_C2.N1.H0",0.0108153975333135
"Asn_C2.N1.H1",0.0107917631723748
"Asn_C2.N1.H2",0.010793031549701
"Asn_C2.N1.H3",0.0107942728724689
"Asn_C2.N1.H4",0.0107955143566199
"Asn_C2.N1.H5",0.010796755983558
"Asn_C2.N2.H0",0.0108557911495366
"Asn_C2.N2.H1",0.0108320685179428
"Asn_C2.N2.H2",0.0108333416324144
"Asn_C2.N2.H3",0.0108345875913062
"Asn_C2.N2.H4",0.0108358337121831
"Asn_C2.N2.H5",0.0108370799763804
"Asn_C3.N0.H0",0.0110103581153118
"Asn_C3.N0.H1",0.0109862977156927
"Asn_C3.N0.H2",0.0109875889576516
"Asn_C3.N0.H3",0.0109888526569627
"Asn_C3.N0.H4",0.0109901165203625
"Asn_C3.N0.H5",0.0109913805291234
"Asn_C3.N1.H0",0.0109290225640575
"Asn_C3.N1.H1",0.0109051399042694
"Asn_C3.N1.H2",0.0109064216076637
"Asn_C3.N1.H3",0.0109076759715867
"Asn_C3.N1.H4",0.010908930498594
"Asn_C3.N1.H5",0.0109101851698886
"Asn_C3.N2.H0",0.0109698405503573
"Asn_C3.N2.H1",0.0109458686911281
"Asn_C3.N2.H2",0.0109471551825491
"Asn_C3.N2.H3",0.0109484142301915
"Asn_C3.N2.H4",0.0109496734426374
"Asn_C3.N2.H5",0.0109509327999094
"Asn_C4.N0.H0",0.0111295253202012
"Asn_C4.N0.H1",0.0111052045109509
"Asn_C4.N0.H2",0.0111065097280612
"Asn_C4.N0.H3",0.011107787104631
"Asn_C4.N0.H4",0.0111090646470654
"Asn_C4.N0.H5",0.0111103423364341
"Asn_C4.N1.H0",0.0110473094599391
"Asn_C4.N1.H1",0.0110231683121401
"Asn_C4.N1.H2",0.0110244638885683
"Asn_C4.N1.H3",0.0110257318287114
"Asn_C4.N1.H4",0.0110269999337038
"Asn_C4.N1.H5",0.011028268184545
"Asn_C4.N2.H0",0.0110885692259728
"Asn_C4.N2.H1",0.0110643379155578
"Asn_C4.N2.H2",0.011065638330715
"Asn_C4.N2.H3",0.0110669110063933
"Asn_C4.N2.H4",0.0110681838475358
"Asn_C4.N2.H5",0.0110694568350718
"Arg_C0.N0.O0",0.017733255938038
"Arg_C0.N0.O1",0.0175874890246702
"Arg_C0.N0.O2",0.01762438007906
"Arg_C0.N1.O0",0.017471258258157
"Arg_C0.N1.O1",0.0173276449603455
"Arg_C0.N1.O2",0.0173639909724335
