"","sample1"
"Asn_C0.N0.H0",110.4112068
"Asn_C0.N0.H1",110.15469599
"Asn_C0.N0.H2",110.1549615
"Asn_C0.N0.H3",110.15730216
"Asn_C0.N0.H4",109.9817577
"Asn_C0.N0.H5",117.00272884
"Asn_C0.N1.H0",109.14594421
"Asn_C0.N1.H1",108.8923729
"Asn_C0.N1.H2",108.89263537
"Asn_C0.N1.H3",108.89494921
"Asn_C0.N1.H4",108.7214164
"Asn_C0.N1.H5",115.66193038
"Asn_C0.N2.H0",112.53916601
"Asn_C0.N2.H1",112.27771145
"Asn_C0.N2.H2",112.27798208
"Asn_C0.N2.H3",112.28036786
"Asn_C0.N2.H4",112.10144012
"Asn_C0.N2.H5",119.25772669
"Asn_C1.N0.H0",96.09120254
"Asn_C1.N0.H1",95.86796041
"Asn_C1.N0.H2",95.86819149
"Asn_C1.N0.H3",95.87022858
"Asn_C1.N0.H4",95.7174517
"Asn_C1.N0.H5",101.82782383
"Asn_C1.N1.H0",94.99004074
"Asn_C1.N1.H1",94.76935686
"Asn_C1.N1.H2",94.76958529
"Asn_C1.N1.H3",94.77159903
"Asn_C1.N1.H4",94.62057291
"Asn_C1.N1.H5",100.66092293
"Asn_C1.N2.H0",97.94317178
"Asn_C1.N2.H1",97.7156271
"Asn_C1.N2.H2",97.71586263
"Asn_C1.N2.H3",97.71793898
"Asn_C1.N2.H4",97.56221763
"Asn_C1.N2.H5",103.79035518
"Asn_C2.N0.H0",96.94349999
"Asn_C2.N0.H1",96.71827778
"Asn_C2.N0.H2",96.7185109
"Asn_C2.N0.H3",96.72056606
"Asn_C2.N0.H4",96.56643411
"Asn_C2.N0.H5",102.73100323
"Asn_C2.N1.H0",95.83257124
"Asn_C2.N1.H1",95.60992998
"Asn_C2.N1.H2",95.61016043
"Asn_C2.N1.H3",95.61219203
"Asn_C2.N1.H4",95.45982636
"Asn_C2.N1.H5",101.5537523
"Asn_C2.N2.H0",98.81189559
"Asn_C2.N2.H1",98.58233267
"Asn_C2.N2.H2",98.58257028
"Asn_C2.N2.H3",98.58466505
"Asn_C2.N2.H4",98.4275625
