"","sample1"
"Asn_C0.N0.H0",0.0120836084025084
"Asn_C0.N0.H1",0.0120555353810382
"Asn_C0.N0.H2",0.0120555644389478
"Asn_C0.N0.H3",0.0120558206051438
"Asn_C0.N0.H4",0.0120366086920297
"Asn_C0.N0.H5",0.0128049968685555
"Asn_C0.N1.H0",0.0119451357047903
"Asn_C0.N1.H1",0.0119173843876826
"Asn_C0.N1.H2",0.011917413112889
"Asn_C0.N1.H3",0.0119176663438542
"Asn_C0.N1.H4",0.011898674589468
"Asn_C0.N1.H5",0.0126582573843411
"Asn_C0.N2.H0",0.0123164962273533
"Asn_C0.N2.H1",0.0122878821526624
"Asn_C0.N2.H2",0.0122879117709143
"Asn_C0.N2.H3",0.0122881728751273
"Asn_C0.N2.H4",0.0122685906895397
"Asn_C0.N2.H5",0.0130517880391045
"Asn_C1.N0.H0",0.0105164004277461
"Asn_C1.N0.H1",0.0104919683926652
"Asn_C1.N0.H2",0.0104919936824914
"Asn_C1.N0.H3",0.0104922166254204
"Asn_C1.N0.H4",0.0104754964387258
"Asn_C1.N0.H5",0.0111442269612194
"Asn_C1.N1.H0",0.0103958872265535
"Asn_C1.N1.H1",0.0103717351711241
"Asn_C1.N1.H2",0.0103717601709293
"Asn_C1.N1.H3",0.0103719805583908
"Asn_C1.N1.H4",0.0103554519781359
"Asn_C1.N1.H5",0.0110165191503115
"Asn_C1.N2.H0",0.0107190833955194
"Asn_C1.N2.H1",0.0106941804813417
"Asn_C1.N2.H2",0.0106942062581842
"Asn_C1.N2.H3",0.0106944334978008
"Asn_C1.N2.H4",0.0106773910628176
"Asn_C1.N2.H5",0.0113590100525229
"Asn_C2.N0.H0",0.0106096774503124
"Asn_C2.N0.H1",0.0105850287115832
"Asn_C2.N0.H2",0.0105850542246708
"Asn_C2.N0.H3",0.0105852791452143
"Asn_C2.N0.H4",0.0105684106571315
"Asn_C2.N0.H5",0.0112430725992948
"Asn_C2.N1.H0",0.0104880953358953
"Asn_C2.N1.H1",0.0104637290611479
"Asn_C2.N1.H2",0.0104637542820257
"Asn_C2.N1.H3",0.0104639766241189
"Asn_C2.N1.H4",0.0104473014410136
"Asn_C2.N1.H5",0.0111142320617995
"Asn_C2.N2.H0",0.0108141581495612
"Asn_C2.N2.H1",0.0107890343554337
"Asn_C2.N2.H2",0.0107890603599152
"Asn_C2.N2.H3",0.010789289615451
"Asn_C2.N2.H4",0.0107720960193637
"Asn_C2.N2.H5",0.0114597607462388
"Asn_C3.N0.H0",0.0105949194435343
"Asn_C3.N0.H1",0.0105703049907526
"Asn_C3.N0.H2",0.0105703304688188
"Asn_C3.N0.H3",0.0105705550763586
"Asn_C3.N0.H4",0.0105537100515172
"Asn_C3.N0.H5",0.0112274335428201
"Asn_C3.N1.H0",0.0104735064496313
"Asn_C3.N1.H1",0.0104491740668407
"Asn_C3.N1.H2",0.0104491992526971
"Asn_C3.N1.H3",0.0104494212861643
"Asn_C3.N1.H4",0.0104327692981679
"Asn_C3.N1.H5",0.0110987722218511
"Asn_C3.N2.H0",0.0107991157110366
"Asn_C3.N2.H1",0.0107740268638854
"Asn_C3.N2.H2",0.0107740528322511
"Asn_C3.N2.H3",0.0107742817682167
"Asn_C3.N2.H4",0.0107571120895546
"Asn_C3.N2.H5",0.0114438202770178
"Asn_C4.N0.H0",0.0111589848629334
"Asn_C4.N0.H1",0.0111330599554476
"Asn_C4.N0.H2",0.0111330867894985
"Asn_C4.N0.H3",0.0111333233546565
"Asn_C4.N0.H4",0.0111155815139235
"Asn_C4.N0.H5",0.0118251735291612
"Asn_C4.N1.H0",0.0110311079337001
"Asn_C4.N1.H1",0.0110054801138181
"Asn_C4.N1.H2",0.0110055066403373
"Asn_C4.N1.H3",0.0110057404946203
"Asn_C4.N1.H4",0.0109882019673234
"Asn_C4.N1.H5",0.0116896623786566
"Asn_C4.N2.H0",0.0113740523837945
