"","sample1"
"Asn_C0.N0.H0",97.1560758724468
"Asn_C0.N0.H1",95.9740999148104
"Asn_C0.N0.H2",95.0272821810984
"Asn_C0.N0.H3",94.0913590042152
"Asn_C0.N0.H4",93.0139958506205
"Asn_C0.N0.H5",97.9746731084984
"Asn_C0.N1.H0",95.4370397209489
"Asn_C0.N1.H1",94.2759771188958
"Asn_C0.N1.H2",93.3459119569147
"Asn_C0.N1.H3",92.426548588542
"Asn_C0.N1.H4",91.3682478080216
"Asn_C0.N1.H5",96.2411530612656
"Asn_C0.N2.H0",97.7762087205826
"Asn_C0.N2.H1",96.5866883786786
"Asn_C0.N2.H2",95.6338272500156
"Asn_C0.N2.H3",94.6919302211644
"Asn_C0.N2.H4",93.607690413672
"Asn_C0.N2.H5",98.6000309380002
"Asn_C1.N0.H0",84.7074931473862
"Asn_C1.N0.H1",83.6769634554929
"Asn_C1.N0.H2",82.8514612367953
"Asn_C1.N0.H3",82.0354576587499
"Asn_C1.N0.H4",81.0961367547061
"Asn_C1.N0.H5",85.4212037340025
"Asn_C1.N1.H0",83.2087166553658
"Asn_C1.N1.H1",82.1964206913685
"Asn_C1.N1.H2",81.3855245380403
"Asn_C1.N1.H3",80.5839589573472
"Asn_C1.N1.H4",79.661257982288
"Asn_C1.N1.H5",83.9097991579051
"Asn_C1.N2.H0",85.2481685295075
"Asn_C1.N2.H1",84.211061122408
"Asn_C1.N2.H2",83.380289842205
"Asn_C1.N2.H3",82.559077833416
"Asn_C1.N2.H4",81.6137613868276
"Asn_C1.N2.H5",85.9664346245221
"Asn_C2.N0.H0",85.5939878589793
"Asn_C2.N0.H1",84.5526733031168
"Asn_C2.N0.H2",83.7185318952338
"Asn_C2.N0.H3",82.8939885445657
"Asn_C2.N0.H4",81.9448373149749
"Asn_C2.N0.H5",86.3151676869345
"Asn_C2.N1.H0",84.0795261208193
"Asn_C2.N1.H1",83.05663612343
"Asn_C2.N1.H2",82.2372536417406
"Asn_C2.N1.H3",81.4272993847863
"Asn_C2.N1.H4",80.4949420103811
"Asn_C2.N1.H5",84.7879457110105
"Asn_C2.N2.H0",86.1403216057666
"Asn_C2.N2.H1",85.0923604983704
"Asn_C2.N2.H2",84.2528948868753
"Asn_C2.N2.H3",83.4230885988017
"Asn_C2.N2.H4",82.4678790696525
"Asn_C2.N2.H5",86.8661046174412
"Asn_C3.N0.H0",85.5914138368633
"Asn_C3.N0.H1",84.5501305933251
"Asn_C3.N0.H2",83.7160142738548
"Asn_C3.N0.H3",82.8914957181245
"Asn_C3.N0.H4",81.9423730261138
"Asn_C3.N0.H5",86.3125719748482
"Asn_C3.N1.H0",84.0769976456565
"Asn_C3.N1.H1",83.0541383978805
"Asn_C3.N1.H2",82.2347805575966
"Asn_C3.N1.H3",81.4248506631045
"Asn_C3.N1.H4",80.4925213271194
"Asn_C3.N1.H5",84.7853959262749
"Asn_C3.N2.H0",86.1377311528896
"Asn_C3.N2.H1",85.0898015595504
"Asn_C3.N2.H2",84.2503611933133
"Asn_C3.N2.H3",83.4205798543318
"Asn_C3.N2.H4",82.4653990601161
"Asn_C3.N2.H5",86.8634923324336
"Asn_C4.N0.H0",90.2513861713906
"Asn_C4.N0.H1",89.1534108963132
"Asn_C4.N0.H2",88.2738816189059
"Asn_C4.N0.H3",87.4044726507422
"Asn_C4.N0.H4",86.4036755554243
"Asn_C4.N0.H5",91.0118073196258
"Asn_C4.N1.H0",88.6545185119981
"Asn_C4.N1.H1",87.5759703192771
"Asn_C4.N1.H2",86.7120030393189
"Asn_C4.N1.H3",85.8579770050105
"Asn_C4.N1.H4",84.874887565485
"Asn_C4.N1.H5",89.4014851094614
"Asn_C4.N2.H0",90.8274474007954
"Asn_C4.N2.H1",89.7224639147144
"Asn_C4.N2.H2",88.8373207359928
"Asn_C4.N2.H3",87.9623624592535
"Asn_C4.N2.H4",86.9551774248116
"Asn_C4.N2.H5",91.5927222081205
"Arg_C0.N0.O0",97.1905828214597
"Arg_C0.N0.O1",95.394090674869
"Arg_C0.N0.O2",97.573513186021
"Arg_C0.N1.O0",94.7602360514023
"Arg_C0.N1.O1",93.0086669664416
"Arg_C0.N1.O2",95.1335908644226
"Arg_C0.N2.O0",97.0996611069723
"Arg_C0.N2.O1",95.304849570779
"Arg_C0.N2.O2",97.482233237172
"Arg_C1.N0.O0",82.6509482560523
"Arg_C1.N0.O1",81.1232099164878
"Arg_C1.N0.O2",82.9765925369748
"Arg_C1.N1.O0",80.5841794523839
"Arg_C1.N1.O1",79.0946437190245
"Arg_C1.N1.O2",80.9016806717114
"Arg_C1.N2.O0",82.5736283607484
"Arg_C1.N2.O1",81.0473192186579
"Arg_C1.N2.O2",82.8989680035022
"Arg_C2.N0.O0",83.8368240841609
"Arg_C2.N0.O1",82.2871657547732
"Arg_C2.N0.O2",84.1671407107337
"Arg_C2.N1.O0",81.7404012752648
"Arg_C2.N1.O1",80.2294936857317
"Arg_C2.N1.O2",82.0624580027083
"Arg_C2.N2.O0",83.7583947964221
"Arg_C2.N2.O1",82.2101861687679
"Arg_C2.N2.O2",84.0884024145062
"Arg_C3.N0.O0",83.9244337469095
"Arg_C3.N0.O1",82.3731560232626
