"","sample1"
"Asn_C0.N0.H0",107.99488611
"Asn_C0.N0.H1",107.82099434
"Asn_C0.N0.H2",107.82114434
"Asn_C0.N0.H3",107.82114425
"Asn_C0.N0.H4",107.82114425
"Asn_C0.N0.H5",107.82114425
"Asn_C0.N1.H0",107.99488611
"Asn_C0.N1.H1",107.82099434
"Asn_C0.N1.H2",107.82114434
"Asn_C0.N1.H3",107.82114425
"Asn_C0.N1.H4",107.82114425
"Asn_C0.N1.H5",107.82114425
"Asn_C0.N2.H0",107.99488611
"Asn_C0.N2.H1",107.82099434
"Asn_C0.N2.H2",107.82114434
"Asn_C0.N2.H3",107.82114425
"Asn_C0.N2.H4",107.82114425
"Asn_C0.N2.H5",107.82114425
"Asn_C1.N0.H0",99.81858269
"Asn_C1.N0.H1",99.65785629
"Asn_C1.N0.H2",99.65799493
"Asn_C1.N0.H3",99.65799485
"Asn_C1.N0.H4",99.65799485
"Asn_C1.N0.H5",99.65799485
"Asn_C1.N1.H0",99.81858269
"Asn_C1.N1.H1",99.65785629
"Asn_C1.N1.H2",99.65799493
"Asn_C1.N1.H3",99.65799485
"Asn_C1.N1.H4",99.65799485
"Asn_C1.N1.H5",99.65799485
"Asn_C1.N2.H0",99.81858269
"Asn_C1.N2.H1",99.65785629
"Asn_C1.N2.H2",99.65799493
"Asn_C1.N2.H3",99.65799485
"Asn_C1.N2.H4",99.65799485
"Asn_C1.N2.H5",99.65799485
"Asn_C2.N0.H0",100.1723134
"Asn_C2.N0.H1",100.01101742
"Asn_C2.N0.H2",100.01115656
"Asn_C2.N0.H3",100.01115647
"Asn_C2.N0.H4",100.01115647
"Asn_C2.N0.H5",100.01115647
"Asn_C2.N1.H0",100.1723134
"Asn_C2.N1.H1",100.01101742
"Asn_C2.N1.H2",100.01115656
"Asn_C2.N1.H3",100.01115647
"Asn_C2.N1.H4",100.01115647
"Asn_C2.N1.H5",100.01115647
"Asn_C2.N2.H0",100.1723134
"Asn_C2.N2.H1",100.01101742
"Asn_C2.N2.H2",100.01115656
"Asn_C2.N2.H3",100.01115647
"Asn_C2.N2.H4",100.01115647
"Asn_C2.N2.H5",100.01115647
"Asn_C3.N0.H0",100.16083583
"Asn_C3.N0.H1",99.99955834
"Asn_C3.N0.H2",99.99969746
"Asn_C3.N0.H3",99.99969737
"Asn_C3.N0.H4",99.99969737
"Asn_C3.N0.H5",99.99969737
"Asn_C3.N1.H0",100.16083583
"Asn_C3.N1.H1",99.99955834
"Asn_C3.N1.H2",99.99969746
"Asn_C3.N1.H3",99.99969737
"Asn_C3.N1.H4",99.99969737
"Asn_C3.N1.H5",99.99969737
"Asn_C3.N2.H0",100.16083583
"Asn_C3.N2.H1",99.99955834
"Asn_C3.N2.H2",99.99969746
"Asn_C3.N2.H3",99.99969737
"Asn_C3.N2.H4",99.99969737
"Asn_C3.N2.H5",99.99969737
"Asn_C4.N0.H0",100.16114618
"Asn_C4.N0.H1",99.99986818
"Asn_C4.N0.H2",100.0000073
"Asn_C4.N0.H3",100.00000722
"Asn_C4.N0.H4",100.00000722
