"","sample1"
"Asn_C0.N0.H0",100.000000002889
"Asn_C0.N0.H1",99.838981480375
"Asn_C0.N0.H2",99.8391203758407
"Asn_C0.N0.H3",99.8391202925034
"Asn_C0.N0.H4",99.8391202925034
"Asn_C0.N0.H5",99.8391202925034
"Asn_C0.N1.H0",100.000000002889
"Asn_C0.N1.H1",99.838981480375
"Asn_C0.N1.H2",99.8391203758407
"Asn_C0.N1.H3",99.8391202925034
"Asn_C0.N1.H4",99.8391202925034
"Asn_C0.N1.H5",99.8391202925034
"Asn_C0.N2.H0",100.000000002889
"Asn_C0.N2.H1",99.838981480375
"Asn_C0.N2.H2",99.8391203758407
"Asn_C0.N2.H3",99.8391202925034
"Asn_C0.N2.H4",99.8391202925034
"Asn_C0.N2.H5",99.8391202925034
"Asn_C1.N0.H0",92.4289901942318
"Asn_C1.N0.H1",92.280162406367
"Asn_C1.N0.H2",92.2802907828161
"Asn_C1.N0.H3",92.2802907087385
"Asn_C1.N0.H4",92.2802907087385
"Asn_C1.N0.H5",92.2802907087385
"Asn_C1.N1.H0",92.4289901942318
"Asn_C1.N1.H1",92.280162406367
"Asn_C1.N1.H2",92.2802907828161
"Asn_C1.N1.H3",92.2802907087385
"Asn_C1.N1.H4",92.2802907087385
"Asn_C1.N1.H5",92.2802907087385
"Asn_C1.N2.H0",92.4289901942318
"Asn_C1.N2.H1",92.280162406367
"Asn_C1.N2.H2",92.2802907828161
"Asn_C1.N2.H3",92.2802907087385
"Asn_C1.N2.H4",92.2802907087385
"Asn_C1.N2.H5",92.2802907087385
"Asn_C2.N0.H0",92.7565341389052
"Asn_C2.N0.H1",92.607178937178
"Asn_C2.N0.H2",92.607307776612
"Asn_C2.N0.H3",92.6073076932747
"Asn_C2.N0.H4",92.6073076932747
"Asn_C2.N0.H5",92.6073076932747
"Asn_C2.N1.H0",92.7565341389052
"Asn_C2.N1.H1",92.607178937178
"Asn_C2.N1.H2",92.607307776612
"Asn_C2.N1.H3",92.6073076932747
"Asn_C2.N1.H4",92.6073076932747
"Asn_C2.N1.H5",92.6073076932747
"Asn_C2.N2.H0",92.7565341389052
"Asn_C2.N2.H1",92.607178937178
"Asn_C2.N2.H2",92.607307776612
"Asn_C2.N2.H3",92.6073076932747
"Asn_C2.N2.H4",92.6073076932747
"Asn_C2.N2.H5",92.6073076932747
"Asn_C3.N0.H0",92.7459062560362
"Asn_C3.N0.H1",92.59656817549
"Asn_C3.N0.H2",92.5966969964046
"Asn_C3.N0.H3",92.5966969130673
"Asn_C3.N0.H4",92.5966969130673
"Asn_C3.N0.H5",92.5966969130673
