"","sample1"
"Asn_C0.N0.H0",104.8693147
"Asn_C0.N0.H1",104.6987499
"Asn_C0.N0.H2",104.69888184
"Asn_C0.N0.H3",104.70110588
"Asn_C0.N0.H4",104.53429583
"Asn_C0.N0.H5",111.20669769
"Asn_C0.N1.H0",104.83689092
"Asn_C0.N1.H1",104.66637886
"Asn_C0.N1.H2",104.66651075
"Asn_C0.N1.H3",104.66873411
"Asn_C0.N1.H4",104.50197563
"Asn_C0.N1.H5",111.1723145
"Asn_C0.N2.H0",108.07926899
"Asn_C0.N2.H1",107.90348336
"Asn_C0.N2.H2",107.90361933
"Asn_C0.N2.H3",107.90591145
"Asn_C0.N2.H4",107.7339955
"Asn_C0.N2.H5",114.61063351
"Asn_C1.N0.H0",96.84856858
"Asn_C1.N0.H1",96.69104913
"Asn_C1.N0.H2",96.69117098
"Asn_C1.N0.H3",96.69322492
"Asn_C1.N0.H4",96.53917305
"Asn_C1.N0.H5",102.70124792
"Asn_C1.N1.H0",96.81862467
"Asn_C1.N1.H1",96.66115393
"Asn_C1.N1.H2",96.66127574
"Asn_C1.N1.H3",96.66332904
"Asn_C1.N1.H4",96.5093248
"Asn_C1.N1.H5",102.66949447
"Asn_C1.N2.H0",99.81301513
"Asn_C1.N2.H1",99.65067416
"Asn_C1.N2.H2",99.65079973
"Asn_C1.N2.H3",99.65291654
"Asn_C1.N2.H4",99.49414928
"Asn_C1.N2.H5",105.84483966
"Asn_C2.N0.H0",97.20013452
"Asn_C2.N0.H1",97.04204327
"Asn_C2.N0.H2",97.04216556
"Asn_C2.N0.H3",97.04422695
"Asn_C2.N0.H4",96.88961586
"Asn_C2.N0.H5",103.07405943
"Asn_C2.N1.H0",97.17008192
"Asn_C2.N1.H1",97.01203955
"Asn_C2.N1.H2",97.0121618
"Asn_C2.N1.H3",97.01422255
"Asn_C2.N1.H4",96.85965927
"Asn_C2.N1.H5",103.04219071
"Asn_C2.N2.H0",100.17534218
"Asn_C2.N2.H1",100.0124119
"Asn_C2.N2.H2",100.01253793
"Asn_C2.N2.H3",100.01466243
"Asn_C2.N2.H4",99.85531883
"Asn_C2.N2.H5",106.22906259
"Asn_C3.N0.H0",97.08644763
"Asn_C3.N0.H1",96.92854128
"Asn_C3.N0.H2",96.92866343
"Asn_C3.N0.H3",96.93072241
"Asn_C3.N0.H4",96.77629216
"Asn_C3.N0.H5",102.95350229
"Asn_C3.N1.H0",97.05643017
"Asn_C3.N1.H1",96.89857265
"Asn_C3.N1.H2",96.89869476
"Asn_C3.N1.H3",96.90075311
"Asn_C3.N1.H4",96.7463706
"Asn_C3.N1.H5",102.92167085
"Asn_C3.N2.H0",100.05817544
"Asn_C3.N2.H1",99.89543572
"Asn_C3.N2.H2",99.89556161
"Asn_C3.N2.H3",99.89768361
"Asn_C3.N2.H4",99.73852639
"Asn_C3.N2.H5",106.10481531
"Asn_C4.N0.H0",102.19659064
"Asn_C4.N0.H1",102.0303729
"Asn_C4.N0.H2",102.03050148
"Asn_C4.N0.H3",102.03266884
"Asn_C4.N0.H4",101.87011015
"Asn_C4.N0.H5",108.37245761
"Asn_C4.N1.H0",102.16499322
"Asn_C4.N1.H1",101.99882688
"Asn_C4.N1.H2",101.99895541
"Asn_C4.N1.H3",102.0011221
"Asn_C4.N1.H4",101.83861367
"Asn_C4.N1.H5",108.33895071
"Asn_C4.N2.H0",105.32473528
"Asn_C4.N2.H1",105.15342977
"Asn_C4.N2.H2",105.15356228
"Asn_C4.N2.H3",105.15579598
"Asn_C4.N2.H4",104.98826152
"Asn_C4.N2.H5",111.68963991
"Arg_C0.N0.O0",106.00065143
"Arg_C0.N0.O1",105.52794286
"Arg_C0.N0.O2",108.79310618
"Arg_C0.N1.O0",105.17713639
