"","sample1"
"Asn_C0.N0.H0",0.0114770933947195
"Asn_C0.N0.H1",0.0114584264648835
"Asn_C0.N0.H2",0.0114584409046432
"Asn_C0.N0.H3",0.0114586843077289
"Asn_C0.N0.H4",0.011440428304736
"Asn_C0.N0.H5",0.0121706684091306
"Asn_C0.N1.H0",0.011473544875762
"Asn_C0.N1.H1",0.01145488371789
"Asn_C0.N1.H2",0.0114548981521776
"Asn_C0.N1.H3",0.0114551414808428
"Asn_C0.N1.H4",0.0114368911217669
"Asn_C0.N1.H5",0.0121669054486882
"Asn_C0.N2.H0",0.0118283967791699
"Asn_C0.N2.H1",0.0118091584719613
"Asn_C0.N2.H2",0.0118091733527717
"Asn_C0.N2.H3",0.0118094242066596
"Asn_C0.N2.H4",0.0117906094044475
"Asn_C0.N2.H5",0.0125432014940233
"Asn_C1.N0.H0",0.0105992879796854
"Asn_C1.N0.H1",0.0105820487572846
"Asn_C1.N0.H2",0.0105820620927758
"Asn_C1.N0.H3",0.0105822868798003
"Asn_C1.N0.H4",0.0105654271558221
"Asn_C1.N0.H5",0.0112398161226096
"Asn_C1.N1.H0",0.010596010862326
"Asn_C1.N1.H1",0.0105787769708384
"Asn_C1.N1.H2",0.010578790301952
"Asn_C1.N1.H3",0.0105790150189336
"Asn_C1.N1.H4",0.0105621605076715
"Asn_C1.N1.H5",0.0112363409658176
"Asn_C1.N2.H0",0.0109237225391686
"Asn_C1.N2.H1",0.0109059556406263
"Asn_C1.N2.H2",0.0109059693832413
"Asn_C1.N2.H3",0.0109062010508758
"Asn_C1.N2.H4",0.0108888252658213
"Asn_C1.N2.H5",0.0115838566658139
"Asn_C2.N0.H0",0.010637764011872
"Asn_C2.N0.H1",0.0106204622106127
"Asn_C2.N0.H2",0.0106204755942584
"Asn_C2.N0.H3",0.0106207011966247
"Asn_C2.N0.H4",0.0106037802705667
"Asn_C2.N0.H5",0.0112806173096025
"Asn_C2.N1.H0",0.0106344749992762
"Asn_C2.N1.H1",0.0106171785475353
"Asn_C2.N1.H2",0.0106171919268033
"Asn_C2.N1.H3",0.0106174174591269
"Asn_C2.N1.H4",0.0106005017654845
"Asn_C2.N1.H5",0.0112771295374467
"Asn_C2.N2.H0",0.0109633762873044
"Asn_C2.N2.H1",0.0109455448935765
"Asn_C2.N2.H2",0.0109455586865348
"Asn_C2.N2.H3",0.0109457911957772
"Asn_C2.N2.H4",0.0109283523349981
"Asn_C2.N2.H5",0.0116259067398953
"Asn_C3.N0.H0",0.0106253219065906
"Asn_C3.N0.H1",0.0106080403411321
"Asn_C3.N0.H2",0.010608053709456
"Asn_C3.N0.H3",0.0106082790480674
"Asn_C3.N0.H4",0.0105913779134763
"Asn_C3.N0.H5",0.0112674233113473
"Asn_C3.N1.H0",0.010622036739782
"Asn_C3.N1.H1",0.0106047605183698
"Asn_C3.N1.H2",0.010604773882316
"Asn_C3.N1.H3",0.010604999151979
"Asn_C3.N1.H4",0.0105881032421426
"Asn_C3.N1.H5",0.0112639396191842
"Asn_C3.N2.H0",0.0109505533407486
"Asn_C3.N2.H1",0.0109327428022626
"Asn_C3.N2.H2",0.010932756579899
"Asn_C3.N2.H3",0.0109329888155368
"Asn_C3.N2.H4",0.0109155703525325
"Asn_C3.N2.H5",0.0116123088858359
"Asn_C4.N0.H0",0.0111845854886395
"Asn_C4.N0.H1",0.0111663943091578
"Asn_C4.N0.H2",0.0111664083811928
"Asn_C4.N0.H3",0.0111666455811136
"Asn_C4.N0.H4",0.0111488548548884
"Asn_C4.N0.H5",0.011860483888575
"Asn_C4.N1.H0",0.0111811274080617
"Asn_C4.N1.H1",0.0111629418538918
"Asn_C4.N1.H2",0.0111629559204547
"Asn_C4.N1.H3",0.0111631930470495
"Asn_C4.N1.H4",0.0111454078213724
"Asn_C4.N1.H5",0.0118568168309445
