"","sample1"
"Asn_C0.N0.H0",97.1058153588988
"Asn_C0.N0.H1",95.9799597752823
"Asn_C0.N0.H2",95.0218253642586
"Asn_C0.N0.H3",94.0751354365517
"Asn_C0.N0.H4",92.9875144917568
"Asn_C0.N0.H5",97.9352516644626
"Asn_C0.N1.H0",96.1050339995571
"Asn_C0.N1.H1",94.9907815898305
"Asn_C0.N1.H2",94.0425217908236
"Asn_C0.N1.H3",93.1055885423945
"Asn_C0.N1.H4",92.0291767136757
"Asn_C0.N1.H5",96.9259220585664
"Asn_C0.N2.H0",98.0865810926121
"Asn_C0.N2.H1",96.9493544053746
"Asn_C0.N2.H2",95.9815428587674
"Asn_C0.N2.H3",95.0252913957612
"Asn_C0.N2.H4",93.9266855163899
"Asn_C0.N2.H5",98.9243946825129
"Asn_C1.N0.H0",88.8499543816068
"Asn_C1.N0.H1",87.8198181646223
"Asn_C1.N0.H2",86.9431435979023
"Asn_C1.N0.H3",86.0769405139401
"Asn_C1.N0.H4",85.081788261314
"Asn_C1.N0.H5",89.6088726603799
"Asn_C1.N1.H0",87.9342586703537
"Asn_C1.N1.H1",86.9147391378399
"Asn_C1.N1.H2",86.0470996568033
"Asn_C1.N1.H3",85.1898237361938
"Asn_C1.N1.H4",84.204927613032
"Asn_C1.N1.H5",88.6853554749594
"Asn_C1.N2.H0",89.747336174366
"Asn_C1.N2.H1",88.7067956196809
"Asn_C1.N2.H2",87.8212666583101
"Asn_C1.N2.H3",86.9463149506674
"Asn_C1.N2.H4",85.9411116889523
"Asn_C1.N2.H5",90.5139195055472
"Asn_C2.N0.H0",88.3482431330745
"Asn_C2.N0.H1",87.323923816195
"Asn_C2.N0.H2",86.452199587456
"Asn_C2.N0.H3",85.5908877087597
"Asn_C2.N0.H4",84.601354804756
"Asn_C2.N0.H5",89.1028760120573
"Asn_C2.N1.H0",87.4377181109032
"Asn_C2.N1.H1",86.4239555228063
"Asn_C2.N1.H2",85.5612153612448
"Asn_C2.N1.H3",84.708780238734
"Asn_C2.N1.H4",83.7294455567816
"Asn_C2.N1.H5",88.1845736714035
"Asn_C2.N2.H0",89.2405576546223
"Asn_C2.N2.H1",88.205892743716
"Asn_C2.N2.H2",87.3253641244685
"Asn_C2.N2.H3",86.4553530334888
"Asn_C2.N2.H4",85.4558258732168
"Asn_C2.N2.H5",90.0028123058125
"Asn_C3.N0.H0",87.4292124583937
"Asn_C3.N0.H1",86.415548479472
"Asn_C3.N0.H2",85.5528922470956
"Asn_C3.N0.H3",84.7005400498975
"Asn_C3.N0.H4",83.7213006321102
"Asn_C3.N0.H5",88.1759953621682
"Asn_C3.N1.H0",86.5281590409378
"Asn_C3.N1.H1",85.5249419823255
"Asn_C3.N1.H2",84.6711763615373
"Asn_C3.N1.H3",83.8276085892858
"Asn_C3.N1.H4",82.8584612957698
"Asn_C3.N1.H5",87.2672455426852
"Asn_C3.N2.H0",88.3122448005466
"Asn_C3.N2.H1",87.2883428464991
"Asn_C3.N2.H2",86.4169738138068
"Asn_C3.N2.H3",85.5560128827676
"Asn_C3.N2.H4",84.5668831766708
"Asn_C3.N2.H5",89.0665701936556
"Asn_C4.N0.H0",91.1803222582275
"Asn_C4.N0.H1",90.1231675029305
"Asn_C4.N0.H2",89.2234994056065
"Asn_C4.N0.H3",88.3345774376247
"Asn_C4.N0.H4",87.3133242005997
"Asn_C4.N0.H5",91.959145551788
"Asn_C4.N1.H0",90.2406095692835
"Asn_C4.N1.H1",89.1943499542827
"Asn_C4.N1.H2",88.3039539092017
"Asn_C4.N1.H3",87.4241932519306
"Asn_C4.N1.H4",86.4134651433205
"Asn_C4.N1.H5",91.0114062319287
"Asn_C4.N2.H0",92.1012406958658
"Asn_C4.N2.H1",91.03340871346
"Asn_C4.N2.H2",90.1246539912176
"Asn_C4.N2.H3",89.2267539380622
"Asn_C4.N2.H4",88.1951860779212
"Asn_C4.N2.H5",92.8879300740772
"Arg_C0.N0.O0",97.1156127592234
"Arg_C0.N0.O1",95.7196752777454
"Arg_C0.N0.O2",97.6986009071533
"Arg_C0.N1.O0",95.4046323695773
"Arg_C0.N1.O1",94.033288483595
"Arg_C0.N1.O2",95.9773494516486
"Arg_C0.N2.O0",97.3831014398154
"Arg_C0.N2.O1",95.98331908728
"Arg_C0.N2.O2",97.9676953318626
"Arg_C1.N0.O0",88.8589234993592
"Arg_C1.N0.O1",87.5816674749834
"Arg_C1.N0.O2",89.3923464774672
"Arg_C1.N1.O0",87.2934092529067
"Arg_C1.N1.O1",86.0386558892038
"Arg_C1.N1.O2",87.8174344004036
"Arg_C1.N2.O0",89.1036705150363
"Arg_C1.N2.O1",87.8228965064563
"Arg_C1.N2.O2",89.6385627209611
"Arg_C2.N0.O0",88.3562328001984
"Arg_C2.N0.O1",87.0862024414409
"Arg_C2.N0.O2",88.8866381072418
"Arg_C2.N1.O0",86.7995749406589
"Arg_C2.N1.O1",85.5519199447522
"Arg_C2.N1.O2",87.3206355890489
"Arg_C2.N2.O0",88.5995952345372
"Arg_C2.N2.O1",87.326066786418
"Arg_C2.N2.O2",89.1314614576236
"Arg_C3.N0.O0",87.5291253951837
"Arg_C3.N0.O1",86.2709838599001
"Arg_C3.N0.O2",88.0545655544652
"Arg_C3.N1.O0",85.9870394951196
"Arg_C3.N1.O1",84.751063860148
"Arg_C3.N1.O2",86.5032224589088
"Arg_C3.N2.O0",87.7702097006064
"Arg_C3.N2.O1",86.5086028277457
"Arg_C3.N2.O2",88.2970970981948
"Arg_C4.N0.O0",86.7235523008173
"Arg_C4.N0.O1",85.4769900583246
"Arg_C4.N0.O2",87.2441565821282
"Arg_C4.N1.O0",85.1956589699621
"Arg_C4.N1.O1",83.971058625193
"Arg_C4.N1.O2",85.7070912540806
"Arg_C4.N2.O0",86.9624177926832
"Arg_C4.N2.O1",85.7124220973016
"Arg_C4.N2.O2",87.4844559897626
"Arg_C5.N0.O0",85.7282741301427
"Arg_C5.N0.O1",84.496017988624
"Arg_C5.N0.O2",86.2429037173163
"Arg_C5.N1.O0",84.217915581433
"Arg_C5.N1.O1",83.0073692918414
"Arg_C5.N1.O2",84.7234784417162
"Arg_C5.N2.O0",85.9643982908745
"Arg_C5.N2.O1",84.7287481049747
"Arg_C5.N2.O2",86.4804453443108
"Arg_C6.N0.O0",91.3287689200951
"Arg_C6.N0.O1",90.0160114001386
"Arg_C6.N0.O2",91.8770184575016
"Arg_C6.N1.O0",89.7197409945266
"Arg_C6.N1.O1",88.4301116006741
"Arg_C6.N1.O2",90.2583314876082
"Arg_C6.N2.O0",91.5803187036717
"Arg_C6.N2.O1",90.2639454126587
"Arg_C6.N2.O2",92.130078306084
"Short_C0.N0.O0",97.0344565605379
"Short_C0.N0.O1",96.034410626943
"Short_C0.N0.O2",98.0145015652149
"Short_C0.N1.O0",97.6625039585196
"Short_C0.N1.O1",96.6559853166117
"Short_C0.N1.O2",98.6488922272996
"Short_C1.N0.O0",94.9954968308386
"Short_C1.N0.O1",94.0164646032641
"Short_C1.N0.O2",95.9549484045866
"Short_C1.N1.O0",95.610347233
"Short_C1.N1.O1",94.6249783012417
"Short_C1.N1.O2",96.5760087838274
"Short_C2.N0.O0",96.9764613499694
"Short_C2.N0.O1",95.977013120976
"Short_C2.N0.O2",97.9559206111306
"Short_C2.N1.O0",97.6041333823108
"Short_C2.N1.O1",96.5982163123607
"Short_C2.N1.O2",98.5899321101991
"Gly_C0.N0.H0",97.8295456366588
"Gly_C0.N0.H1",96.6431303344334
"Gly_C0.N0.H2",98.6377870665354
"Gly_C0.N1.H0",98.8278063112837
"Gly_C0.N1.H1",97.6292847241197
"Gly_C0.N1.H2",99.6442950906768
"Gly_C1.N0.H0",17.0629029869346
"Gly_C1.N0.H1",16.8559748129898
"Gly_C1.N0.H2",17.2038721076071
"Gly_C1.N1.H0",17.2370142380118
"Gly_C1.N1.H1",17.0279745559795
"Gly_C1.N1.H2",17.3794218199031
"Gly_C2.N0.H0",1.53096405481019
"Gly_C2.N0.H1",1.5123974819136
"Gly_C2.N0.H2",1.54361246754239
"Gly_C2.N1.H0",1.5465861423265
"Gly_C2.N1.H1",1.52783011546012
"Gly_C2.N1.H2",1.55936361481047
