"","sample1"
"Asn_C0.N0.H0",0.0121101402951394
"Asn_C0.N0.H1",0.0119697339866267
"Asn_C0.N0.H2",0.0118502443134674
"Asn_C0.N0.H3",0.0117321818905512
"Asn_C0.N0.H4",0.0115965438530071
"Asn_C0.N0.H5",0.0122135799294099
"Asn_C0.N1.H0",0.011985332088529
"Asn_C0.N1.H1",0.0118463728206817
"Asn_C0.N1.H2",0.0117281146179183
"Asn_C0.N1.H3",0.0116112689579162
"Asn_C0.N1.H4",0.011477028817787
"Asn_C0.N1.H5",0.012087705664452
"Asn_C0.N2.H0",0.012232452337812
"Asn_C0.N2.H1",0.012090627930294
"Asn_C0.N2.H2",0.0119699314141755
"Asn_C0.N2.H3",0.0118506765648996
"Asn_C0.N2.H4",0.0117136685877864
"Asn_C0.N2.H5",0.0123369367096014
"Asn_C1.N0.H0",0.0110805455759905
"Asn_C1.N0.H1",0.0109520765026947
"Asn_C1.N0.H2",0.0108427457488473
"Asn_C1.N0.H3",0.0107347209016011
"Asn_C1.N0.H4",0.0106106147051824
"Asn_C1.N0.H5",0.0111751908533564
"Asn_C1.N1.H0",0.0109663484654472
"Asn_C1.N1.H1",0.0108392034069691
"Asn_C1.N1.H2",0.0107309994255482
"Asn_C1.N1.H3",0.0106240878916523
"Asn_C1.N1.H4",0.0105012607449614
"Asn_C1.N1.H5",0.0110600183208044
"Asn_C1.N2.H0",0.0111924587437905
"Asn_C1.N2.H1",0.0110626921376048
"Asn_C1.N2.H2",0.0109522571454473
"Asn_C1.N2.H3",0.0108431412506694
"Asn_C1.N2.H4",0.0107177815852414
"Asn_C1.N2.H5",0.0112880599356883
"Asn_C2.N0.H0",0.0110179767835354
"Asn_C2.N0.H1",0.0108902331402882
"Asn_C2.N0.H2",0.0107815197468659
"Asn_C2.N0.H3",0.0106741048855589
"Asn_C2.N0.H4",0.0105506994823928
"Asn_C2.N0.H5",0.011112087625425
"Asn_C2.N1.H0",0.0109044245135711
"Asn_C2.N1.H1",0.010777997408022
"Asn_C2.N1.H2",0.0106704044244695
"Asn_C2.N1.H3",0.0105640965901966
"Asn_C2.N1.H4",0.0104419630150805
"Asn_C2.N1.H5",0.0109975654401411
"Asn_C2.N2.H0",0.0111292580080778
"Asn_C2.N2.H1",0.0110002241579091
"Asn_C2.N2.H2",0.0108904127622315
"Asn_C2.N2.H3",0.0107819130155258
"Asn_C2.N2.H4",0.0106572612210379
"Asn_C2.N2.H5",0.0112243193669925
"Asn_C3.N0.H0",0.0109033637671595
"Asn_C3.N0.H1",0.0107769489592358
"Asn_C3.N0.H2",0.010669366442556
"Asn_C3.N0.H3",0.0105630689499621
"Asn_C3.N0.H4",0.0104409472553127
"Asn_C3.N0.H5",0.0109964956326538
"Asn_C3.N1.H0",0.0107909927082432
"Asn_C3.N1.H1",0.0106658807437191
"Asn_C3.N1.H2",0.0105594069819912
"Asn_C3.N1.H3",0.0104542050017322
"Asn_C3.N1.H4",0.0103333419035979
"Asn_C3.N1.H5",0.0108831647495708
"Asn_C3.N2.H0",0.0110134874040302
"Asn_C3.N2.H1",0.0108857958104201
"Asn_C3.N2.H2",0.0107771267137678
"Asn_C3.N2.H3",0.0106697556194107
"Asn_C3.N2.H4",0.0105464004993631
"Asn_C3.N2.H5",0.011107559899122
"Asn_C4.N0.H0",0.0113711675312344
"Asn_C4.N0.H1",0.0112393289554189
"Asn_C4.N0.H2",0.0111271306608329
"Asn_C4.N0.H3",0.0110162725242331
"Asn_C4.N0.H4",0.0108889112541431
"Asn_C4.N0.H5",0.0114682951781759
"Asn_C4.N1.H0",0.0112539752450858
"Asn_C4.N1.H1",0.0111234954105263
"Asn_C4.N1.H2",0.0110124534406472
"Asn_C4.N1.H3",0.0109027378180934
"Asn_C4.N1.H4",0.0107766891447954
"Asn_C4.N1.H5",0.011350101884764
"Asn_C4.N2.H0",0.0114860159719685
"Asn_C4.N2.H1",0.0113528458310169
"Asn_C4.N2.H2",0.011239514336507
"Asn_C4.N2.H3",0.0111275365360577
"Asn_C4.N2.H4",0.010998888921452
"Asn_C4.N2.H5",0.0115841246043262
"Arg_C0.N0.O0",0.0173817016301305
"Arg_C0.N0.O1",0.0171318574690529
"Arg_C0.N0.O2",0.0174860445442441
"Arg_C0.N1.O0",0.0170754712539544
"Arg_C0.N1.O1",0.0168300288417488
"Arg_C0.N1.O2",0.017177975858067
"Arg_C0.N2.O0",0.0174295766144239
"Arg_C0.N2.O1",0.0171790443003333
"Arg_C0.N2.O2",0.0175342069237806
"Arg_C1.N0.O0",0.0159039237004018
"Arg_C1.N0.O1",0.015675321084507
"Arg_C1.N0.O2",0.0159993954663177
"Arg_C1.N1.O0",0.0156237287785305
"Arg_C1.N1.O1",0.0153991536770856
"Arg_C1.N1.O2",0.0157175185256338
"Arg_C1.N2.O0",0.0159477283933909
"Arg_C1.N2.O1",0.0157184961305213
"Arg_C1.N2.O2",0.0160434631209338
"Arg_C2.N0.O0",0.0158139523817147
"Arg_C2.N0.O1",0.0155866430116769
"Arg_C2.N0.O2",0.0159088840464401
"Arg_C2.N1.O0",0.0155353425713457
"Arg_C2.N1.O1",0.0153120379320602
"Arg_C2.N1.O2",0.0156286017339478
"Arg_C2.N2.O0",0.0158575092630592
"Arg_C2.N2.O1",0.0156295738068152
"Arg_C2.N2.O2",0.0159527024017748
"Arg_C3.N0.O0",0.0156659171305169
"Arg_C3.N0.O1",0.0154407356158927
"Arg_C3.N0.O2",0.0157599601356901
"Arg_C3.N1.O0",0.0153899154018412
"Arg_C3.N1.O1",0.0151687011284735
"Arg_C3.N1.O2",0.015482301559002
"Arg_C3.N2.O0",0.0157090662735383
"Arg_C3.N2.O1",0.0154832645346052
"Arg_C3.N2.O2",0.0158033683046676
"Arg_C4.N0.O0",0.0155217360789876
"Arg_C4.N0.O1",0.0152986270201371
"Arg_C4.N0.O2",0.0156149135612483
"Arg_C4.N1.O0",0.0152482745289335
"Arg_C4.N1.O1",0.0150290961990628
"Arg_C4.N1.O2",0.015339810411929
"Arg_C4.N2.O0",0.015564488099918
"Arg_C4.N2.O1",0.0153407645234634
"Arg_C4.N2.O2",0.0156579222236737
"Arg_C5.N0.O0",0.0153436017120188
"Arg_C5.N0.O1",0.015123053151646
"Arg_C5.N0.O2",0.0154357098466446
"Arg_C5.N1.O0",0.0150732785281115
"Arg_C5.N1.O1",0.0148566155856934
"Arg_C5.N1.O2",0.0151637639046956
"Arg_C5.N2.O0",0.0153858630909351
"Arg_C5.N2.O1",0.0151647070662723
"Arg_C5.N2.O2",0.0154782249229319
"Arg_C6.N0.O0",0.0163459753433463
"Arg_C6.N0.O1",0.0161110186883214
"Arg_C6.N0.O2",0.0164441007590988
"Arg_C6.N1.O0",0.016057992365922
"Arg_C6.N1.O1",0.0158271751708232
"Arg_C6.N1.O2",0.016154389010968
"Arg_C6.N2.O0",0.0163909975921797
"Arg_C6.N2.O1",0.0161553937883403
"Arg_C6.N2.O2",0.0164893932785779
"Short_C0.N0.O0",0.0557819750818688
"Short_C0.N0.O1",0.0552070809738803
"Short_C0.N0.O2",0.0563453713018074
"Short_C0.N1.O0",0.0561430192464496
"Short_C0.N1.O1",0.0555644041875058
"Short_C0.N1.O2",0.0567100620040478
"Short_C1.N0.O0",0.0546098429870797
"Short_C1.N0.O1",0.0540470289799869
"Short_C1.N0.O2",0.0551614007086988
"Short_C1.N1.O0",0.0549633006249967
"Short_C1.N1.O1",0.0543968438513299
"Short_C1.N1.O2",0.0555184282618704
"Short_C2.N0.O0",0.0557486355084279
"Short_C2.N0.O1",0.0551740850015103
"Short_C2.N0.O2",0.0563116950033374
