"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2399460.14778315,1079715.60334509,918305.715510372,2129369.69917217,166144.984587697,1729074.26674941,12798730.8782551,2639432.39363554,3367941.31908962,4318916.2384957,10997380.7993255,2718085.81936945,2689376.44944716,3328211.85529976,4407699.1229252,3109606.24476474,4369039.71135859,15097682.4905255,24500000,4058225.91369385,154736.174759212,3118958.08040227,8128726.05840511,6249600.5530869,10398455.8179513,2378980.30270666
"Ala_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850.6780970481,0,10.2869106337246,0,0,0,0,0
"Ala_1.1",195.395934546652,9531.7453986139,0,363.527390226766,0,2500.47056433727,154746.120870108,2313.0201917757,0,23523.1745455451,76155.5618633892,0,4780.47851300056,0,0,8057.63677534655,16977.9427037083,112141.337260225,287115.681261513,0,0,6312.64951111826,59055.4319211809,29965.9266602535,65517.5091419235,0
"Ala_2.1",733.455497328892,689.235642801404,0,1674.50272724135,176.402496330597,0,47258.4375013453,1905.41951675139,0,11913.137677303,43617.0807793788,969.342646696553,1535.75029505947,819.782835436726,0,952.569575758969,3147.97228814961,41465.0530675277,103585.353815163,1399.10506407147,0,0,19004.9522413701,8086.02122700853,28799.1589043131,2737.34193399042
"Ala_2.2",0,1087.05580352591,0,0,0,0,21693.3542484195,1756.08027072919,0,4982.86268334903,24866.5495638372,1302.81446588063,1295.92590895988,0,930.27422649994,1971.72672196894,2861.57487771554,37869.8017242433,55590.2132682832,3422.42792230226,0,0,12529.8390335081,6123.57435093446,21549.2175832917,2423.36538494692
"Ala_3.2",3301.14498767148,9980.71860852396,513.904002935828,2870.22084062506,0,0,234179.665847902,8588.85261715521,2373.41744245992,68885.0746961737,210973.129322281,4209.43144209037,3311.00106906589,3235.46700669999,0,5458.63485493736,11509.1116677477,291268.315727993,511580.874633534,5461.76141382995,0,0,136854.52083424,21903.1232487772,147207.00940877,9958.44797185479
"Asp_0.0",16700000,18700000,12800000,77600000,19800000,18400011.3946792,32800000,53200000,15100000,14100000,21400000,27800000,93400000,21300000,25200022.8476173,86100000,49700000,30900000,39500000,24900000,18900000,27700053.9444381,21900000,79300000,12700000,42400000
"Asp_1.0",46420.6662947236,72530.9257312148,45705.6603935569,6252278.06613596,92091.5684212908,54760.3489933029,4045808.2547585,5688932.90101073,44332.458745527,53277.329027278,2278179.77597049,150532.606167261,8702149.11568427,92674.2629986601,96879.8944088674,8030246.66874106,5596239.94699688,161203.508293832,4314677.62387076,130872.729984346,42541.9516748658,133696.594946572,95707.3408296113,10135871.786657,1149200.14742174,4654337.50005368
"Asp_1.1",112071.572430619,161181.940386383,82306.3549168832,18341482.2766836,164192.642762047,75715.3673463819,12913410.0344745,17258335.7876233,76783.2780660125,62228.0940881241,6939480.93712666,310634.114585105,24317454.1835341,221025.418728876,210590.089177505,23360201.3404956,17062392.6437007,292755.184916532,14039929.7671263,225424.081049248,128092.977181954,341383.637741586,151758.529115598,29545226.089446,3923850.83651909,14305139.8006622
"Asp_2.1",15953.4393452056,32354.5815693763,17609.5208051592,10351211.9502439,31253.5736361171,0,12782353.0766634,13991532.2232876,15082.383543524,33892.5777761337,7544064.72554648,29415.8475839226,13117817.0494533,15848.9844030333,0,13276285.4703326,14129200.0664793,85902.6913553354,14565918.2482769,7562.323891209,266.101864822117,0,52498.8312908582,24290499.6664618,4225077.94958965,11899739.3541918
