"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",0.9982402072789,0.980664240533347,0.99944069108667,0.99770027565632,0.998939387775539,0.998555955737599,0.965460428286575,0.994512661707412,0.999295787596116,0.975316439211608,0.968676778207884,0.99762105773716,0.99595483561716,0.998783035778891,0.999788987882016,0.994740779996877,0.992166159403229,0.969015964207368,0.962039764259157,0.997472466234132,0.999933524097916,0.997980127145243,0.972781223671971,0.989537365117928,0.975325030572981,0.993684825732579
"Ala_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347538949796646,0,6.64759020834472e-05,0,0,0,0,0
"Ala_1.1",8.12899844923503e-05,0.00865731849510135,0,0.000170328044763138,0,0.00144404426240149,0.0116731305277128,0.00087152369314426,0,0.0053121055306007,0.00670797216669662,0,0.0017703511505671,0,0,0.00257758033009294,0.00385552462778331,0.00719757791441924,0.011274151114936,0,0,0.00201987285475687,0.00706728396503924,0.0047446878978622,0.00614522653417416,0
"Ala_2.1",0.000305137290302523,0.000626006279896583,0,0.000784575751784879,0.0010606122244608,0,0.00356489653108665,0.000717943691167463,0,0.00269027653643771,0.00384190145409834,0.000355778551808746,0.000568733296143565,0.000246013542603397,0,0.000304720189055146,0.000714873697971029,0.00266135537055803,0.0040674787495935,0.00034388641945016,0,0,0.00227436139000786,0.00128030904876144,0.00270122228055582,0.00114337018240674
"Ala_2.2",0,0.000987331062623707,0,0,0,0,0.00163641811698965,0.000661674104033109,0,0.00112525171154907,0.00219030781566843,0.000478172961363162,0.0004799193046758,0,0.000211012117984099,0.000630741265282114,0.000649835648984049,0.00243060101808262,0.00218285696603001,0.000841199502631957,0,0,0.00149947138824116,0.000969582868033767,0.00202121273256404,0.00101222419012364
"Ala_3.2",0.00137336544630484,0.00906510362903125,0.000559308913329517,0.00134482054713158,0,0,0.0176651265376358,0.00323619680424334,0.000704212403884294,0.0155559270098043,0.0185830403556524,0.00154499074966825,0.0012261606314533,0.000970950678505771,0,0.00174617821869256,0.00261360662203304,0.0186945014895722,0.0200882099604873,0.00134244784378615,0,0,0.0163776595847411,0.0034680550674143,0.0138073078797245,0.00415957989489064
"Asp_0.0",0.974318212975975,0.958540680227559,0.972006620231364,0.498993200581945,0.96516126920046,0.986890196452679,0.235373513580446,0.329147930418654,0.977072797654323,0.960327862162109,0.249011141791408,0.964926453799966,0.482129123593776,0.969093525305569,0.980490670415131,0.4578327755961,0.312323681904641,0.951520987303794,0.247107763251214,0.971624756425188,0.98338907823721,0.976235104569026,0.95645520391749,0.305285709722849,0.254701550711037,0.318274673376277
"Asp_1.0",0.00270829345086402,0.00371785256085204,0.00347079722535811,0.0402041783911016,0.00448905126566435,0.00293708794068712,0.0290328080547341,0.0351973776439525,0.00286861188697926,0.00362863145294136,0.0265089788420796,0.00522492423921735,0.0449203375431178,0.00421643325044446,0.003769434384766,0.0427004659822422,0.0351677719329557,0.00496402981775348,0.0269921604249308,0.00510679455396544,0.00221350744147927,0.00471187924796067,0.00417989882144231,0.0390206407572432,0.0230474850098952,0.0349376827267108
"Asp_1.1",0.006538525399761,0.00826200250151666,0.00625018139580647,0.117941687431177,0.0080036555293735,0.00406101671092254,0.0926669113450991,0.106777171183579,0.00496840081543236,0.00423825337319651,0.0807480407286737,0.0107819811012913,0.125526262029327,0.0100560705266716,0.00819370756006903,0.124216792313622,0.107223124599261,0.00901497419385383,0.0878322947078157,0.00879628987316656,0.0066648272359588,0.0120314094679129,0.00662786460783003,0.113741933362403,0.0786937710882057,0.10738121928438
"Asp_2.1",0.000930762066685107,0.00165845896395658,0.00133723209388412,0.0665616543937411,0.00152347165644873,0,0.0917264437646364,0.0865654863661848,0.000975932892991159,0.00230836785524237,0.0877829986475052,0.00102101185232643,0.0677139361618457,0.000721086768434202,0,0.0705960351508541,0.0887904182521152,0.00264524963399617,0.0911228222286517,0.000295090004369652,1.38455908764352e-05,0,0.00229282102227067,0.0935125148827038,0.0847349531996452,0.0893251334013731
"Asp_2.2",0.00225227285469838,0.00265945418202388,0.00208494824318087,0.0692669407343661,0.00257605715561555,6.02996974884732e-06,0.0996040238004942,0.0936336962318568,0.00130469134384733,0.00306335160242473,0.0928333116291476,0.00132563691555903,0.0703105925542305,0.00170448078680126,0.000148535799849384,0.0740473364664939,0.0930340298318226,0.00362621721506475,0.0955055670131177,0.00119222347912489,0.000493597229331123,0,0.00275737181015261,0.0980740402579469,0.0906085281332544,0.0923094329666643
"Asp_3.2",0.000879705102189551,0.00203890883011281,0.000771636449509383,0.0184381067057599,0.00103575902968504,9.3182078317742e-05,0.052091736050776,0.0378597494991316,0.000739069122661748,0.00196978774718381,0.0506535122978993,0.0011571028755659,0.0197527988724617,0.0010515526634468,9.9866451276125e-05,0.0199676751242311,0.0381081974602592,0.00228459729467559,0.0515283582362508,0.000936934390551801,0.000228693560662415,9.13220758534627e-05,0.00207978324747014,0.0418806826037169,0.0503755897989632,0.0384423040899638
"Asp_3.3",0.00243270621098916,0.00470191563813078,0.00273933283372676,0.0154955352063873,0.00372156603784612,0.00124175111821526,0.0457872493318877,0.0335493649349979,0.00323614654156067,0.00508866062034676,0.0413762248100751,0.00221063900689435,0.0170648195380245,0.00252669297323313,0.00237691068823608,0.0168467922537854,0.0336205883040697,0.00335441324440518,0.0443422576055199,0.00211603892524712,0.00185303797828656,0.00198001289338485,0.00494191318621666,0.0359220884770727,0.0451255819694441,0.0341532573886978
"Asp_4.3",0.00993952193883742,0.0184207270958483,0.0113392515271699,0.173098696555521,0.0134891701249064,0.00477073572942921,0.353717314071927,0.277269223721643,0.00883434974220478,0.0193750851865553,0.371085791253212,0.0133522502091799,0.172582129707218,0.0106301577253995,0.00492087470067241,0.193792127112672,0.291732187714876,0.0225895312964571,0.3555687765325,0.00993187234838635,0.00514341272619576,0.00495027174586254,0.0206651433871272,0.272562389936064,0.372712540089555,0.285176296765933
"Glu_0.0",0.64647041763582,0.508179913383821,0.692108895855178,0.448022699075754,0.658884035411037,0.795378252435876,0.18982667561927,0.282086206583209,0.709715961330149,0.499155564951444,0.198682466325921,0.597934062004703,0.445973707923775,0.640589019850447,0.7947520336111,0.428916594509077,0.265271700716943,0.47640897311804,0.202268929388696,0.651130676925085,0.787270942603286,0.791982963582318,0.4922650570423,0.278538164896795,0.201456675688578,0.285874000031465
"Glu_1.0",0.0029482018638978,0.00331800474561666,0.00423538342936857,0.0336521109459373,0.00551045820667718,0.00194760956902421,0.0146678277327835,0.0232280535125382,0.00378845512933949,0.00386391469957482,0.0130764371108279,0.00402059193199235,0.0347887205881107,0.00349142222047586,0.00311572834446971,0.0326006781059173,0.0220645091102707,0.00464361704975936,0.0141400421982178,0.00367004530710528,0.00254213153872957,0.0029960980277072,0.0040471406056151,0.0252250531523493,0.0121426602447656,0.0223320929144097
"Glu_1.1",0.0173009417904178,0.0199187651053038,0.014665101035828,0.103739544718191,0.0157495120803877,0.00339760551679158,0.0753229625777466,0.091303012322791,0.0120739122468219,0.0206265796871108,0.0654221869511408,0.0232847006311173,0.110113861659745,0.0183386479925614,0.00487464553985446,0.104847534865257,0.0890767750441988,0.0228129310988767,0.0696645786524002,0.0176670513505962,0.00378974680208653,0.00382701564213594,0.0227227894044209,0.0939647474800812,0.0611207390348316,0.0880411002379306
"Glu_2.1",0.00885578713727539,0.0111347566240883,0.00716913656324866,0.0483699614810468,0.00890635818928843,0,0.0487903536660071,0.0528386382957878,0.0066506958789044,0.0116005688388094,0.0440006840278579,0.0112069671130317,0.0486451361815804,0.00991828710585109,2.59862312353938e-05,0.0492886000937364,0.0525563768317173,0.0130601765380239,0.0470573689824516,0.00886105628024451,8.46245109040833e-05,0,0.0117756328493833,0.0542909375764751,0.0405492062299647,0.0515213935410773
"Glu_2.2",0.00540347490183941,0.00982572070064007,0.00399929785550159,0.0192395503978181,0.00489037725487273,0.000639979581672161,0.0283775260832331,0.024129168890825,0.00383497693578007,0.00887471930708367,0.0264148120785886,0.00661028503850567,0.0210817557731883,0.00642405663456597,0.000533743482578466,0.0190847733330684,0.0235694363861674,0.0105946587767898,0.0284475967849172,0.00542602332610261,0.00250213743488304,0.00111026390718649,0.00865549581925764,0.0254728619670461,0.0256569458769424,0.0230649440844192
"Glu_3.2",0.0400349749586503,0.0617280671568108,0.0269601875280474,0.127062686340618,0.0336391292187118,0.00063622050634107,0.18502406208974,0.170913318459279,0.0244578782830501,0.0648667924634093,0.177163427746219,0.0492387701416742,0.125039784608136,0.0401212335196467,0.000351957820940363,0.132516413218551,0.173092824346002,0.0706692510447048,0.185338542507727,0.0398970905712986,0.00149246707785487,0.00059366822409547,0.0638688643949961,0.173925879197785,0.172225794404169,0.169353673249154
"Glu_3.3",0.000523343716067987,0.000985539954802335,0,0.00148554991686361,0.000398518313737324,0,0.00375397785365372,0.00238368589452421,0.000522621401683303,0.000793096892657792,0.00391913441164504,0.000483974509494644,0.00172441906603038,0.000811238322369388,0.000281348286884699,0.00177572611047406,0.00223107431005282,0.00100408590821755,0.00448384873591117,0.000542515659483599,0.000696070714865557,0.00033842255683687,0.00089850238296691,0.0025466903030852,0.00331814004162094,0.002181276602242
"Glu_4.3",0,0,0,0,0,0.00185236758292173,0,0,0,0,0,0,0,0,0.00173159489018475,0,0,0,0,0,0.00195197044731392,0.00160145473754587,0,0,0,0
"Glu_4.4",0.0137706359835199,0.0194378477579764,0.0118209657237238,0.023906083680429,0.0131530628922805,0.00698147570005162,0.0450478503160338,0.0358846832939276,0.0104071180452969,0.0198564382979034,0.0437208256090685,0.0159154655246215,0.0235332453193857,0.0146896906801755,0.00653928477903865,0.0251400230913792,0.037249491492699,0.0216110479366884,0.046551110758518,0.0139998560161855,0.00715018118227338,0.00669915114927563,0.0201362400173084,0.0373471187853342,0.0412112146830857,0.0349645714172064
"Glu_5.4",0.264692222012512,0.365471384570941,0.239041032009104,0.194521813443342,0.258868548433007,0.189166489107322,0.409188764061532,0.317233232747119,0.228548380748975,0.370362324862007,0.427600025738731,0.29130518310486,0.189099368880048,0.265616403673907,0.187793677013713,0.20582965667254,0.334887811761949,0.379195258528899,0.402047981991161,0.258805684563899,0.192519727687803,0.190850962172898,0.375630277483752,0.308688546641049,0.442318623796042,0.322666947922095
"Gly_0.0",0.998782175097713,0.995939078248282,0.986542676323114,0.990341760714694,0.986579106643687,0.990248109989646,0.98218143285275,0.99215634480512,0.993040906152925,0.990602566358311,0.988178921466667,0.997844614676235,0.99686237726795,0.996181873654021,0.99798715402325,0.994411115874103,0.990544576662048,0.994227772957204,0.985393273265476,0.995753407628418,0.99207289919442,1,0.998877605908818,0.987376520273712,0.986984570185328,0.988789812968024
"Gly_1.1",0,0.00394838995367005,0.0134573236768862,0.00859669346274831,0.0134208933563128,0.00975189001035403,0.0159091590598643,0.0054449586744937,0.00695909384707536,0.00692576716951717,0.0104314680470162,0.00215538532376518,0.00141198169747794,0.00360531032001059,0.00201284597675038,0.00409610727780364,0.00787887087232366,0.00550098443341276,0.0131208207449409,0.00177167148010609,0.00792710080557969,0,0,0.0103817481546244,0.0115510735144093,0.00910313314275198
"Gly_2.2",0.00121782490228722,0.000112531798047449,0,0.00106154582255732,0,0,0.00190940808738618,0.00239869652038605,0,0.00247166647217144,0.00138961048631699,0,0.00172564103457231,0.000212816025968294,0,0.0014927768480931,0.00157655246562808,0.000271242609383157,0.00148590598958339,0.00247492089147608,0,0,0.00112239409118195,0.00224173157166384,0.00146435630026263,0.00210705388922419
"Orn_0.0",0.959096632545605,0.927527239252792,0.970303782687455,0.925326045659112,0.955126123934318,0.967103073763242,0.890637510010062,0.858521050819735,0.962220259513477,0.949687308935475,0.933717928325857,0.937385515446763,0.930473934130969,0.947920458646675,0.940208735120586,0.876403212115277,0.887579769523138,0.913401714226995,0.926882109551728,0.937980163027844,0.964844389411822,0.948333389624951,0.930908146611903,0.807687491694917,0.845057575702764,0.807943812218917
"Orn_1.1",0.0305313210307588,0.0231662918107297,0.0228164537128786,0.01625012045841,0.0312320308834771,0.0314533608226559,0.0122810541162698,0.0229508658277558,0.0310990862917197,0.0210304525771007,0.00804948738043982,0.0464047550393954,0.0122780378041798,0.0417059899513884,0.0566450644996809,0.0229338001615487,0.0184655207332016,0.0541855670128341,0.014236584298601,0.0510566456806135,0.0347873738861666,0.0493638423382514,0.0374499685719739,0.0235579821994912,0.0173415494879589,0.0246669408486836
"Orn_2.2",0.00207737798749468,0.00347132266043041,0.0020296807092821,0.00993840244149866,0.00185446094863328,0.00115649782863895,0.00816615715238606,0.0166354324910813,0.00116733533893403,0.0023788440361506,0.00650761747758984,0.00154146236108691,0.0125140705286735,0.00205904860558197,0.00304548386654146,0.0155448001087503,0.0106708721267999,0.00252723265996432,0.00625641764378156,0.00153292440474716,6.84736690324032e-05,0.00218557484866332,0.00318173428298724,0.0198294062565644,0.011644549369997,0.0179258744058123
"Orn_3.3",0.00159157937744146,0.00850760188827325,0.000956166573277691,0.0129620079066493,0.00230077184201793,0,0.0221897478189298,0.0296484128788487,0.000983989264309432,0.00464813230907519,0.0115146101146371,0.00285972085879928,0.0164242520116533,0.00165208018147228,0,0.0247505054813977,0.023441643479563,0.00497566891998598,0.0118847545003558,0.0018312065293418,0.000103321668462505,0,0.00502347141600231,0.0472918828074998,0.0297755020556016,0.0454146412080235
"Orn_4.4",0.00034248427741638,0.00163645509919028,0.00022348319158417,0.00831655078583838,0.000476527718205569,0.000209664427619939,0.00369444635905452,0.00680459955638594,0.00037470154084833,0.00122716796986289,0.00245940763640073,0.000764774195486892,0.0038306545356386,0.000272757756402714,4.90574383854538e-05,0.0124253286428314,0.00625422648974765,0.00114561649847671,0.00263136269238339,0.000357008421133659,0.000120438358811898,5.20934121353002e-05,0.00110797217499651,0.00593054120799779,0.00583022929323568,0.00568980244357128
"Orn_5.5",0.00636060478128357,0.0356910892885849,0.00367043312552252,0.0272068727484916,0.00901008467334862,7.74031578428509e-05,0.0630310845432979,0.0654396384261932,0.00415462805071149,0.0210280941723351,0.0377509490650752,0.0110437720984691,0.0244790509888864,0.00638966485847932,5.16590748062633e-05,0.0479423534901947,0.0535879676475494,0.0237642006817441,0.0381087713131505,0.00724205193632006,7.6003005704157e-05,6.50997759985785e-05,0.0223287069421373,0.0957026958335303,0.0903505940904431,0.0983589288749925
"Pro_0.0",0.884259234566428,0.636154831912234,0.936118867195225,0.641565471946667,0.911367920257181,0.997278678001174,0.289287217940636,0.440989583809086,0.941614098114998,0.665614987928466,0.306089765913571,0.844645799065845,0.657270650381744,0.873512195278493,0.996344308523898,0.612929031295504,0.433898263351985,0.641775122912815,0.311919948342724,0.880443629494158,0.993915262796229,0.995192791368613,0.670669430099036,0.426295932623036,0.30340745566873,0.429489563463722
"Pro_1.1",0.0108860818644806,0.0199415620312701,0.00489429554694097,0.0700511951868655,0.0101755703382741,0.00231730222276828,0.0661157894902768,0.0725563938625699,0.00655645462580536,0.0198600274395514,0.0532391578631122,0.0160348977953586,0.0662087663005244,0.0150347965403352,0.00191913503315178,0.0739689200495264,0.0668879408738992,0.02394320588897,0.0553256502007467,0.0122988291673187,0.00448571650706888,0.00479947068726562,0.0221350043507058,0.0707117577545312,0.0505618431824864,0.0670795614049446
"Pro_2.2",0.00991485244516081,0.0217414026262142,0.00682833459888501,0.0424313306960707,0.00570724118248135,0,0.0594365313068085,0.0544490862568762,0.005241429800565,0.0218278360109238,0.0520862642755763,0.0108631043377292,0.0425665013503813,0.00671062142778329,0.0013698958234382,0.0432627384393056,0.053071785720995,0.0212974450451389,0.0519954459498807,0.00898687948250678,0,0,0.0209229420964941,0.0548288947246004,0.0518463695214082,0.0528347106584986
"Pro_3.3",0.0220741885506484,0.068703438493623,0.0145248311420227,0.0849010817110997,0.0192524957173487,0,0.157930002496431,0.134169724812433,0.0116596255021718,0.0644050441294553,0.142858422112314,0.0306588502975031,0.0837703466026971,0.0252656959809049,5.71924995874383e-05,0.0925319314930038,0.133320284515881,0.0669673169765637,0.14712625758858,0.0221565255373784,0,0,0.0652411481691125,0.13647708795911,0.145912178718273,0.135259194512396
"Pro_4.4",0.00331150589818861,0.0105389110892638,0.00207902571558759,0.00750648700807666,0.00544305041432932,0.000404019776057827,0.0210469359830369,0.0132435829285464,0.00186125552982834,0.0103172585571326,0.0216679566273137,0.00468160825993685,0.00700457258146733,0.00384364785043564,0.000274392919400667,0.00817318710408908,0.0143526245208897,0.0116872884409081,0.0218283465797616,0.00362178532691992,0,0,0.0109276975530674,0.0143650259259646,0.0207302323282786,0.0136717831642696
"Pro_5.5",0.069554136675094,0.242919853847395,0.0355546458013384,0.15354443345122,0.0480537220903859,0,0.406183522782811,0.284591628330488,0.0330671364266318,0.217974845934471,0.424058433208113,0.0931157402436271,0.143179162783185,0.0756330429220479,3.50752005239484e-05,0.169134191618572,0.29846910101635,0.234329620735604,0.411804351338306,0.0724923509917177,0.00159902069670191,7.7379441211834e-06,0.210103777731584,0.297321301012758,0.427541920580823,0.30166518679617
"Ser_0.0",0.992444345076132,0.989773321194491,0.997835336277556,0.989672210746601,0.991988534867084,0.99819662984858,0.986719095143163,0.991027459228821,0.991815675117978,0.988088550140685,0.992434823677766,0.993789735771483,0.967210494305713,0.992303667176785,0.992478691389313,0.991940499465322,0.992562289291877,0.992799252427434,0.987786650010519,0.995619721749774,0.991278726135518,0.992709453697723,0.992486742403668,0.99257057888601,0.981530297527601,0.990245260394226
"Ser_1.1",0.00728449272331625,0.0102266788055092,0.00198315479973992,0.00972578560245132,0.00799026263075808,0.00180337015142009,0.0121731556204994,0.00863467991938086,0.00802746354240824,0.0111069406657837,0.00659483107593323,0.00607114125018746,0.00507074514857439,0.00757511300819774,0.00752130861068665,0.00786612774367259,0.00701971823276021,0.00684587412771921,0.0117408287658236,0.00380708561489988,0.00872127386448239,0.00725556291138692,0.00731598712046779,0.00703373985141834,0.0170641686947683,0.00952868229790679
"Ser_2.2",0,0,0,0.000483783509046912,0,0,0.00110774923633739,0.000211775263864274,0,0.000124071897787765,0.000468471302543579,0,0.00240912605862246,0,0,0.000193372791005331,0.000417992475362732,0,0.000469946607648561,0.000407692448935135,0,0,0,0.000195238987665259,0.00140553377763033,0
"Ser_3.3",0.000271162200551516,0,0.000181508922704359,0.000118220141901204,2.12025021575528e-05,0,0,0.000126085587934156,0.000156861339613588,0.00068043729574359,0.000501873943756905,0.000139122978329141,0.0253096344870904,0.000121219815017682,0,0,0,0.000354873444846977,2.57461600933536e-06,0.00016550018639096,0,3.49833908900752e-05,0.000197270475864083,0.000200442274906479,0,0.000226057307867685
