"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",-539.85221685,-284.39665492,-694.28448963,-630.30082783,-855.01541231,-925.7332506,-1269.1217449,-567.60636446,-2058.68091038,-1083.7615043,-2619.20067453,-1914.18063055,-623.55055283,-1788.14470024,-2300.8770748,-393.75523527,-960.28864141,-2317.50947446,0,-1774.08630614,-263.82524078,-1041.91959773,-1273.94159489,-399.4469131,-1544.18204868,-1019.69729333
"Ala_1.0",11943.42508835,6327.67773353,6573.13126261,14004.24491119,7467.36478026,20513.01862657,28237.29909424,12628.94654941,26371.68570304,24113.13009695,58275.85346473,20164.01456623,13873.6756592,21586.05010664,31103.46532087,8760.84929828,21365.92308284,51563.38109177,0,28396.43726502,-35.11578692,23181.16633791,28344.53825092,8887.48617126,34357.24786836,19122.961108
"Ala_1.1",-90.85453357,0,5551.7377231,-26.21299784,7251.43013996,-202.15462814,0,0,12214.39584824,0,0,14250.1344233,0,11404.33197912,12756.43640141,0,0,0,0,7038.20603013,3644.48533803,-83.53218962,0,0,0,2265.21065911
"Ala_2.1",0,0,169.24742654,0,-3.43100041,1999.02297168,0,0,306.51512065,0,0,0,0,0,211.85259356,0,0,0,0,0,492.62606672,1828.73121053,0,0,0,0
"Ala_2.2",1516.40958227,0,902.5017681,437.50861448,1038.96540296,1852.34808925,0,0,1360.96984159,0,0,0,0,1812.52696227,-6.7698002,0,0,0,0,0,967.62193912,-17.79586322,0,0,0,0
"Ala_3.2",0,0,0,0,57.26518745,492.70131285,0,0,0,0,0,0,0,0,150.62453524,0,0,0,0,0,43.55397035,893.60308584,0,0,0,0
"Asp_0.0",0,0,0,0,0,11.39467925,0,-1e-08,0,0,0,-1e-08,-4e-08,0,22.84761728,-1e-08,-1e-08,0,-1e-08,0,0,53.94443814,-1e-08,-1e-08,0,-2e-08
"Asp_1.0",0,0,0,0,0,-253.52569006,0,0,0,0,0,0,0,0,-508.34760776,0,0,0,0,0,0,-1328.07372309,0,0,0,0
"Asp_1.1",0,0,0,1e-08,0,-98.70238999,1e-08,-1e-08,0,0,0,0,0,0,-197.90942613,0,-1e-08,0,0,0,0,-788.73083999,0,0,0,0
"Asp_2.1",0,0,0,0,0,2196.07686858,0,0,0,0,0,0,0,0,4403.38185186,0,0,0,0,0,0,11503.97019851,0,0,0,0
"Asp_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596.66214803,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,0,0,0,0,0,0,0,0,-1e-08,0,0,0,-1e-08,0,-1e-08,0,0,0,0,0,0,0
"Glu_0.0",-0.59809896,-1.58942629,10.80538187,-66.93691143,-0.62861932,13.98701833,-83.66659495,-86.40170922,-0.14770796,-1.14653201,-61.33353932,-1.70194862,-74.565368,-0.85457068,0,-74.53427185,-89.09175675,-3.22356303,-94.29909945,-0.97720978,1e-08,5.23801619,-2.06875374,-119.42713976,-53.17931497,-71.17427201
"Glu_1.0",13.3073911,35.36390875,5.13631882,1489.31148328,13.98645324,-106.63973064,1861.53824554,1922.39311686,3.28642543,25.50974121,1364.63936739,37.86747221,1659.04067699,19.01375374,0,1658.34880429,1982.24527568,71.72260196,2098.10594296,21.74240961,0,-116.54313719,46.02869522,2657.19177783,1183.21211401,1583.59055388
"Glu_1.1",2.13485289,5.67329405,-38.5687018,238.92443681,2.24379218,-70.70886231,298.63932557,308.40203539,0.52722842,4.09242836,218.92377516,6.07493098,266.15342984,3.05030241,0,266.04243542,318.00388395,11.5061775,336.59095924,3.48805004,0,-41.41032925,7.38420418,426.28292078,189.81810798,254.04926066
"Glu_2.1",-47.49936702,-126.22784352,-18.33356299,-5315.94451842,-49.92320965,843.0646648,-6644.5697514,-6861.78497012,-11.73055834,-91.05440366,-4870.94019359,-135.16405639,-5921.77545914,-67.86764295,0,-5919.3058905,-7075.4211095,-256.00646809,-7488.9738727,-77.60730008,0,921.35829951,-164.2947045,-9484.57339135,-4223.35422928,-5652.46398676
"Glu_2.2",102.28382616,271.81555489,-1847.8811399,11447.20822915,107.503262,-1572.32957539,14308.23314161,14775.97839942,25.26026061,196.07404014,10488.94819624,291.05854909,12751.78785862,146.14430948,0,12746.46995765,15236.01656654,551.27726374,16126.54967453,167.11741837,0,0,353.78768286,20423.8186082,9094.45445123,12171.85996582
"Glu_3.2",-2275.76196166,-6047.75479798,-878.38697412,-254694.4324766,-2391.8916958,0,-318350.74952743,-328757.83836487,-562.02766757,-4362.54546769,-233373.64487828,-6475.90141573,-283720.65107058,-3251.63491541,0,-283602.33053841,-338993.44844076,-12265.63254673,-358807.34716626,-3718.27568588,0,0,-7871.59203349,-454419.34708392,-202346.88395389,-270817.55692068
"Glu_3.3",-975.44049419,-2592.1977027,17622.51335332,-109167.50840781,-1025.21619445,14994.68680096,-136451.97418621,-140912.67616196,-240.89713909,-1869.88076022,-100028.96055355,-2775.71054607,-121608.76961479,-1393.72061853,0,-121558.0548914,-145299.87865458,-5257.31375889,-153792.54154743,-1593.73288318,0,0,-3373.93354516,-194773.89988888,-86730.22390216,-116078.22611056
"Glu_4.3",21703.04393091,57675.05137853,8376.83000629,2428920.31334061,22810.52738662,0,3035985.4935794,3135233.79372556,5359.83611872,41603.87489156,2225592.37409033,61758.11674762,2705731.90783375,31009.55926206,0,2704603.53160158,3232846.76857936,116972.49821694,3421804.10318958,35459.72817786,0,0,75068.26750222,4333618.02287724,1929702.39670206,2582680.18981657
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_5.4",0,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,1e-08,0,0,0,0,0,1e-08,1e-08
"Gly_0.0",-119.64643345,0,-2.59985103,0,-6.19652593,-1.8109968,0,0,-6.98122157,0,0,-0.60153683,0,0,-15.08283786,0,0,0,0,0,-7.11140786,-32.47054919,-320.63507476,0,0,0
"Gly_1.1",1687.99326401,0,-38.44881004,0,-91.63949998,-26.78256228,0,0,-103.24424707,0,0,-8.89603873,0,0,-223.0578449,0,0,0,0,0,-105.16955266,425.7993476,4523.57693233,0,0,0
"Gly_2.2",0,0,640.11851228,0,1525.66855348,445.89192497,0,0,1718.87124117,0,0,148.10651014,0,0,3713.59882614,0,0,0,0,0,1750.92486657,275.21632101,0,0,0,0
"Orn_0.0",1e-08,1e-08,0,0,3e-08,3.29404651,0,0,0,-1e-08,0,1e-08,0,3e-08,32.56031071,0,0,0,0,1e-08,0,22.55880347,3e-08,0,0,0
"Orn_1.1",0,0,0,0,0,-3.90608673,0,0,0,0,0,0,0,0,-38.61007944,0,0,0,0,0,0,-26.7502728,0,0,0,0
"Orn_2.2",0,0,0,0,0,-487.60487844,0,0,0,0,0,0,0,0,-4819.77601006,0,0,0,0,0,0,-3339.29183645,0,0,0,0
"Orn_3.3",0,0,0,0,0,3724.72996527,0,0,0,0,0,0,0,0,36817.44158884,0,0,0,0,0,0,25508.27712323,0,0,0,0
