"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2714310.92034321,1221285.09638576,1038804.27915439,2408777.22437621,187946.76372679,1955932.11675483,14476371.4550479,2985747.42780733,3809876.93840475,4885363.69133777,12439551.2540737,3074749.52989129,3042216.97628156,3764934.90570769,4986071.17032375,3517551.60667327,4942143.03581561,17077479.9143687,27711487.2985305,4590735.28158527,175040.29637191,3528150.7491425,9194682.34144362,7069317.61043469,11762164.7227835,2691140.048836
"Ala_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8882.05343732,0,11.62978553,0,0,0,0,0
"Ala_1.1",217.7897964,10749.65193402,0,398.75252571,0,2826.88728597,173985.83760228,2563.11373425,0,26375.69979203,85118.38179513,0,5366.96122488,0,0,9060.39836543,19109.21640101,125543.53132037,322261.60075844,0,0,7136.71603259,66311.70295508,33656.56411629,73306.13997919,0
"Ala_2.1",617.59147605,477.95555643,0,1665.22622226,31.35319107,0,47685.35715604,1810.61698579,0,11601.48126846,43760.28975437,603.61836483,1499.4719098,475.3520671,0,850.59131503,3046.77903208,39575.34152902,105359.18049405,1045.62082132,0,0,18008.34967419,8527.1711367,28760.43392484,2614.48550443
"Ala_2.2",0,1114.02953415,0,0,0,0,21836.44968209,1885.54799155,0,4842.65981603,25685.28940887,1096.36298311,1425.82175534,0,759.36784412,2165.09764948,3100.89385535,39461.02580012,56970.30549608,3637.04602513,0,0,12593.74723801,6668.43250879,22666.01777813,2566.25379187
"Ala_3.2",3717.72685841,11275.18933069,562.88875942,3245.37100705,0,0,264455.41720731,9708.53185551,2645.93387853,77803.5124492,238274.90385506,4797.05961051,3749.83213916,3655.76661853,0,6170.83733303,13013.03517748,328938.1491405,577672.33896004,6204.01855662,0,0,154557.26603623,24739.79735495,166251.86694722,11264.94846951
"Asp_0.0",19829982.6302506,22204158.8881508,15198950.6201842,91860426.956422,23510179.4614776,21849139.8794943,38750993.9187878,62905224.9247006,17930368.5601375,16742903.5296935,25304594.9595263,33008020.1427559,110523117.163529,25290793.3188325,29922287.2041642,101873693.672844,58752283.0147693,36689489.4769006,46691137.8743092,29565415.7163148,22442414.2078149,32889154.9734708,26004117.9008038,93701696.9943027,15021921.5850266,50127064.1582115
"Asp_1.0",54903.67068348,85698.16540297,54034.65665771,7296584.76099575,108924.33271842,64971.32073007,4649242.04277041,6584717.65992498,52435.37044014,62827.80330475,2613845.45643076,178307.1323425,10171097.3297989,109800.86201282,114953.22111056,9371752.69484817,6473047.90146788,190298.92720344,4947068.80070831,155235.29131047,50487.18168343,158641.04901968,112963.8655914,11739532.8304802,1313527.46533095,5381798.27575707
"Asp_1.1",131910.84400925,189704.80748145,96828.9789995,21387243.3874767,193258.29694946,89774.36398368,14843802.8897,19955309.4155418,90484.62903709,72402.25801356,7956441.37583913,367430.44452404,28378741.126202,261255.62805633,249864.07876923,27233367.5017169,19728963.0546506,343651.12144265,16126625.8528176,266740.79439836,151807.2500794,404926.25877149,178018.76105943,34168751.7617638,4499300.14943617,16542940.7756643
"Asp_2.1",18623.18328409,37553.62122362,20697.68147836,12218818.8421488,36661.71131331,0,15005316.5221888,16465236.8930241,17665.3472465,39610.81277916,8855410.23684783,34231.46261303,15479717.0687921,18329.73323329,0,15670485.6384994,16630431.768685,100379.17281329,17100146.9133318,8486.82534499,246.19429168,0,61300.42287266,28576403.3210355,4957994.46831283,14005563.0592163
"Asp_2.2",44171.67212897,57895.66442576,31201.70907016,12665561.9404278,59784.30076393,0,16165012.9854079,17698692.8687621,22030.77113642,50419.77621673,9294551.57753931,42751.31166723,16003391.4005761,42247.49196487,2264.74399563,16371445.0143737,17311744.512448,135137.64886364,17775016.614789,34095.23754257,9955.20935812,0,70419.9992821,29776750.8079718,5254587.36386147,14374931.2239784
"Asp_3.2",11753.52537302,34241.2741978,6680.94360044,2431923.2664705,15246.41031816,0,6834228.28009383,5643821.86902166,8634.66467149,24063.80477373,4014573.66591385,25697.66096516,3334971.28685139,19003.90350164,0,3142067.83949763,5520721.55627267,61592.23123843,7722035.09227018,19318.8909288,1658.93347921,0,39451.38445847,10352295.7911778,2309911.24734267,4705905.49651697
"Asp_3.3",47387.90444502,104432.71252798,40973.42161215,2534190.45335256,87188.37943439,26295.56313305,6973334.52189975,5891293.45136763,57650.2591577,85160.2377249,3833259.69258929,70891.54913845,3518434.78567976,63033.71268577,70912.44835106,3319192.55756673,5786056.5596248,120344.60037428,7721635.36385705,61234.4976159,41033.37906738,64580.26367095,128468.91567169,10213214.9653651,2444696.87422671,4938474.61155118
"Asp_4.3",201831.7864068,425741.75244776,176902.32997754,31891086.1496591,327837.74496666,105234.69482843,58395716.4162667,53092183.8245701,161745.80687533,337016.85504936,37781373.1452481,455736.13219405,39608441.4468568,276797.41951841,149645.52532134,43175842.486881,54997663.6889269,869071.97443357,67335291.1558752,301536.79962306,117110.60240061,166159.27714858,560565.44234485,83876646.7934662,22016818.1600939,45007575.6214434
"Glu_0.0",10886542.643534,12241095.379853,9590640.76321169,114668272.421651,15243414.9962477,12486015.7788284,53892272.0080186,76767946.7859764,10623435.9733601,8724488.21342999,44607161.0316782,19441739.4366391,130444024.158336,15243137.471194,16927560.2201867,117763979.039641,74486291.1958271,19199423.6309601,67794588.824403,16563626.1081768,13806443.9014945,19929197.7228218,14040029.83855,104127914.242181,39237999.6989945,63866540.7525814
"Glu_1.0",48306.4059518,77573.46363039,57788.00034292,8513673.14155595,125597.11622499,30567.55478183,4049354.72884446,6204563.09985216,55803.24149512,65755.85467213,2852075.09480186,127427.56139047,10063677.6432601,80928.93679264,66317.63180947,8842499.28266534,6075672.73718445,182486.7655884,4606029.11854604,91324.19809029,44608.78185524,75342.87615575,112481.60701826,9268798.65130527,2297809.63717538,4894578.52498659
