"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",0.998319992608167,0.980984254791572,0.999456556004256,0.997794186710704,0.999832813541051,0.998554904321616,0.966015926921564,0.994665251267928,0.999303585968939,0.975837257201944,0.969303631490194,0.997884723897661,0.996048467352099,0.998900286108017,0.999847358514928,0.994827979515843,0.992299005523373,0.969623190662184,0.962690667477702,0.997627067103612,0.999933493872671,0.997978645570136,0.973306804329786,0.989674178265122,0.975793864798454,0.993907201445306
"Ala_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308885261177597,0,6.65061273289971e-05,0,0,0,0,0
"Ala_1.1",8.02079916442848e-05,0.00864588232827233,0,0.000165393226188175,0,0.00144509567838397,0.011625413399575,0.00085499130009069,0,0.00527538821266077,0.00664122850277884,0,0.00175949761422535,0,0,0.00256581148734665,0.00384184697707147,0.00713745675412488,0.0112099951568363,0,0,0.00202135442986385,0.00702866993674603,0.00471796225343681,0.00608949273192064,0
"Ala_2.1",0.000227687025896297,0.000384821484664231,0,0.000691423905293236,0.000167186458948854,0,0.00318960148413115,0.000604612728710793,0,0.00232284780099262,0.003417921873436,0.000196363105331682,0.00049210234766504,0.000126417404353338,0,0.000241132236385012,0.000613189938420635,0.00225232314020281,0.00366881765047037,0.000227765012749454,0,0,0.00191079352575375,0.00119659322820087,0.00239162495708848,0.000967882400142063
"Ala_2.2",0,0.000896988414505171,0,0,0,0,0.00146066878161807,0.000629660745982854,0,0.000969637954456353,0.00200624856498253,0.000356672925549773,0.000467951315662441,0,0.000152641485072315,0.000613804618186993,0.000624107347613961,0.00224591197690714,0.00198390386855856,0.000792282238039717,0,0,0.00133632825746704,0.000935801322793015,0.00188491252700952,0.000950067127561552
"Ala_3.2",0.00137211237429235,0.00908805298098654,0.000543443995744035,0.00134899615781479,0,0,0.017708389413112,0.00324548395728721,0.000696414031060933,0.0155948688299461,0.0186309695686089,0.00156224007145709,0.00123198137034816,0.000973296487629263,0,0.00175127214223859,0.00262185021352096,0.0187411174665815,0.0201377305852546,0.00135288564559858,0,0,0.0164174039502467,0.0034754649304473,0.0138401049855275,0.00417484902699036
"Asp_0.0",0.974806641359525,0.959424174200465,0.972553025217432,0.503035905676112,0.965820609446845,0.987024724451373,0.238996981387595,0.333292669598755,0.977526983226375,0.961279985923212,0.253102768869699,0.965508645496994,0.485960464555645,0.96959082337975,0.980683037326564,0.461824265529864,0.316362952245154,0.952545969601119,0.251009279475579,0.972069337020399,0.983628997705676,0.976356752165381,0.957437730661403,0.309013467967117,0.258969374582043,0.32234691362063
"Asp_1.0",0.00270180750935766,0.00370684761779024,0.00346121804486438,0.0399988067227365,0.00447942541967366,0.00293813847030878,0.0287044086263759,0.0349247316838965,0.00286167794291827,0.00361100324494081,0.0261718420335461,0.0052211032852655,0.0447684956928726,0.00421394314300281,0.00377148078478773,0.0425297072250627,0.0348920568317443,0.00494581073565196,0.0266231934173661,0.00510929046134719,0.0022151327377385,0.00471441999128902,0.00416356007131464,0.0387558837282823,0.0226683000914178,0.0346445990744102
"Asp_1.1",0.00649594854368118,0.00821146410679178,0.00620684598397662,0.11732519067937,0.00795324944233603,0.00406267381500551,0.0917108417759085,0.105916455795208,0.00494174440598346,0.00416425357789458,0.0797227561690032,0.0107665797312479,0.12499909570548,0.010033619566705,0.00820358406498909,0.123675015504917,0.10642191348275,0.00893774525009463,0.0868489876937256,0.00878554334235606,0.00666530756585009,0.0120419741651865,0.00656598849298302,0.112882078304272,0.0777022893677813,0.106568755232019
"Asp_2.1",0.00091806381942913,0.00162723756492185,0.00132814103019969,0.0671000062762051,0.00151034466828656,0,0.0928063173336991,0.0874842423774729,0.000965794050475605,0.00228063449332146,0.0888237287486889,0.00100411847139096,0.0682548695976109,0.000704701178338644,0,0.0712393519971369,0.0898022475978826,0.00261342894510463,0.0921887592619248,0.000279821659551544,1.08208789333081e-05,0,0.00226336549833663,0.0945062058344898,0.0857140003495543,0.0903180659717217
"Asp_2.2",0.00217859848431378,0.00250991829777271,0.00200315834153201,0.0695876547994709,0.00246413722774829,0,0.100028288738081,0.0940843625834928,0.00120505383251792,0.0029044055023333,0.0932745493720355,0.00125465218417196,0.0705987565878654,0.00162504049479785,7.44715177429188e-05,0.0744627242276005,0.093527412238781,0.0035201230539965,0.0958743750767686,0.00112471939994078,0.000437773389604172,0,0.00260136707820691,0.0985245522534439,0.0908863675032845,0.0927457962068874
"Asp_3.2",0.00058030776836091,0.00148600522885624,0.000429369884400797,0.013375637272655,0.000629074697300591,0,0.0423343738152233,0.0300335334480482,0.000472801780756901,0.00138764223733169,0.0403302604948656,0.000754960754279283,0.0147276685636088,0.000731750368957495,0,0.0143062016578714,0.0298573188170537,0.00160606937801928,0.0416947313220478,0.000637954248666083,7.30272272105927e-05,0,0.00145889739791523,0.0342894653612235,0.0399956077460591,0.0303940474935502
"Asp_3.3",0.00234033274437642,0.00453342931357346,0.00263400064539339,0.0139419568895385,0.00359843025135142,0.00119341123448313,0.0432079864859824,0.0313591048865545,0.00315758289683941,0.00491213110789582,0.0385194172330814,0.00208326787774372,0.0155421565304742,0.00242779991146173,0.00233491091828507,0.0151168430068049,0.0313009491088974,0.0031389532208982,0.0417040821839397,0.00202266226602401,0.00180681210448458,0.00192605902453338,0.00475204374195219,0.0338381322967369,0.0423410763467249,0.0319049472952106
"Asp_4.3",0.00997829977095548,0.0185009236698284,0.0113842408522014,0.175634841683911,0.0135447288464588,0.00478105202882921,0.362210801837134,0.282904899626572,0.00886836186413332,0.0194599439130704,0.380054677079081,0.0134066721989066,0.175148492766443,0.0106723219569865,0.00493251538763102,0.196845890850742,0.297835149677738,0.0226918998151156,0.364056591568648,0.00997067160171503,0.00516212839050272,0.00496079465360991,0.0207570470578882,0.278190214254435,0.381722984013135,0.291076875105571
"Glu_0.0",0.6503474421795,0.512585812232203,0.695437551115192,0.451430892055612,0.662577847346732,0.798928229809718,0.192093451496433,0.2850473450198,0.713198310231465,0.503476991673376,0.201173885772352,0.60192491718402,0.449255673564884,0.64460484884469,0.798136577080763,0.432305249701182,0.26811985286046,0.480772853769567,0.204777092690307,0.654982842432001,0.791295238832104,0.795502666756467,0.496585132666403,0.281425306963162,0.204024059943701,0.288913450065612
"Glu_1.0",0.00288879725681907,0.00325174409494214,0.0041947401021545,0.0335522659967066,0.00546501280712177,0.001957949403299,0.0144486998020024,0.0230624349514747,0.00375026196722124,0.00379866480624275,0.0128761152352466,0.00394936663870055,0.0346962850598779,0.00342594127574305,0.00313017583091674,0.0324945067709222,0.0218929291970185,0.00457446172471097,0.0139273951881111,0.00361507448810898,0.00255937522657612,0.00301058502350141,0.00398257600296158,0.0250770418694805,0.0119603930079351,0.0221649392297105
"Glu_1.1",0.0172406151024498,0.0198250375196738,0.0146098109107607,0.104124669165901,0.0156800396704903,0.00340377800227993,0.0756380264999379,0.0917558203400095,0.0120109163175388,0.0205559366956107,0.0656329296176772,0.0232422166176779,0.110527915026841,0.0182601229344138,0.00489224385535433,0.105286222005221,0.0895417713950453,0.0227296153814247,0.0698835853514589,0.0176078078894332,0.00376300586132814,0.00382625551107541,0.0226804231721596,0.0944266551413117,0.0612975131230276,0.088470962369033
"Glu_2.1",0.00811199889322845,0.00999550518023421,0.00666989412620776,0.0463740523267634,0.008290100031147,0,0.045887204771738,0.0501949181914036,0.00619910433664152,0.01040250612562,0.0411621370875507,0.0103030929189222,0.0466911538260188,0.00918403786392035,0,0.0472128883272873,0.0498816048085728,0.0117663768975853,0.0441090282603748,0.00811957313874168,5.54097312190348e-05,0,0.0106016740172722,0.0516137995346339,0.0377447049926277,0.0488848195663484
"Glu_2.2",0.00504318333036775,0.00933417343645157,0.00371077233420469,0.0182165327853723,0.00457888043657251,0.000608582116107456,0.0270479325254211,0.0228249052409536,0.00362987707051458,0.00831865782486059,0.0251229325346505,0.00615862439938214,0.0200931703549186,0.00609890341261939,0.00051869632749238,0.0180067989958943,0.0222521617842224,0.0100187726976876,0.0270883685984972,0.00506758917766168,0.00253117639977014,0.00111404717584282,0.00811830656800552,0.0241560538720802,0.0244200650810001,0.0217643955672415
"Glu_3.2",0.0391335036713691,0.0607123544014114,0.0260298129099621,0.127856473952228,0.0326945265618624,0,0.186681907743497,0.172376681772835,0.0235589039279181,0.0638664373480817,0.178540736832601,0.0483338077315224,0.125824260780794,0.0392278160906527,0,0.133387344818721,0.174573068958011,0.0697371077719151,0.187008681168506,0.0390200752401713,0.000784560276499683,0,0.0628422349646194,0.175499017856772,0.173416263491893,0.170752073807617
"Glu_3.3",0,0,0,0.000169303589192994,0,0,0.00121586572442356,0.000365068154625665,0,0,0.00140469670051353,0,0.000436716719602062,0,0,0.00039235586312131,0.000121069897477711,0,0.00191129529562667,0,0.000146980271036015,0,0,0.000486641579422402,0.000867915646822064,0.000186850721907609
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",0.0112226940356831,0.0160031739801773,0.00937802335273706,0.022343925654839,0.0106398250221209,0.00503688903636077,0.0419098387993781,0.0334099439935331,0.00819779616945511,0.0163497695438212,0.0403607375144021,0.0131147184943555,0.0220176123993206,0.0121787420515488,0.00469066219542548,0.0234943703998341,0.0346363034994127,0.0180679248026402,0.0435078214633481,0.0115148302378084,0.00529487361599025,0.00482837694792201,0.0165956650244112,0.0349881394267434,0.0376482040985181,0.0324164529339031
"Glu_5.4",0.266011765530583,0.368292199154907,0.239969395148782,0.195931884473385,0.260073768123953,0.190064571632235,0.415077072637169,0.320962882335365,0.229454829979246,0.373231035982387,0.433725828705006,0.29297325601542,0.190457212267742,0.267019587526412,0.188631644710048,0.207420263117816,0.338981237599779,0.382332886954469,0.40778673198377,0.260072207396073,0.193569379785477,0.191718068585192,0.378593987584167,0.312327343756394,0.448620880614475,0.326446055738627
