"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",-0.00019901,-0.00023306,-0.00066842,-0.00026198,-0.00454691,-0.0004733,-8.906e-05,-0.00019036,-0.00054044,-0.00022286,-0.00021204,-0.00062229,-0.00020517,-0.00047487,-0.00046133,-0.00011204,-0.00019456,-0.00013671,0,-0.00038726,-0.00150723,-0.00029532,-0.00013941,-5.7e-05,-0.00013232,-0.00038081
"Ala_1.0",Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,-3.01946986,Inf,Inf,Inf,Inf,Inf
"Ala_1.1",-0.40147858,0.00026746,-Inf,-0.05418949,Inf,-0.07151137,7.485e-05,0.00223991,-Inf,0.00041695,0.00031302,Inf,0.00117473,Inf,-Inf,0.00043939,0.00050828,0.00018785,0,Inf,-Inf,-0.01170457,0.00019525,0.00012094,0.00021446,Inf
"Ala_2.1",-0.19391736,-0.13383944,Inf,-0.08486986,-4.84959248,Inf,-0.00607659,-0.07054898,Inf,-0.02109072,-0.01354667,-0.57601629,-0.09355076,-0.70076565,Inf,-0.10413431,-0.07092865,-0.01325848,0,-0.34293323,Inf,Inf,-0.01599661,-0.0106206,-0.01216208,-0.08295712
"Ala_2.2",Inf,-2.606e-05,Inf,Inf,Inf,Inf,-6.02e-06,-3.074e-05,Inf,-2.293e-05,-1.047e-05,-0.26268285,-4.464e-05,Inf,-0.3478418,-1.856e-05,-3.162e-05,-6.03e-06,0,-0.03943255,Inf,-Inf,-1.038e-05,-6.16e-06,-7e-06,-0.01833622
"Ala_3.2",-0.00388191,5.728e-05,-0.02591095,-0.0010121,Inf,Inf,1.106e-05,0.00013284,-0.00994039,3.175e-05,2.512e-05,0.00103459,0.00037768,-0.00449572,Inf,0.00014492,0.00016766,1.61e-05,0,0.00070006,Inf,Inf,1.882e-05,3.696e-05,2.124e-05,0.00021542
"Asp_0.0",0,0,0,0,0,4.9e-07,0,0,0,0,0,0,0,0,8e-07,0,0,0,0,0,0,1.56e-06,0,0,0,0
"Asp_1.0",0,0,0,0,0,-0.00415755,0,0,0,0,0,0,0,0,-0.00461499,0,0,0,0,0,0,-0.00855068,0,0,0,0
"Asp_1.1",0,0,0,0,0,-0.00183549,0,0,0,0,0,0,0,0,-0.00079855,0,0,0,0,0,0,-0.00240001,0,0,0,0
"Asp_2.1",0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0,Inf,0,0,0,0
