"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2628700.74457646,1182916.95843885,1006573.18207598,2332974.56691706,182498.78730487,1894784.10414701,14019756.5444604,2891574.78729497,3691137.94281637,4731667.8337554,12048228.2803957,2979198.26569785,2946339.46129677,3647324.76219863,4830244.25322245,3406362.72291187,4786432.5077572,16538931.5485432,26834690.2608813,4446891.52894605,169749.48374803,3417315.73090897,8904735.99269246,6845584.25022483,11391052.1923741,2606798.48248561
"Ala_1.0",15323.34377715,5849.44402174,3653.20470384,9863.05706785,0,0,120643.27182228,17414.14239635,10936.31405305,24712.12826299,66352.26359792,10042.45434022,16640.3645414,15717.50075546,18061.73567341,27227.20884835,28319.52432818,122289.46881563,299930.80869492,16906.60352437,1855.01541859,11517.13866364,65202.90370278,64285.90969606,85495.23917769,7198.97200164
"Ala_1.1",57068.09056355,36006.24318828,15611.05375059,50833.67110872,0,43767.86161919,472661.85332037,65038.43790126,66286.9347579,128033.68794459,343830.50767765,48688.02689888,68921.33458024,66220.94059253,90335.04313337,82479.560131,122058.94330324,480409.31766759,894949.37106446,88346.40126928,0,80847.83943768,257206.74722098,180870.49742182,318046.32365064,53828.78170689
"Ala_2.1",2062.67992403,1485.32176205,613.19344439,3137.66915718,466.97884022,0,58395.63338907,3470.95400387,2406.5754809,15732.5177175,54632.52931144,3378.80678942,3175.12743975,3342.7894331,3047.81206804,2407.50615025,5919.43223327,53390.91896431,123345.58918142,4365.80815155,0,76.96929896,25125.2499889,11291.72282217,36834.80538462,4722.74717302
"Ala_2.2",0,1441.07341151,0,0,0,0,27229.9389764,2287.35187721,0,6286.5715576,29539.76303748,2535.97442697,1818.81428149,0,2268.02174468,2652.35039963,3892.38386203,44734.68332233,67428.00588991,4641.8527028,0,458.8196358,15461.24097379,7861.67905604,25706.68599333,3077.95081789
"Ala_3.2",3673.17779843,10974.0653865,596.44255477,3216.88396206,0,0,257432.36308732,9491.54510377,2712.40587094,75728.98642245,232084.05425631,4674.11074381,3704.94069628,3635.64028546,0,6044.38999986,12747.70659084,320150.07571125,562288.7266943,6115.07820588,0,0,150371.09077621,24197.14950805,161954.51940339,11023.59053284
"Asp_0.0",18996599.4949503,21271641.350633,14560267.8763691,88271624.0004875,22522914.3712584,20930385.0722805,37310686.4331957,60516113.3611589,17176566.0104041,16039045.0825628,24342947.8558045,31623081.7939891,106244454.660381,24229195.7630204,28665527.3816016,97940551.8871388,56534790.1137143,35149396.6702972,44932076.6497327,28324271.1032492,21499145.5362012,31509329.701205,24911708.3197252,90205409.5778178,14446515.7835849,48230887.3404726
"Asp_1.0",258266.53801782,312573.73912386,209471.04643869,8066819.04806049,348357.80855695,288957.37433931,5005733.80669779,7125806.0714313,236206.17057641,234078.0304359,2854763.88240384,513260.65030039,11047987.890503,367475.31175749,420820.88704799,10193872.0394727,6977304.98588719,563538.68836508,5394009.22671343,455218.08958335,280921.27698683,494392.49306974,378307.37163567,12505403.4797671,1463488.80746249,5816058.48433969
"Asp_1.1",743869.93492562,873552.70994626,566064.9048729,23727985.640801,917577.73393942,765373.66132154,15899900.9046414,21595295.656474,644673.79862048,591207.62038857,8683664.92389516,1379432.78762991,31108946.5082414,1037590.23376173,1169894.42670079,29750613.0975555,21243223.4981253,1473514.12169482,17428633.3335439,1175467.47086021,843295.19219036,1411624.36042549,980943.30832925,36535224.5961335,4932211.21274396,17837352.417325
"Asp_2.1",27906.22293282,48929.19186459,27840.56895322,12262123.1985461,48874.90563981,7772.12882001,14861491.300214,16359204.3928635,25765.42588396,46914.28918817,8759537.80562609,53936.77339169,15579448.017802,32671.39247136,11161.88625506,15720218.3140312,16508575.2919272,119603.15455717,16916792.1578224,26146.2661095,10993.74397216,6950.45451131,73860.63149119,28400215.2387338,4901876.27836411,13900915.0888689
"Asp_2.2",53337.62212441,70448.94218167,38366.71430294,12735576.7477403,72058.98501907,9327.0067109,16119768.1296405,17661099.9481626,30853.26504302,58322.91974536,9254539.77697849,62185.81463507,16129650.3898369,56556.88264195,19565.72669469,16449540.0595607,17280093.1329035,153492.19931165,17727197.9625131,50241.99956305,21487.96454009,16430.11418565,84294.86818883,29737438.52527,5240881.21161505,14357360.7954007
"Asp_3.2",18139.86736216,46833.87611092,12425.31710679,3656635.78794388,25755.54346054,2305.47916488,8747909.70439925,7498343.24224285,13715.07123457,34384.71722253,5238444.85208813,39377.68043458,4853536.31588531,27329.51569069,3584.02458266,4779325.9660974,7434893.88449073,88231.75601584,9921367.19785323,28094.72534023,5255.70544311,4394.24020519,56411.480464,13298223.6280509,3018378.53384392,6275442.71426995
"Asp_3.3",47945.16751787,105030.15433204,41401.27078539,2876232.21656325,87546.65056143,26373.04317493,7430588.39906236,6356849.755611,57170.23703775,85570.88883468,4143985.94092691,72999.46376495,3931440.66232531,63693.14962773,69601.45011721,3778458.73707835,6270262.28546557,125445.00061883,8252588.01335477,62127.33842351,40672.62990958,64234.2653079,129544.90910407,10931682.5279049,2615620.59542656,5328795.34444625
"Asp_4.3",194500.35799668,410416.90169183,170432.63390674,30688837.1693054,315994.62245123,101497.61349393,56241566.1915778,51123765.7421272,156065.42139092,324881.51506952,36376163.4286861,438790.84797099,38122444.6700621,266749.80446721,144673.03869556,41545264.7552513,52951766.0955139,836743.52418998,64846290.0603999,290497.04329226,112940.90102243,160550.98354308,540235.77882993,80791691.1547848,21199783.9400739,43337438.7389788
"Glu_0.0",10319688.0019216,11605381.8848112,9090893.42790858,108999533.730593,14449838.8667337,11832948.3739806,51313950.5897567,73045593.7478768,10069376.0347163,8271679.06646088,42439258.7399126,18432077.4564579,124018259.729929,14449838.7602197,16042734.6993785,111957764.079216,70883805.5068443,18204520.2325481,64512224.2611551,15701399.5493784,13084499.9321172,18887191.2063605,13312055.543868,99100796.7899915,37319240.9322896,60757550.1347673
"Glu_1.0",158668.31013678,201273.58628587,153951.93433841,9365600.16427777,277123.74970996,157078.44797251,4519193.58549729,6804146.44409769,162654.09381312,153478.78393171,3251574.3641719,323273.81762398,11014938.5551087,235028.91795214,236407.44287696,9719880.80997204,6661785.69278429,374296.49785819,5206662.89952976,258307.77873247,183768.80590865,275862.49520371,253398.37361092,10045599.4387636,2652509.59229156,5402825.69720312
