"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2399996.70635319,1080000,918998.606695734,2129999.50190559,166620.901732088,1729932.78850229,12800000,2640000,3369999.00948479,4320000,1.1e+07,2720000,2690000,3329997.69347558,4410000.00571884,3110000,4370000,15100000,24500000,4060000,154980.821891184,3120000.06682842,8130000,6250000,10400000,2380000
"Ala_1.0",13990.171635685,5340.52665185945,3335.3660643721,9004.94456291849,0,0,110146.982540531,15899.0651489846,9984.8253024302,22562.1066074258,60579.4381207682,9168.73378986076,15192.6080495371,14350.0358962639,16490.3160683626,24858.3684141494,25855.6495079747,111649.955965787,273836.021268993,15435.6835245789,1693.6240856004,10515.1166089857,59530.0756292629,58692.8625686229,78056.9233141807,6572.64206612785
"Ala_1.1",52103.0131227255,32873.6031434219,14252.8500672507,46411.0049363669,0,39959.9398854748,431539.000218322,59379.9187950283,60519.7930656201,116894.412573683,313916.328312625,44452.0375463944,62924.9930146361,60459.5405702179,82475.6513025195,75303.6164592992,111439.486793285,438612.414320052,817086.36760539,80660.0266317466,0,73813.8598570173,234829.06810742,165134.27745035,290375.437677393,49145.5328530962
"Ala_2.1",1883.22122027263,1356.09477197036,559.843964715157,2864.68349750146,426.350424549832,0,53315.0561502038,3168.97166570918,2197.19693832283,14363.746342198,49879.3522532844,3084.84150687086,2898.88280869317,3051.95775746808,2782.64421690879,2198.04663693509,5404.42570065841,48745.7653473446,112614.19101789,3985.97109462079,0,70.2727628374745,22939.2856315321,10309.3125522843,33630.0781991419,4311.85546075276
"Ala_2.2",0,1315.69614699311,0,0,0,0,24860.8610137127,2088.34610896696,0,5739.62291585405,26969.7241660836,2315.33782789131,1660.57254484001,0,2070.6977499816,2421.58877777935,3553.73599220381,40842.6454988674,61561.5879386915,4237.99902711696,0,418.901092869585,14116.0714051564,7177.69182354833,23470.1351390184,2810.16081442292
"Ala_3.2",3353.60144598812,10019.2921682868,544.550447566264,2937.00640120157,0,0,235035.054786289,8665.75513939723,2476.41926148498,69140.360828189,211892.117032129,4267.45053175747,3382.60088625591,3319.32979765441,0,5518.5118053122,11638.6218152429,292296.157647844,513368.094436053,5583.04994719695,0,0,137288.401252303,22091.9323898973,147864.040419624,10064.5084936304
"Asp_0.0",16700000,18700000,12800000,77600000,19800000,18400000,32800000,53200000,15100000,14100000,21400000,27800000,93400000,21300000,25200000,86100000,49700000,30900000,39500000,24900000,18900000,27700000,21900000,79300000,12700000,42400000
"Asp_1.0",227043.328783349,274785.044805311,184146.982540534,7091578.58165198,306242.988617384,254023.787402015,4400564.14276011,6264329.64618409,207649.955965783,205779.097954803,2509636.36143496,451209.852705217,9712338.13822545,323049.275633852,369945.621876671,8961480.87474531,6133781.64314566,495409.512539258,4741898.89143368,400184.364473377,246959.216407502,434622.766904118,332571.790440446,10993559.0402706,1286559.89673943,5112924.37966551
"Asp_1.1",653939.5598965,767944.297608656,497630.321357795,20859383.8232317,806646.903350342,672843.586951833,13977677.6984794,18984526.0231434,566735.769726781,519733.4008707,7633850.69352007,1212665.85419896,27348021.2511577,912150.456634462,1028459.69517316,26153903.9585083,18675017.7321471,1295373.19765281,15321593.5698151,1033358.98451634,741344.771379878,1240965.61731336,862351.877948109,32118287.850287,4335930.08447219,15680900.4394977
"Asp_2.1",24532.4918863493,43013.8827928578,24474.7751639637,10779690.2003516,42966.1595172228,6832.51501557788,13064806.9292374,14381453.556119,22650.5071276841,41242.5723693708,7700550.90085157,47416.0712753175,13695966.0578439,28721.5748490538,9812.46672642924,13819717.8876202,14512766.2163152,105143.695935459,14871631.5838912,22985.3055619096,9664.65205437825,6110.17726460632,64931.2286775724,24966762.8468416,4309262.50092503,12220359.8620806
"Asp_2.2",46889.3545770876,61931.9965526793,33728.3590691806,11195905.4431715,63347.392786712,8199.41548556808,14170964.0105091,15525956.0645429,27123.2504720331,51271.9531727992,8135709.46298173,54667.8422462782,14179651.5519464,49719.4216455232,17200.3223991841,14460868.0657655,15191011.1805115,134935.714635977,15584063.1399669,44167.978217679,18890.1707337091,14443.7906886068,74104.0152542915,26142322.1300223,4607283.33285317,12621623.4303896
"Asp_3.2",15946.8427509144,41171.8808547957,10923.154732959,3214565.7266131,22641.8194427562,2026.75758173091,7690328.58234978,6591828.82592974,12056.9836553223,30227.7666994502,4605141.51772934,34617.1041523665,4266766.6124577,24025.5058362338,3150.73287439325,4201527.94477997,6536050.19698396,77564.9518671071,8721920.58627084,24698.2052396567,4620.31538451228,3862.99724043664,49591.5979067319,11690530.9630539,2653470.77136583,5516771.21772064
