"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",-3.29364681,0,-1.39330427,-0.49809441,-379.09826791,-67.21149771,0,0,-0.99051522,0,0,0,0,-2.30652442,0.00571884,0,0,0,0,0,-19.17810882,0.06682843,0,0,0,0
"Ala_1.0",0,0,0,0,5686.62841355,1841.12177026,0,0,0,0,0,0,0,0,-0.16756488,0,0,0,0,0,-17.0134385,-1.95810447,0,0,0,0
"Ala_1.1",-60.71113138,0,-25.68249822,-9.18127441,3680.8389443,-102.92809755,0,0,-18.25796844,0,0,0,0,-42.51570225,0.10541433,0,0,0,0,0,309.32830256,1.23183497,0,0,0,0
"Ala_2.1",0,0,0,0,-2.44456153,652.62990097,0,0,0,0,0,0,0,0,-3.08868981,0,0,0,0,0,342.85427468,-36.09334724,0,0,0,0
"Ala_2.2",1236.51663665,0,523.08095065,186.99698539,845.48671511,1630.19528479,0,0,371.86395995,0,0,0,0,865.92642824,-2.14699633,0,0,0,0,0,786.42129915,-25.08904714,0,0,0,0
"Ala_3.2",0,0,0,0,49.78890912,366.55364986,0,0,0,0,0,0,0,0,62.90800789,0,0,0,0,0,35.43386399,735.12094595,0,0,0,0
"Asp_0.0",1e-08,1e-08,0,1e-08,0,0,0,-1e-08,0,0,0,1e-08,0,0,0,1e-08,1e-08,-1e-08,1e-08,0,0,1e-08,1e-08,1e-08,1e-08,1e-08
"Asp_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_1.1",0,0,0,0,0,0,0,1e-08,0,0,0,0,1e-08,0,0,1e-08,0,0,0,0,0,0,0,0,0,1e-08
"Asp_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_2.2",0,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,0,1e-08,0,0,0,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,-1e-08,0,-1e-08
