"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2399329.21727493,1079614.26096694,918820.993166058,2129439.97293388,166620.748695616,1729529.15274565,12794536.1585085,2639240.13369817,3369287.01167975,4318593.32818951,10996224.8370454,2719458.92263162,2689211.39503965,3329242.28003318,4409000.8446714,3108988.72843506,4368614.08245163,15094450.633739,24488997.8240753,4059030.16960228,154963.714577189,3119148.30889614,8127030.31459858,6247740.88123612,10396284.1345684,2379437.90644206
"Ala_1.0",13976.33677455,5329.68771432282,3330.92595192056,8979.40911852794,0,0,109670.221894337,15873.4097992507,9966.32869707488,22431.8031277506,60117.9435646377,9141.15941075467,15168.899039195,14324.5043423121,16467.8837132143,24845.2911632135,25811.1418785282,111225.728204302,272844.911157786,15401.2984266736,1694.20794355722,10518.0315062451,59332.8205416265,58611.1807325891,77759.1095274021,6532.36604048095
"Ala_1.1",52108.1659497908,32851.654551562,14253.9920917119,46403.6218004631,0,39979.7578771054,430759.712995143,59336.901714265,60526.3801379896,116705.331724974,313066.078766861,44396.9813585313,62894.0311728393,60457.0434174035,82446.5801397086,75270.9307695881,111370.68523815,437571.478541054,815214.040625886,80575.2284433644,0,73841.2903871463,234456.419829845,164971.423261859,289735.390377107,49071.5863070876
"Ala_2.1",1817.96631664484,1154.654907509,549.686990130911,2807.93030696375,331.549676177168,0,48607.7108230681,2996.42334111412,2149.3101503433,12977.8746905475,45637.0452297644,3001.15179433925,2832.9275135621,2988.11835030819,2784.98401965465,2088.31604232426,5173.64865323213,42876.8152536103,102329.089825164,3876.43898620698,0,70.3318674724999,20182.7390249685,9871.30423491157,30668.6920616504,4111.98673015832
"Ala_2.2",0,1215.69713219477,0,0,0,0,22509.094587242,2002.80009079519,0,5046.24083079386,24854.0471684762,2274.48817465288,1628.02023007487,0,2072.75445182359,2368.19569088166,3439.58656819953,37927.7706672456,56432.0166674531,4185.7561219503,0,419.318357738137,12741.9574466858,6961.44617662713,21998.3747230336,2711.18807217889
"Ala_3.2",3344.06033770027,10032.6928742607,539.736006674174,2937.72702636403,0,0,235349.412339651,8677.34554451914,2474.8569204529,69232.8354941255,212175.521124641,4273.15825788631,3387.12513318347,3313.51264017002,0,5525.89279163326,11654.1884390477,292687.101112293,514054.720179617,5590.51728989649,0,0,137472.023246908,22121.4802881346,148061.807422737,10077.969737748
"Asp_0.0",16691108.4120461,18689477.9542093,12793119.251846,77319903.5871743,19788769.4354084,18390639.3135502,32617125.9265817,52948000.4334637,15092182.9376014,14092680.9245022,21299148.1469043,27783203.4925377,93028489.4853796,21287531.1583644,25185877.4904397,85748177.2492767,49452424.8225278,30881935.595212,39300429.9939622,24885526.5367415,18890020.0043166,27683076.9633478,21887944.0862355,78869720.2658337,12644112.0200667,42192485.8857799
"Asp_1.0",226875.162384362,274448.970659327,183964.120373632,6985400.3076481,305916.435767104,254040.135048078,4270801.88776163,6121798.37748811,207493.758235503,205436.09348478,2433128.42848061,450889.422422533,9577696.51049832,322872.636721044,369971.807974433,8825320.18692763,5989871.171758,494525.034050839,4594094.7527202,400092.326243187,246947.065637423,434709.700439994,332034.915671771,10746192.4553548,1243712.12677053,4991730.26259337
"Asp_1.1",653307.372208685,766936.641561306,497131.052468921,20542872.5703735,805635.322440778,673183.098933395,13574214.3328355,18544053.4574518,566450.944385611,518743.853599393,7399864.10607228,1212123.36226014,26947618.406826,911640.866711644,1028897.09871956,25745499.2072947,18239690.7365806,1292715.32867743,14872828.0993864,1033120.89711178,741498.231104232,1241671.69626306,860963.659647997,31369354.994667,4204034.98098316,15317753.1001426
"Asp_2.1",24291.3842050419,42342.6162878683,24328.7238173076,10735697.0924546,42644.1857995007,6758.06180209657,12939875.735293,14278919.8492206,22475.4935376289,40767.5203915054,7626320.52199464,46890.2349563549,13636144.9923669,28341.4908274349,9727.77298591092,13762284.9267042,14412008.5612128,103924.726594003,14730291.8670814,22591.2251107355,9613.06645141742,6040.40675984528,64150.5769478494,24781622.5535525,4266404.5789504,12134915.0577976
