"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",0.971161973286919,0.955242923655241,0.980080603754424,0.972094602951538,0.998014105349788,0.977406297511644,0.937917358432564,0.967418349648799,0.978191617952645,0.950188182002891,0.943713835584077,0.977327619333735,0.969042445426266,0.976224210935246,0.977004781484971,0.965798186156613,0.965212760143849,0.942417188454993,0.93291873049753,0.973701560018356,0.989185303135034,0.973517776490831,0.94596970379414,0.959673481508829,0.948176115191487,0.970429534133056
"Ala_1.0",0.00565711729076954,0.00471570880310469,0.00355300536481057,0.00409912242315452,0,0,0.00803949463611038,0.00581842770395152,0.00289348433643213,0.00493550390444839,0.00515941934159791,0.00328517834577832,0.00546602883152996,0.00420033352107758,0.00364917170478519,0.00771811647964479,0.00570277965158635,0.00694434269928727,0.010394142298865,0.00369454467637765,0.0108146968649661,0.00328278415483359,0.00690621893857247,0.00900286950726715,0.00709189258759153,0.0026641590084313
"Ala_1.1",0.0210915071194928,0.0290671508105497,0.0152043339007939,0.0211833678727675,0,0.0225937024883559,0.0315773082451995,0.0217500510077694,0.0175723817860443,0.0256778118601612,0.0268678382228973,0.015955525467084,0.0226635161084261,0.0177276462754295,0.0182696048042111,0.0233826928167027,0.0246065238240273,0.0273196350474007,0.0310559236979793,0.0193288106655849,0,0.0230466145600973,0.0272902476591817,0.0253401514436449,0.0264248430809801,0.0200133470641238
"Ala_2.1",0.00073584722877138,0.00102163890339306,0.00058633570757573,0.00128182711490232,0.00198589465021216,0,0.0035632409936415,0.00109834451458113,0.000624000616794648,0.00285542588091812,0.00391664517929929,0.00107856328110387,0.00102082975348135,0.000876197414710733,0.000617133631727533,0.000648729224185302,0.00114307915562051,0.00267700022092174,0.00389826996018626,0.000929900624157115,0,2.19512881266319e-05,0.00234922953626843,0.00151626469186669,0.00279708797110774,0.0016770319393943
"Ala_2.2",0,0.0010756490765479,0,0,0,0,0.00165005360682304,0.000734130075461764,0,0.00111028708576525,0.0021330146055337,0.000817412645742452,0.000586648081242391,0,0.000459308374305116,0.000735673012191555,0.000759951046850645,0.00236800820804284,0.00214980154463727,0.00100410124968318,0,0.000130873506111508,0.00148313778157653,0.00106930095464175,0.00200632583867701,0.00110573046294189
"Ala_3.2",0.00135355507404693,0.00887692875116385,0.000575721272395464,0.00134107963763767,0,0,0.0172525440856618,0.0031806970494376,0.000718515308083595,0.0152327892658157,0.0182092470665947,0.00153570092655599,0.00122053179905423,0.000971611853536144,0,0.00171660231066251,0.00257490617806576,0.0182738253693546,0.0195831320008025,0.00134108276584088,0,0,0.0160014622902612,0.00339793189375082,0.0135037353301569,0.00411019739205283
"Asp_0.0",0.934345966631197,0.920066688849549,0.932254038257152,0.4880780393128,0.925958327032202,0.945832905992648,0.234365047643191,0.325469532551036,0.936898221884054,0.921870690283518,0.248235170728503,0.925615034441047,0.471631011595046,0.929415897517458,0.939864589221263,0.448655012685211,0.30914467356278,0.913652065272054,0.246102497633119,0.931727632479076,0.942525237048359,0.936032143533088,0.918256161163389,0.301875994615998,0.253989781030703,0.314910907092099
"Asp_1.0",0.0127001687167545,0.0135108833061772,0.0134057449740412,0.0440949914290564,0.0143144762992543,0.0130653162771917,0.0306871515949285,0.0376304834928854,0.0128808757451876,0.0134385724280955,0.0283573806183439,0.0150216668994571,0.0485565090757126,0.0140966540088425,0.0138062849490684,0.0461761901819372,0.0374448123569602,0.0146306832774865,0.0287685959970755,0.0149796740427909,0.0123215243565185,0.0146985919685232,0.0139297279742553,0.0411313432437832,0.0249831834961876,0.0372566411281814
"Asp_1.1",0.036571274544779,0.0377556215367577,0.0362266951541397,0.129675859653604,0.0376973786975611,0.0346218919241256,0.0975353069425781,0.113989657040641,0.0351643552674673,0.0339335543719404,0.0862431923130953,0.0403826581051593,0.136617638312681,0.0398023381877927,0.0383954837152718,0.134706621691289,0.114022785715405,0.0382454016269011,0.0931348624605214,0.0386806076258596,0.0369973560580007,0.0419839391754132,0.0361196639526653,0.120067057516618,0.0844489452933287,0.114326696379946
"Asp_2.1",0.00135979925931637,0.00208449004625256,0.00177287107059956,0.0677685530431848,0.00199541154236209,0.000347567973259381,0.0929773702325937,0.0877720278502215,0.0013952421606889,0.00266680146707372,0.0888824737848861,0.00156217789844618,0.0691318207205491,0.00123739253455012,0.000363012540059856,0.072007572830594,0.0900945848060918,0.00307464669086888,0.0922422889497774,0.000845827740721117,0.00047964786346512,0.00020424083979955,0.00269128348886788,0.0948523328260448,0.0857018004171628,0.0905710348207889
