"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",-3.38328211,0,-1.40777154,-0.57683725,-379.21750466,-67.21149718,0,0,-1.05685032,0,0,0,0,-2.39534004,0.00571884,0,0,0,1e-08,0,-19.17810882,0.06682845,0,0,0,0
"Ala_1.0",0.03416279,0,0.01421501,0.00582463,5689.97051709,1841.12177028,0,0,0.01067158,0,0,0,0,0.02418702,-0.16756479,0,0,0,0,0,-17.0134385,-1.95810523,0,0,0,0
"Ala_1.1",-62.36331024,0,-25.94914946,-10.63271682,3684.17926294,-102.92802242,0,0,-19.48069427,0,0,0,0,-44.15278705,0.10541419,0,0,0,0,0,309.32830256,1.23183445,0,0,0,0
"Ala_2.1",0.62971534,0,0.26202229,0.10736417,-97.24556634,652.62990354,0,0,0.19670688,0,0,0,0,0.44583405,-3.08868565,0,0,0,0,0,342.85427468,-36.09333184,0,0,0,0
"Ala_2.2",1270.16745859,0,528.51211875,216.55891653,845.65040212,1630.19445311,0,0,396.76764823,0,0,0,0,899.26966831,-2.14699436,0,0,0,0,0,786.42129915,-25.08904712,0,0,0,0
"Ala_3.2",-12.82555286,0,-5.33666649,-2.18670996,45.14321577,366.55362148,0,0,-4.00637287,0,0,0,0,-9.08040164,62.90794999,0,0,0,0,0,35.43386399,735.12094524,0,0,0,0
"Asp_0.0",1e-08,0,0,3e-08,0,0.09971917,0,-1e-08,0,0,0,1e-08,1e-08,1e-08,0.10357744,1e-08,-1e-08,0,-1e-08,0,0,0.06097296,0,3e-08,0,1e-08
"Asp_1.0",0,0,0,0,0,-2.92181854,0,0,0,0,0,0,1e-08,0,-3.03486779,0,0,0,0,0,0,-1.78653653,0,0,0,0
"Asp_1.1",0,0,0,0,0,1.88842403,0,-1e-08,0,0,0,0,-1e-08,0,1.9614898,0,-1e-08,0,1e-08,0,0,1.15467079,0,0,0,0
"Asp_2.1",0,0,0,0,0,-55.33171709,0,0,0,0,0,0,0,0,-57.47257861,-1e-08,-1e-08,0,0,0,0,-33.83240008,0,0,0,-1e-08
"Asp_2.2",0,0,0,0,0,-22.84633343,0,0,0,0,0,0,0,0,-23.73029002,0,0,0,0,0,0,-13.96931694,0,0,0,0
"Asp_3.2",0,0,0,0,0,669.40837344,0,0,0,0,0,0,0,0,695.30871968,0,0,0,0,0,0,409.30759238,0,0,0,0
"Asp_3.3",0,0,0,0,0,0.69057603,0,0,0,0,0,0,0,0,0.71729539,0,0,0,0,0,0,0.42225049,0,-1e-08,0,0
"Asp_4.3",0,0,0,0,0,-20.23420438,0,0,0,0,0,0,0,0,-21.01709405,1e-08,0,0,1e-08,0,0,-12.37213905,0,1e-08,0,1e-08
"Glu_0.0",-1.24781973,-6.04014984,12.11916477,-65.89678609,-0.37124935,10.13894189,-112.21899797,-97.40260302,-1.44136613,-2.55515521,-88.59544353,-1.45437615,-73.18236127,-4.21193883,0.24633666,-73.98795119,-103.3809161,-9.66647696,-127.8161891,-2.07293008,-1.57037933,-1.10685314,-5.51274748,-131.92191961,-78.96707875,-81.00811777
"Glu_1.0",87.01562175,178.37919395,61.77255976,1930.80699558,114.71767613,41.22984461,3288.06970936,2853.94233018,62.00456212,130.41104958,2595.8883927,191.9588569,2144.27779262,123.41179965,39.5799386,2167.88195787,3029.10973088,316.38962621,3745.07478536,130.20455393,46.01285703,69.55818297,219.75236217,3865.37463134,2313.77275151,2373.57615907
"Glu_1.1",9.84342699,47.64772696,-95.60204123,519.82685144,2.92860073,-79.9810514,885.23965795,768.36051406,11.37021788,20.156344,698.88522932,11.47284748,577.29911695,33.22588296,13.85541464,583.6540136,815.52044179,76.25401149,1008.27811301,16.35231066,12.38793864,8.73141188,43.48731306,1040.66617163,622.93186586,639.03260358
"Glu_2.1",-686.42280378,-1407.14441829,-487.29288854,-15231.17257409,-904.95048258,-325.24166313,-25937.94060902,-22513.32642098,-489.12303933,-1028.747672,-20477.66772274,-1514.26760068,-16915.1371322,-973.53408315,-775.13404779,-17101.33860924,-23895.13460559,-2495.83982682,-29543.02552726,-1027.11873083,-362.97246055,-548.70978361,-1733.51668989,-30492.01096124,-18252.198255,-18723.95748472
"Glu_2.2",187.40851374,907.16268825,-1820.16247677,9896.95740041,55.75748273,-1522.75523359,16854.03352979,14628.77736078,216.47700904,383.75562434,13306.04089251,218.43096883,10991.16898618,632.58592219,-83.82944539,11112.15954532,15526.65286393,1451.7963072,19196.55651593,311.33082407,235.85334367,166.23691363,827.95277618,19813.19114259,11859.96860811,12166.50974782
"Glu_3.2",-13068.76939661,-26790.55213374,-9277.54490941,-289985.53211783,-17229.30693327,-6192.25974174,-493831.15272041,-428630.09464134,-9312.38905881,-19586.27542485,-389873.29059692,-28830.06504037,-322046.44903511,-18535.06667096,-4572.24960117,-325591.52963468,-454938.27149027,-47518.16951327,-562468.18399686,-19555.26209552,-6910.61450484,-10446.8581,-33004.33747347,-580535.87016524,-347502.68881448,-356484.48917144
"Glu_3.3",-2264.10013125,-10959.51897017,21989.55650548,-119566.08641621,-673.61146747,18396.55123125,-203615.18676454,-176731.65472148,-2615.27939577,-4636.18830379,-160751.54927365,-2638.88537037,-132785.36095973,-7642.33086777,-612.15060948,-134247.05944594,-187578.97432257,-17539.28967288,-231915.43041124,-3761.21738321,-2849.36674268,-2008.32401081,-10002.57646674,-239365.05215607,-143281.41206636,-146984.76481576
"Glu_4.3",157885.04969853,323659.21585438,112082.90502721,3503342.87497398,208148.90054889,74809.28061407,5966021.26212376,5178321.06000017,112503.8605199,236623.66172479,4710096.41336307,348298.7658266,3890673.87051355,223923.90849512,102848.18456801,3933502.32739897,5496152.65402551,574071.53860516,6795231.78419902,236248.98673481,83487.79303031,126209.48922251,398728.54927104,7013509.2242598,4198213.13153595,4306723.11841422
"Glu_4.4",91.17218141,441.32467371,-885.48903252,4814.76095967,27.1254023,-740.80367867,8199.30200457,7116.73934471,105.31368476,186.69289191,6473.2425962,106.26426472,5347.08286545,307.74609595,24.73251818,5405.9434422,7553.54590498,706.28294116,9338.91368162,151.45902287,114.74005852,80.87243073,402.78992239,9638.89964768,5769.7443292,5918.87322328
"Glu_5.4",-6357.81262221,-13033.3090548,-4513.42359316,-141074.77302606,-8381.86838928,-3012.46628135,-240243.42619595,-208523.82831672,-4530.37488873,-9528.50764591,-189669.06927459,-14025.50965972,-156672.05660114,-9017.10614503,-4143.95855674,-158396.6993352,-221322.4670991,-23117.06701276,-273634.58725759,-9513.42000218,-3361.93797539,-5082.28160395,-16056.2473029,-282424.31792696,-169056.23736611,-173425.78448618
"Gly_0.0",0,0,-1.48824001,0,-6.98419338,-0.41073381,-1e-08,0,-5.31175343,0,0,0,0,0,-14.8759084,0,0,0,-1e-08,0,-8.06303003,0,0,0,0,0
"Gly_1.1",0,0,-15.55771251,0,-73.01112204,-4.29371505,0,0,-55.52782651,0,0,0,0,0,-155.50926288,0,0,0,0,0,-84.28902781,0,0,0,0,0
"Gly_2.2",0,0,315.89646015,0,1482.47725921,87.18308577,0,0,1127.4821937,0,0,0,0,0,3157.58667124,0,0,0,0,0,1711.47303899,0,0,0,0,0
"Orn_0.0",1e-08,1e-08,0,0,0,2e-08,0,0,-1e-08,0,0,0,0,0.01693407,18.25561218,0,0,3e-08,0,1e-08,1e-08,11.69567263,3e-08,0,0,0
"Orn_1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.89823623,-112.88052586,0,0,-1e-08,0,0,0,-72.3182363,0,0,0,0
"Orn_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.56403492,-2228.20812252,0,0,0,0,0,0,-1427.52773593,0,0,0,0
"Orn_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,-109.5973301,22766.22577513,0,0,0,0,0,0,14585.45025844,0,0,0,0
"Orn_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1121.46225858,-918.48523793,0,0,0,0,0,0,-588.43836845,0,0,0,0
"Orn_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,-56.35922925,23.13653926,0,0,0,0,0,0,14.82269594,0,0,0,0
"Pro_0.0",0,0.02353332,0,0,0,1.06247343,1e-08,0,0,0,-1e-08,0,0,0,0,0,0,0,0,0,0.31741129,0.00169336,1e-08,1e-08,0,0
"Pro_1.1",0,0.38157031,0,0,0,-18.22426264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.31676957,0.02745629,0,0,0,0
"Pro_2.2",0,-6.5524446,0,0,0,-192.0262424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.74348798,-0.47148796,0,0,0,0
"Pro_3.3",0,-68.93891489,0,0,0,3885.62616888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135.64761322,-4.9605713,0,0,0,0
"Pro_4.4",0,1396.97319135,0,0,0,-161.76775661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.78245266,100.52065853,0,0,0,0
