"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",-1.29e-06,0,-1.4e-06,-2.5e-07,-0.00207792,-3.548e-05,0,0,-2.9e-07,0,0,0,0,-6.6e-07,0,0,0,0,0,0,-0.00011299,2e-08,0,0,0,0
"Ala_1.0",2.21e-06,0,3.86e-06,5.9e-07,Inf,-Inf,0,0,9.7e-07,0,0,0,0,1.53e-06,-9.2e-06,0,0,0,0,0,-0.00907987,-0.00016833,0,0,0,0
"Ala_1.1",-0.00108229,0,-0.00164629,-0.00020721,-Inf,-0.00232816,0,0,-0.00029106,0,0,0,0,-0.00066044,1.16e-06,0,0,0,0,0,Inf,1.509e-05,0,0,0,0
"Ala_2.1",0.00031022,0,0.0004269,3.424e-05,-0.26267946,-Inf,0,0,8.196e-05,0,0,0,0,0.00013362,-0.00099324,0,0,0,0,0,-Inf,-0.4595997,0,0,0,0
"Ala_2.2",Inf,0,Inf,-Inf,Inf,-Inf,0,0,Inf,0,0,0,0,-Inf,-0.0009278,0,0,0,0,0,Inf,-0.05359336,0,0,0,0
"Ala_3.2",-0.00340218,0,-0.0087709,-0.00066029,Inf,Inf,0,0,-0.00143601,0,0,0,0,-0.00243093,Inf,0,0,0,0,0,Inf,Inf,0,0,0,0
"Asp_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_1.0",0,0,0,0,0,-1.001e-05,0,0,0,0,0,0,0,0,-7.14e-06,0,0,0,0,0,0,-3.58e-06,0,0,0,0
"Asp_1.1",0,0,0,0,0,2.44e-06,0,0,0,0,0,0,0,0,1.66e-06,0,0,0,0,0,0,8.1e-07,0,0,0,0
"Asp_2.1",0,0,0,0,0,-0.0070628,0,0,0,0,0,0,0,0,-0.0050965,0,0,0,0,0,0,-0.0048316,0,0,0,0
"Asp_2.2",0,0,0,0,0,-0.00263383,0,0,0,0,0,0,0,0,-0.00133442,0,0,0,0,0,0,-0.00094635,0,0,0,0
"Asp_3.2",0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0,Inf,0,0,0,0
"Asp_3.3",0,0,0,0,0,2.643e-05,0,0,0,0,0,0,0,0,1.021e-05,0,0,0,0,0,0,6.54e-06,0,0,0,0
"Asp_4.3",0,0,0,0,0,-0.00019166,0,0,0,0,0,0,0,0,-0.00013963,0,0,0,0,0,0,-7.405e-05,0,0,0,0
"Glu_0.0",-1.2e-07,-5.2e-07,1.33e-06,-6.1e-07,-3e-08,8.6e-07,-2.2e-06,-1.34e-06,-1.4e-07,-3.1e-07,-2.1e-06,-8e-08,-5.9e-07,-2.9e-07,2e-08,-6.6e-07,-1.47e-06,-5.3e-07,-1.99e-06,-1.3e-07,-1.2e-07,-6e-08,-4.1e-07,-1.34e-06,-2.12e-06,-1.34e-06
"Glu_1.0",0.00054763,0.00088782,0.00039965,0.00020678,0.00041268,0.00025988,0.00074158,0.00042379,0.00037957,0.00085114,0.00081333,0.000594,0.0001952,0.00052469,0.00016579,0.00022385,0.00045985,0.00084744,0.0007328,0.00050306,0.00024794,0.00024966,0.00086876,0.00038844,0.00088803,0.00044394
"Glu_1.1",1.355e-05,4.967e-05,-0.00016218,1.731e-05,3e-06,-0.00014089,3.932e-05,2.868e-05,1.862e-05,2.873e-05,4.436e-05,7.54e-06,1.601e-05,3.184e-05,1.732e-05,1.808e-05,3.037e-05,4.587e-05,4.046e-05,1.472e-05,1.953e-05,9.53e-06,3.642e-05,2.76e-05,4.832e-05,2.995e-05
"Glu_2.1",-0.00488434,-0.00578779,-0.00500826,-0.00126483,-0.00453932,-0.05347063,-0.00202296,-0.00165744,-0.005002,-0.00560099,-0.00225383,-0.00442661,-0.00121803,-0.00435172,-0.06960426,-0.00130314,-0.00171846,-0.00522632,-0.00203217,-0.00481272,-0.03829084,-0.04800726,-0.00566818,-0.00158737,-0.0025245,-0.00172506
"Glu_2.2",0.00191216,0.00380479,-0.02895785,0.00184834,0.0004515,-0.07673121,0.0021079,0.00217252,0.00332875,0.00245436,0.0022785,0.00095381,0.00163939,0.00388067,-0.00327998,0.00195193,0.00229363,0.00339257,0.00204393,0.00208915,0.0043852,0.00380849,0.00329441,0.00203085,0.00241603,0.00230488
"Glu_3.2",-0.02012756,-0.0186734,-0.02598011,-0.00899156,-0.02304965,-5.77030421,-0.00953152,-0.00932093,-0.02665938,-0.01789498,-0.00995943,-0.01863721,-0.00887281,-0.02013541,-Inf,-0.00902674,-0.00947177,-0.01725049,-0.00918777,-0.01999373,-0.42815445,-73.05061225,-0.01877397,-0.00902483,-0.01053977,-0.00953572
"Glu_3.3",-Inf,-Inf,Inf,-0.51571744,Inf,Inf,-0.31951972,-0.49831802,-Inf,Inf,-0.30187187,-Inf,-0.37868916,-6.98586567,-Inf,-0.4320509,-0.62756748,-Inf,-0.23837169,-Inf,-0.61859126,-Inf,-Inf,-0.44175847,-0.39971209,-0.59307279
"Glu_4.3",Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Glu_4.4",0.000493,0.00117266,-0.0069566,0.00086433,0.00011258,-0.00956921,0.00071009,0.00080572,0.00087611,0.0006693,0.00073652,0.00025482,0.00085205,0.00108587,0.00025278,0.00086051,0.00079973,0.00099411,0.00066006,0.00052838,0.00126474,0.00067957,0.00087196,0.0007584,0.0008116,0.00084151
"Glu_5.4",-0.00143695,-0.00149128,-0.00137278,-0.00284664,-0.00140997,-0.00102124,-0.00207324,-0.00242361,-0.00133427,-0.00148262,-0.00198231,-0.00149157,-0.00284502,-0.00143716,-0.00104307,-0.00281532,-0.00236136,-0.00152355,-0.0020367,-0.00145573,-0.00100237,-0.00106555,-0.00150954,-0.00245496,-0.0019698,-0.00241468
