"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",3932038.43779186,3026640.06267824,3710065.62569431,3680945.46098351,2936101.15095052,3707015.96120681,3881595.68798907,3808642.2784725,3758016.91372551,4515148.10927841,3863649.9709252,3807530.25052624,3561432.40458076,3320950.93300538,2924572.34619035,2966875.01747594,3835179.05914965,3949501.79996973,2804577.27146872,3614574.28219457,3963568.14772811,315598.190555265,4485463.95751597,3672515.32181221,3830786.66503704,4546807.76514028,4032396.43898575,4383842.35150177,4081610.44524851,3320881.36962136,3382379.81246521,4271117.75459912,2811839.6491026,4053400.9801357,3867953.77472062,3043316.48597073,3640132.65592429,3533537.23071716,3507665.21338687,3617695.02643452,3594697.90191189,3544859.44205387,3292621.35158018,2747157.61381057,3640247.39457416,3389693.10201607,3146006.77649927,3300963.01502375,3907058.5221508,3963849.5143517,3665798.58210288
"Arg_1.1",503326.009043571,387380.253991209,483093.02907691,459343.850149692,384962.247898193,507157.643749087,520905.365799091,505475.505563,499751.06259228,587434.025160814,479753.705460242,513390.115164716,494822.147443398,431481.756588117,375513.850862337,394163.047945323,472797.505756209,494434.291686316,366188.94108887,451862.29223248,530250.145556657,51538.3528567638,593647.68204232,484446.283002024,500689.732830373,585279.792075094,512197.690661661,585387.545009134,536796.887128363,415156.367214458,457078.693551004,552407.373111448,374473.866875668,538845.176555665,515302.52477951,406046.650224847,457922.240958911,458462.565463116,454749.752448553,455450.461295753,470515.193809222,470237.053717305,416767.538703366,345081.549457378,455543.982317254,433658.357350022,390255.67125955,428819.894033514,509778.596917058,518011.536914976,464685.978081049
"Arg_2.2",86071.760204893,75893.6799839898,92236.3989175005,83330.8310928125,85741.5383479012,78296.5364526328,94797.4559930654,111043.367072487,87791.5112171707,67614.4234703246,88248.8570606261,74855.0276566646,89391.8492537682,75077.3237895453,66919.159530672,130026.124591407,80129.2791051782,83165.8496672647,105677.818991424,74936.6188925362,91657.6333883322,30298.5822715236,69112.4999136809,98167.0500468443,87316.7505013676,80063.8073809366,94537.5284733233,70014.7455087762,71885.469253915,79048.2445002455,99197.926858474,84345.4708378154,99911.2640428969,87875.6795132148,84628.0631036391,79357.9493037527,79095.1308198292,102807.422339279,78781.1813961492,99201.6256401528,80338.5327803015,85852.5487365487,71743.2291024065,160895.464099368,78579.8074405281,109534.39451569,92746.7788998284,85239.8900379713,60378.1225355619,80539.0641270157,89656.1785928873
"Arg_3.3",13783.271541743,15671.7507482538,16722.4073589005,14460.5373005252,15539.8930237364,12407.9212925714,15504.2247063916,20620.9599482501,14562.9458277301,11600.5469433553,14311.5772410053,12669.4291837883,17422.0933341981,13332.9845994365,10733.1307235305,24317.3359965363,14479.260641318,14727.6693077109,19866.4689518142,11167.3330624689,16947.229511453,3538.91215550126,11053.13745318,16872.3683983269,16113.5534356485,13594.5517289948,15068.2763058721,10631.6851893835,11886.4280689653,18339.0842739534,19742.1530595568,13209.7336304667,18153.4062069533,14368.0813555413,14536.5275915814,14772.9222587431,14312.3658512816,26905.6061437358,14117.503233402,18085.8321159971,13792.9267400548,16800.8382225896,12809.3964523276,26641.8600577086,14159.997431614,19502.7630753704,15925.2237130009,15410.0707696259,11611.2075527762,11273.1306147933,18974.199536397
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5400594.4159376,2041703.03633044,5490750.92990749,5588805.39902435,3791763.00087818,5271861.22216677,6245853.44865093,5262034.03152154,5892594.34000662,5094870.72243945,5322183.62323862,2830047.60768534,5869651.31172862,4857801.18391385,4439303.6302958,2312534.65305365,5379582.91563345,5079569.8224821,3959710.75362671,4688119.50365294,6445648.70921868,8822897.85635379,5171910.49226771,4758283.93014907,5898281.62309077,5688333.31370401,6791964.6911306,5893371.85087194,5433719.56671123,3188696.43525807,4162586.41911392,5756702.67231772,3506372.98780567,7083952.48402,6126725.38329715,2955152.42990206,4927090.34753744,7418147.95337213,2105771.45245639,4962177.3354911,4948947.72504092,5742877.21139239,2665962.04010491,2097182.13790247,4350978.32782803,4448223.70464327,3884286.35967895,3959626.54408801,4509215.49538266,5540230.29426301,3617323.37217534
"Ser_1.1",491911.167040503,178907.577782542,491953.506780133,497254.932575756,343154.750036089,456302.859033278,565016.013936498,455943.761131381,525784.351351945,458060.133205994,458618.10442598,243553.351874301,542189.049214605,419372.417748545,390250.495025959,208894.449753696,464638.228951515,446927.555233784,358789.186661721,422345.361872948,576613.357564681,752835.188294887,459330.222956268,412694.594103221,514928.896766939,497539.042206455,598692.456508253,509870.6541527,472347.962619676,283659.272222566,359217.498640622,523684.60090365,304641.153586935,659148.560072645,532851.225142793,266027.058720883,430733.942262266,651930.099929143,190940.927053086,431800.004835199,444865.674730281,538445.226642032,234367.350806939,186556.90732803,397271.478732438,390404.227927413,328175.808727982,363151.63875413,374907.54007036,488015.164407269,314433.140166048
"Ser_2.2",62163.1233128096,24930.5307274545,65377.2829085103,70886.6828243935,47835.485667532,62581.747853956,74763.0678988533,55560.0351944734,70562.8387615021,59367.8099165914,61605.9692860644,34311.1576825625,73377.4232930823,53621.9406946063,49634.954901396,27235.1517533326,66622.048816758,58343.5477620777,47524.3257273027,56570.3676869797,76765.556696265,102160.122951419,60059.059748954,57610.3132393359,69022.7474403067,66704.4332334279,79908.8618729555,68181.5776901374,63526.0436738643,38292.1754185804,47078.9814600991,71061.8154387678,42754.9633784873,80320.5085243871,72646.3567355002,37321.7491334158,58281.7265192498,87232.7424232713,25832.9149045067,57690.7275839463,58432.5293041497,69605.2465705124,34456.9526475607,24889.4797170833,52565.0702499062,52444.1376109038,45248.6038019307,49230.4316726208,48965.3186580642,64075.9922527641,43526.8928351526
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
