"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",4649253.55144172,3578707.91055318,4386792.26065897,4351502.4479571,3471654.44110473,4383186.32824278,4589609.89923139,4503349.57855744,4443490.00127213,5338724.10277018,4567138.71101657,4502034.71284676,4211047.91285348,3926701.92934952,3458022.74882437,3508041.5500774,4532980.7103076,4669213.62660173,3316140.22834637,4273158.21987599,4686534.37133566,373164.20791758,5303625.47636611,4342392.6734419,4529533.16449662,5376158.57103231,4767917.14061444,5183467.79730368,4826107.92278212,3925955.13451971,3999335.6135047,5050181.9101621,3324727.28439117,4792752.97036829,4573479.66168348,3598426.16131727,4303794.7624208,4178064.57985804,4147473.43118998,4277317.96956117,4250381.13222625,4191451.99428197,3893204.950806,3247939.87188604,4303578.50930425,4007982.86809694,3718770.94266457,3903068.1578549,4619717.22717802,4686867.0595926,4334450.7812563
"Arg_1.1",7505.51467568,5720.20778766,16651.66221629,0,16275.83367935,45251.89351126,35525.86284897,28261.48290259,29048.82324252,19691.52003413,0,37683.62207377,52343.83403425,13800.8032637,6927.60766017,22489.68377124,0,0,13758.71502338,0,34339.25124303,13633.29552513,31348.04558659,23785.58917959,19389.57140992,12491.54855667,3047.61760791,36708.13589122,24547.24220284,0,34662.29754449,14793.40224925,22376.36127132,31113.46837186,30988.52789283,25089.98088844,0,13936.2603723,13417.19902167,0,18993.04960364,26035.29766252,776.68302763,0,0,6185.23079016,0,13641.93710054,18746.02954356,19981.27741223,1663.95554197
"Arg_2.2",37144.79305361,39754.42366041,46710.18400572,38775.90640892,51362.37161472,27357.25854719,44829.12260527,65602.09846624,39398.22875319,5257.38903766,41610.15391514,22665.13306446,41666.40693603,33275.49543609,30830.48571829,101416.23735321,32666.46577788,34375.43146481,76780.93704202,30100.32798397,40046.87148081,28559.19445416,6123.53040952,53346.01483877,38812.84057083,19991.07415617,45878.88092901,8146.95067741,16436.73856737,39457.71072631,57840.47095941,29001.88575507,69008.96767368,34632.06213458,33793.33706885,41287.86629064,34506.33912548,62017.87542764,34680.35316468,58124.51466123,34481.69775675,40837.97879389,31350.00607775,143156.20946435,33912.87640535,72943.18581972,58055.52605594,45366.95962757,6517.87902799,28817.90967834,46130.87939534
"Arg_3.3",7029.4077913,9997.71042165,9525.88988296,8017.69930743,8624.63625563,6298.15774957,7908.57857512,11733.4428895,7628.32394245,7022.23492309,7338.17081105,7053.19657628,10591.09552535,7569.65078401,5426.1771,13280.86209517,8490.5628083,8458.38728668,11083.48996735,5259.48163803,9959.04948126,514.67729643,6206.54181837,8966.58897374,9478.12915196,7805.23581343,7515.83590743,5574.68379355,6643.19396254,12775.24670933,11970.5765766,6733.39375136,9833.84903057,7526.25424365,8026.02750465,8566.41477935,8340.38738179,19735.1076886,8097.098846,10198.6374537,7579.16851874,10307.54044552,7365.23161427,12119.46577636,8229.27474436,10465.29687385,8314.81196557,8697.82258446,7636.71039655,4857.42183718,12373.59429935
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",6124124.31618977,2315238.9985005,6226371.03506995,6337562.41526253,4299762.29642084,5978155.65360546,7082637.99525643,5966980.65781934,6682051.18371424,5777449.01834248,6035219.91389843,3209201.54862349,6656034.52720668,5508607.96395398,5034044.47486933,2622354.60900796,6100309.3771661,5760097.29823251,4490210.68131268,5316207.56853932,7309200.67686824,10004940.1701932,5864811.26178216,5395772.19012307,6688500.33351882,6450424.3335423,7701914.08025416,6682932.7395354,6161698.84880445,3615900.15605881,4720261.08264621,6527953.60553788,3976137.23455039,8032992.45949171,6947549.73100903,3351067.29604438,5587194.315466,8411989.86156904,2387890.96620428,5626982.02478846,5611980.05600119,6512275.89614754,3023132.79505839,2378150.86666326,4933898.11921953,5044171.80131456,4404681.23406307,4490115.25518971,5113323.02465181,6282476.44590166,4101952.11379876
"Ser_1.1",52993.16941032,12171.61303901,44868.80779474,41760.00233473,34826.2913307,25087.83201488,57105.54672317,25180.34684773,45714.69217345,43349.54764425,23039.0630232,11897.13680212,66234.69345885,21705.94232884,27706.12272494,20796.5204732,24490.50821284,32263.05094608,36858.01048913,40895.41069725,51666.92677758,29843.53198136,37675.99903276,23590.27320966,33012.5704287,32890.74939079,44457.57150795,27791.9217854,28141.96894306,23771.17527833,18536.0463604,55906.25990745,17974.77694808,84937.94579686,32023.43990398,25555.57633251,28240.12896754,46359.14453958,19754.61390566,26196.5984033,42074.87339089,73741.86295353,16742.72746304,15630.09301804,43898.44133866,27215.86884401,9481.05369299,41758.87217109,4044.81984895,35844.75208847,18714.72536134
"Ser_2.2",0,1336.89324501,887.73616522,5982.66508463,3311.96238043,1922.15016544,1015.26525739,0,1569.30032934,0,363.63448866,1935.16380483,3507.82701722,0,0,0,5093.95676536,0,736.95409288,1403.33266314,1134.02172078,1232.08690681,0,2911.80997487,698.66447279,752.11025572,819.83269902,200.66312531,738.3492224,1037.42326598,0,3084.7809998,2437.6275055,0,1937.76839241,2738.94434255,1226.50498108,1003.74215471,999.68395454,282.3704114,138.19317107,377.97662332,3790.42396322,356.38963285,949.40667865,793.52576066,1103.81713469,2276.14866936,0,0,1860.20270144
