"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.988771012083403,0.984396164110367,0.983323691824814,0.989112180939302,0.978070444113197,0.98203195509881,0.980792325146433,0.976640036052848,0.982858472949122,0.993943910702752,0.989150651152413,0.985005410354489,0.975351059804513,0.985996831727034,0.987405469738697,0.961604456591127,0.990788023703446,0.990694210474166,0.969647075592567,0.991602679516729,0.98199788162912,0.89561524667695,0.991706415734261,0.980179293340169,0.984985523194912,0.992410618683623,0.988038965953924,0.990221546798215,0.990056973671257,0.986553439265153,0.974061591506517,0.989897474199151,0.969870414622066,0.984671705175605,0.98404748185895,0.979211353658867,0.989909355957083,0.977119191082766,0.98635865184887,0.983915821860672,0.985563861280057,0.981572351503693,0.989723557223484,0.953390267487796,0.990073080920767,0.977658584479948,0.982067210234325,0.982597475323203,0.992801617878538,0.988472321415155,0.985988421782125
"Arg_1.1",0.00161348511629552,0.00159047722756746,0.00377293234682131,0,0.00463499083034045,0.0102481254818725,0.00767393137098783,0.00619534933027374,0.00649482290444092,0.00370574586087402,0,0.0083340174838404,0.012254858430701,0.00350286935088179,0.00199950713119794,0.00623142078510731,0,0,0.00406659264883992,0,0.00727313345616586,0.0330745798806652,0.00592505976462551,0.00542703140668141,0.0042620309982755,0.00233081392525517,0.000638377891670596,0.00708836853443083,0.0050902352756418,0,0.00853351399947348,0.00293105016521203,0.00659810375109519,0.00646140303263855,0.00673972596703523,0.00690138358033121,0,0.00329450853653652,0.0032254112657031,0,0.00445167641575488,0.00616300271002395,0.000199582494423473,0,0,0.00152506818636749,0,0.00347150297966392,0.00407219316909325,0.00425968140586076,0.000382605711455027
"Arg_2.2",0.0080715031225218,0.0111730850059262,0.010698059139435,0.00900559181583965,0.0147850465330094,0.00626256496060335,0.00978826020756104,0.0145365242203332,0.00890404729195504,0.00100008864593379,0.00920792012513772,0.00506677981341962,0.00986054252376245,0.00853721258349791,0.0089948107734873,0.0284042426717615,0.00729529754109676,0.00745226037810017,0.0229391961341069,0.00713680659765565,0.00857375995822725,0.0700344031635512,0.0011699199194849,0.0123033220924434,0.00862374316726014,0.00377050433715644,0.00971409107805471,0.00159019738982128,0.00344526622861167,0.0101309727950275,0.0143937637688055,0.00580835849597408,0.0205687167082661,0.00726990519438614,0.0074292395873847,0.0114796927979297,0.00810936305757484,0.0148194900936834,0.00842711147791647,0.0136612276806978,0.00816938790381736,0.00977160811618105,0.00814307156562945,0.0429355376721674,0.00797161161882694,0.0181798405872377,0.015664961378997,0.0116695246436629,0.00143119022234835,0.00620995331841776,0.0107219420315907
"Arg_3.3",0.00154399967777979,0.00284027365613953,0.0022053166889297,0.00188222724485883,0.00250951852345285,0.00145735445871383,0.0017454832750184,0.00262809039654489,0.00174265685448244,0.00135025479044025,0.00164142872244892,0.00159379234825128,0.00253353924102375,0.00196308633858657,0.00160021235661806,0.00375987995200457,0.0019166787554569,0.00185352914773352,0.0033471356244859,0.00126051388561516,0.00215522495648699,0.00127577027883393,0.00119860458162918,0.00209035316070574,0.00212870263955262,0.00148806305396534,0.00160856507635068,0.00109988727753279,0.00140752482448999,0.00331558793981924,0.00301113072520358,0.00136311713966328,0.00296276491857274,0.00159698659737007,0.00178355258662986,0.00240756996287165,0.00198128098534241,0.00476681028701442,0.00198882540751086,0.00242295045862991,0.00181507440037078,0.00249303767010215,0.00193378871646267,0.00367419484003631,0.00195530746040634,0.0026365067464464,0.00226782838667832,0.0022614970534703,0.00169499873002037,0.00105804386056668,0.00290703047482965
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",0.991329069031225,0.994130628963891,0.992624923894968,0.99243261790867,0.991105613407456,0.995450299617343,0.99177184548963,0.995752528370782,0.992895463884318,0.992472703727595,0.99609502228224,0.99565554617903,0.989513944004498,0.996032815330773,0.994467501667358,0.992047499289202,0.995112754307879,0.994370164690868,0.991606053653645,0.992018708015406,0.992749227834324,0.99686886704063,0.993548336199885,0.995053923881483,0.994930002261806,0.994754372310749,0.994091648687372,0.995783554174013,0.995283278056614,0.993109491006076,0.996046310054573,0.990943188955981,0.994830903592536,0.989425026775448,0.995080177127774,0.991528683210835,0.994694893557857,0.994339618629475,0.991286533926471,0.995265364935683,0.992453797599817,0.988625574667544,0.993167820661592,0.993249305067066,0.990893534573235,0.994416746748717,0.997574072690572,0.990178699111689,0.999201047746935,0.994265847683966,0.994950531222105
"Ser_1.1",0.00867093096877505,0.00528284359449994,0.0072304728485956,0.00661014955188211,0.008114368159789,0.0042226733466063,0.00808289645122454,0.00424747162921822,0.00686628015403724,0.00752729627240454,0.00384365566015022,0.00373101135300321,0.00995322619918167,0.00396718466922701,0.00553249833264224,0.007952500710798,0.00403822227608963,0.00562983530913235,0.00822765989405028,0.00771373114594926,0.00709339742516495,0.00300570081087646,0.00645166380011507,0.00439742025804265,0.00496380949985352,0.00512711821698982,0.0058002335689324,0.00418589595270677,0.00459486450548978,0.00659938321214754,0.00395368994542664,0.00857835723446231,0.00454593689927496,0.0105749732245519,0.00463624505181994,0.00764328059288307,0.00508200138697819,0.00553915359141997,0.00828944111789028,0.00468360495113668,0.00752123204365224,0.0113157969418887,0.00555985690116695,0.00659860939728724,0.008911645631961,0.00542341395033827,0.00217049738063853,0.00930843868059189,0.0007989522530653,0.00573415231603384,0.00458845367334781
"Ser_2.2",0,0.000586527441609458,0.000144603256436407,0.000957232539447506,0.000780018432754729,0.000327027036050832,0.000145258059145708,0,0.000238255961644852,0,6.13220576099838e-05,0.000613442467966794,0.000532829796320033,0,0,0,0.000849023416031239,0,0.000166286452304505,0.000267560838644998,0.000157374740511429,0.000125432148493423,0,0.00054865586047488,0.000106188238340096,0.000118509472260633,0.000108117743695152,3.05498732803863e-05,0.000121857437896074,0.000291125781776789,0,0.000478453809556866,0.000623159508189517,0,0.000283577820406392,0.000828036196281572,0.000223105055164929,0.000121227779105252,0.000424024955638776,5.10301131806816e-05,2.49703565311624e-05,5.86283905674875e-05,0.00127232243724143,0.000152085535646711,0.000194819794804104,0.000159839300945026,0.000255429928789923,0.000512862207719589,0,0,0.000461015104547319
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
