"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0,0,0,-0.00016677,0,0,0,0,0,0,-0.00023187,0,0,0,0,0,-0.00032576,-0.00012474,0,-0.00014345,0,0,0,0,0,0,0,0,0,-0.00014316,0,0,0,0,0,0,-6.063e-05,0,0,-5.043e-05,0,0,0,-7.999e-05,-0.0001298,0,-0.00024482,0,0,0,0
"Arg_1.1",6.398e-05,9.872e-05,3.585e-05,Inf,3.472e-05,9.37e-06,1.538e-05,2.652e-05,1.759e-05,1.906e-05,Inf,1.144e-05,1.185e-05,3.401e-05,5.436e-05,4.073e-05,Inf,Inf,5.385e-05,Inf,1.74e-05,1.027e-05,1.131e-05,2.546e-05,2.934e-05,3.657e-05,0.00017435,9.27e-06,1.615e-05,Inf,2.072e-05,3.041e-05,3.004e-05,1.599e-05,1.632e-05,2.111e-05,Inf,7.095e-05,3.704e-05,Inf,2.543e-05,2.3e-05,0.00057978,Inf,Inf,0.00011612,Inf,4.053e-05,2.051e-05,1.906e-05,0.0004106
"Arg_2.2",-4.154e-05,-4.557e-05,-4.104e-05,-4.227e-05,-3.533e-05,-4.981e-05,-3.917e-05,-3.668e-05,-4.167e-05,-0.00022914,-3.889e-05,-6.109e-05,-4.776e-05,-4.529e-05,-3.925e-05,-2.9e-05,-4.976e-05,-4.809e-05,-3.098e-05,-4.1e-05,-4.79e-05,-1.581e-05,-0.00018595,-3.646e-05,-4.705e-05,-7.338e-05,-3.722e-05,-0.0001343,-7.745e-05,-5.373e-05,-3.985e-05,-4.985e-05,-3.128e-05,-4.614e-05,-4.808e-05,-4.119e-05,-4.685e-05,-5.109e-05,-4.6e-05,-3.623e-05,-4.499e-05,-4.706e-05,-4.612e-05,-2.305e-05,-4.71e-05,-3.162e-05,-3.216e-05,-3.914e-05,-0.00018925,-4.251e-05,-4.751e-05
"Arg_3.3",-0.01608829,-0.01330217,-0.01476033,-0.01499266,-0.01543267,-0.01585591,-0.016274,-0.01504252,-0.01577544,-0.01258487,-0.01616216,-0.014394,-0.01378739,-0.01460147,-0.01634264,-0.01624215,-0.01404505,-0.01433577,-0.01574222,-0.01718533,-0.01413163,-0.0640816,-0.01345019,-0.01590282,-0.0141337,-0.01378363,-0.01664933,-0.01438209,-0.01405112,-0.01219053,-0.01413065,-0.01573431,-0.01609964,-0.01556406,-0.01484375,-0.01456298,-0.01421786,-0.01180107,-0.01445286,-0.01514727,-0.01500741,-0.01368201,-0.01439887,-0.01994744,-0.01423864,-0.01616309,-0.01646055,-0.01497179,-0.0118581,-0.01846008,-0.0130044
"Arg_4.4",Inf,Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_5.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_6.6",-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Ser_0.0",-1.34e-06,3.2e-07,3.2e-07,3.4e-07,3.4e-07,3.1e-07,3.2e-07,-4.3e-06,3.2e-07,-2.9e-07,3.1e-07,3.2e-07,3.4e-07,-1.96e-06,-1.82e-06,1.5e-07,3.2e-07,-4.3e-07,3.3e-07,3.3e-07,3.2e-07,3e-07,-1.1e-07,3.2e-07,3.1e-07,3.1e-07,3.1e-07,3.1e-07,3.1e-07,3.2e-07,-6.9e-07,3.3e-07,3.2e-07,-2.79e-06,3.1e-07,3.4e-07,3.1e-07,3.1e-07,3.3e-07,3.1e-07,3.2e-07,3.4e-07,3.4e-07,3.2e-07,3.3e-07,3.1e-07,3e-07,3.4e-07,-1.74e-06,-9e-08,3.2e-07
"Ser_1.1",-0.00310291,-0.00084254,-0.00060987,-0.00070212,-0.00057459,-0.00102094,-0.00055112,-0.01569344,-0.00064387,-0.00167199,-0.00109399,-0.0011735,-0.00047006,-0.00880283,-0.00599185,-0.00084112,-0.00110717,-0.00253432,-0.00054317,-0.00058013,-0.00062123,-0.00139128,-0.00156304,-0.00099883,-0.00086189,-0.00083689,-0.00074528,-0.00100644,-0.00092799,-0.00067039,-0.00445499,-0.00053493,-0.00097323,-0.00441012,-0.00093151,-0.00060881,-0.00085054,-0.0007787,-0.00054961,-0.00090649,-0.00058316,-0.00040617,-0.00084325,-0.00066362,-0.00050655,-0.00079651,-0.0019259,-0.00049829,-0.03962172,-0.00169289,-0.00095322
"Ser_2.2",Inf,-0.07655803,-0.30764279,-0.04891268,-0.06030155,-0.13299144,-0.30937714,Inf,-0.18719477,Inf,-0.69176471,-0.07200371,-0.08858301,Inf,Inf,-Inf,-0.05312547,Inf,-0.2711289,-0.1687276,-0.28248143,-0.33633291,Inf,-0.08076207,-0.40645192,-0.36526394,-0.40335187,-1.39119258,-0.35300646,-0.15330915,Inf,-0.09675687,-0.07162429,Inf,-0.15363801,-0.05669355,-0.19545106,-0.35894623,-0.10839548,-0.83933445,-1.77202192,-0.79086182,-0.03717407,-0.29046941,-0.23375773,-0.27264584,-0.16509756,-0.09123877,Inf,Inf,-0.09571163
