"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",4649180.77549304,3578653.63399395,4386627.08470861,4351401.83834872,3471493.58893441,4382727.09005857,4589251.79731181,4503067.81791825,4443197.47284345,5338523.56598435,4567031.53796939,4501652.26706164,4210517.74367515,3926564.46581006,3457955.21740259,3507822.46021586,4532898.62611716,4669124.30724839,3316007.72724952,4273080.22984803,4686187.88551312,373027.97059858,5303306.00160437,4342155.34281282,4529339.20730527,5376033.0913378,4767890.79613061,5183093.80030667,4825858.96849274,3925852.41594093,3998987.68216974,5050033.86609368,3324505.97620375,4792438.86220315,4573166.74134454,3598174.2541519,4303704.12345357,4177928.7171877,4147340.03070319,4277164.4598584,4250190.77447298,4191190.38536675,3893200.2808913,3247560.43673008,4303490.33897352,4007927.30317895,3718619.6277386,3902933.57615893,4619526.47593027,4686666.02299756,4334438.58696787
"Arg_1.1",6818.03251121,4961.59315447,15861.01731815,0,15385.08558527,45151.55222119,34966.24713614,27200.32319293,28535.02585803,19786.3499371,0,37603.04155547,52022.05157893,13257.60400179,6363.98996287,20631.18297643,0,0,12318.62278638,0,33866.83061248,13183.4596877,31543.77725677,22930.70895203,18789.8016642,12209.12927621,2134.57235363,36916.65599643,24460.89145922,0,33826.70632484,14348.24462336,21184.21794574,30719.05379097,30610.29941876,24497.06905884,0,12805.29625855,12841.26528021,0,18477.98780977,25461.87080407,140.15032509,0,0,4746.7852843,0,12848.00954527,18805.39332996,19592.29795387,733.11727018
"Arg_2.2",37687.50602629,40257.90675912,47371.19886762,39077.77038389,52147.05798791,27721.92352208,45502.08681986,66581.89398704,39968.47431272,5145.77206746,41920.6602958,22909.87779294,42190.58663207,33721.89359412,31293.70631359,103082.81448057,32703.11502431,34612.37693672,78010.52048709,30355.38011898,40557.56644281,29129.34010817,6055.19377842,54160.72913301,39313.23944583,20157.41729032,46585.6717409,8139.90265215,16566.45058466,39654.07128625,58653.52971685,29386.70318782,70118.0830272,35107.6633763,34236.09737815,41867.5730312,34810.01597656,62673.94178615,35139.09932334,58798.54651122,34952.55815565,41354.01796519,31763.27031687,145273.40466945,34153.25467687,74113.31807053,58655.91559094,46026.28986731,6412.92587867,29257.59904894,46690.97516271
"Arg_3.3",7246.95551765,10307.12133053,9820.69926404,8283.96651163,8891.55377142,6493.07487262,8153.33553798,12096.57250072,7864.4073014,7239.55969861,7591.06603649,7271.48039939,10918.87120591,7803.91791035,5594.10776534,13691.88246621,8788.15682766,8734.85780872,11426.50502124,5437.45285406,10267.26429289,530.60672762,6398.6226818,9244.08942043,9771.46018998,8046.79334887,7748.43787521,5747.21003728,6848.7886237,13185.08053319,12341.04481681,6941.78023477,10138.1899987,7759.1786059,8274.41883269,8831.53021465,8605.9489486,20345.87273958,8347.68949493,10521.74701468,7813.73031042,10626.54028514,7593.17213359,12506.84310335,8498.09554565,10789.17983764,8595.31615705,8967.00482804,7873.05200792,5007.75074816,12756.53430382
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",6123583.1830361,2315114.84898886,6225912.9553885,6337136.61202,4299407.0174262,5977899.67275584,7082054.97493631,5966723.53183189,6681584.53745766,5777006.35983343,6034984.69128846,3209080.26427418,6655358.5456464,5508386.31642087,5033761.5572426,2622142.24792869,6100059.82654508,5759767.84810288,4489834.38716911,5315790.11647047,7308673.20472135,10004635.5551487,5864426.53800814,5395531.604603,6688163.30261375,6450088.55217063,7701460.19277952,6682648.96670623,6161411.5575783,3615657.52783455,4720071.804114,6527383.04737891,3975953.941528,8032125.12622793,6947222.92969101,3350806.62405234,5586906.07279238,8411516.57559438,2387689.34866192,5626714.55092579,5611550.42807693,6511522.92970463,3022962.22401546,2377991.2990747,4933449.95474561,5043893.97259831,4404584.53455858,4489689.07700242,5113281.72147132,6282110.4216774,4101761.20467589
"Ser_1.1",53534.30271397,12268.32012148,45308.66491736,42062.99929659,35113.58561149,25304.35686921,57667.72669336,25437.47300116,46149.1253901,43792.20626382,23266.82132584,11978.69801349,66838.66979212,21927.58996877,27989.04045893,21008.88160041,24635.49509229,32592.50117183,37219.17717374,41284.05654226,52171.12086041,30122.85599498,38060.72290574,23771.08796204,33335.25985925,33211.0922039,44894.63028764,28071.57562642,28414.10408333,23992.50830459,18725.32496346,56413.49671659,18108.03275113,85805.27932089,32310.46463442,25760.02596242,28503.19516774,46811.82670894,19935.71092024,26458.27606531,42501.66464005,74487.0706779,16835.4923979,15782.34499712,44327.11733512,27477.40885865,9555.09513866,42138.32781572,4086.12310005,36210.77641134,18867.4500776
"Ser_2.2",0,1364.3359408,905.95961118,6105.47229064,3379.947826,1961.60670625,1036.1067264,0,1601.51428846,0,371.09927632,1974.88722375,3579.83357042,0,0,0,5198.52110097,0,752.08227489,1432.13970309,1157.30080972,1257.37859424,0,2971.58127365,713.00662054,767.54948405,836.66228617,204.78268295,753.50588909,1058.71894735,0,3148.10347979,2487.66513226,0,1977.54566046,2795.16724911,1251.68204069,1024.34689667,1020.20488077,288.16714429,141.0306632,385.73674525,3868.23047233,363.70555418,968.89601471,809.81501689,1126.47542664,2322.87205206,0,0,1898.38751946
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",8301056.44951001,6759770.50028671,8595885.10004173,7205652.1749101,5394145.79845873,8041991.81006169,8915245.68287692,6583855.15032622,8746054.47526947,8828996.77448035,8764389.27322528,5975195.68351775,8752974.0348921,7351964.77529315,6232161.16480278,4940398.4340227,8822059.41272449,8717257.47803365,5212082.36654173,8757425.35798725,8692610.58516079,0,8340474.18112517,7085407.32153789,9380208.04077271,9525421.58908654,9394103.38649294,9206598.73438528,7448165.24129728,4616570.71333589,6432964.73472372,8996558.26976049,5202295.41069589,8791499.37912377,8045400.24995617,5801381.02281115,8081142.79184912,11421756.3218185,6919064.94020332,6665898.39322905,8219979.63049768,7411430.64562328,7095199.14823649,4028749.72859931,7369095.69196623,6191544.64820029,5769840.24980262,7225495.06860904,7149145.79080577,8504293.77849044,5337509.22964208
"Asn_1.1",33330.29069996,1403.25523866,50185.8262716,41855.1475278,1720.69384785,16065.26131265,43349.94032608,14046.26948609,17889.59057599,0,912.81545696,24973.97930555,64638.29613772,15337.4592765,19715.32064914,13709.93259516,65759.28875308,46532.38902847,3623.47135687,40892.56677317,18155.91748017,0,68197.67681463,0,26773.96582147,24548.24002979,62361.59708726,48891.99730013,46280.01633144,0,6147.83785586,19156.72344204,16390.96796269,27356.75436028,57593.93811756,0,77122.98976641,72575.27688408,8276.24713836,25390.7236443,35244.41626492,5791.71798399,7723.70620296,6145.053177,21497.90130872,5294.21490937,2899.69195164,7225.11208328,62134.98588933,0,6806.00415762
"Asn_2.2",0,9639.95318685,0,0,3624.93463533,32.24576345,3182.46221423,6374.94818897,305.87949158,0,1678.30858171,7634.42192546,0,0,0,9962.79074091,0,0,2597.73619855,0,0,0,0,3904.62958148,0,0,416.50155628,0,0,1559.15815159,3880.79281641,1051.78439629,6578.20504261,196.68169346,0,4803.77440428,0,1200.68121262,5015.58061107,2509.78219109,2601.2144933,5519.85396356,7955.83730717,5608.57979341,3865.62613714,4167.35543203,2664.4021796,3714.30687633,0,2653.02087926,812.71118993
"Asn_3.3",19330.84869671,24169.95957579,20408.01296535,26951.43737497,22562.7368404,23783.96012436,22968.88020492,24781.13315715,15967.57704417,13402.88423012,19458.86267971,18318.81815658,26900.86340942,26147.38469888,28384.13607922,22604.32469017,23700.09993044,20316.51622641,38050.17886384,13938.60113499,26702.2787836,0,15264.05631072,26139.84292131,27450.45362845,19916.41858201,26508.3394528,19790.58140347,20695.96376123,21594.80345836,23719.8721773,20028.82717097,27668.34585271,17707.45108851,23249.91624906,20940.16594764,15515.04908273,26776.26320194,19007.44750243,25134.55519452,19695.51137126,29967.93724865,21918.84553996,19985.05952009,18684.89129994,28298.87335986,12202.39861869,24397.39965053,14548.02165087,18072.13132362,22418.76439275
"Asn_4.4",31281.65776012,58867.63627375,38159.52589888,28790.51264454,21356.1766279,30807.67105003,40093.45690134,25080.1065994,36670.39373147,31451.2712887,46155.63623065,40726.04322265,35683.45831298,33285.68797749,25284.06998917,44409.00594342,34315.99714618,47886.01427025,22581.9506924,38832.72417832,33996.25965529,0,35133.24214485,27856.96921684,38614.83029269,35362.7266427,36138.35669796,36601.84105707,29116.56324099,19779.36086748,24426.38039904,32428.8971411,25301.62850667,38206.2426046,71376.89441456,47841.54103017,41327.42839618,43849.7275308,60088.85508528,24802.61981065,33841.87134241,28168.44231543,53803.60744926,31754.30098903,36322.97494121,21871.17654431,26009.36217471,34956.31814479,28243.6273725,35002.24261161,23620.8276105
"Gly_0.0",626618.19008385,646411.28022672,617469.48461837,802476.9287666,493544.38610256,715935.27372334,901829.55885034,721375.20511785,826632.19170967,667314.0750956,933174.55854076,858391.96255185,699855.49497828,513664.25313104,453698.67790442,685982.01165748,493605.04125456,774758.90613268,406292.38735467,548841.62852376,859854.40607885,2240072.43198994,680174.4544057,644815.69821205,641699.04787442,814209.66931902,925365.76921269,697372.71786786,528690.07877289,500162.10821507,616290.44785596,632642.84715468,570460.40042472,1019421.2533937,813900.82329613,787868.85243639,568516.54723331,714070.69621893,912750.94031202,663074.55295489,571162.83746823,737929.60725025,651424.62863671,547355.97081635,790600.42690341,613068.73676522,531139.96147766,626511.37401943,598301.30973744,692277.2968917,628739.0593515
"Gly_1.1",1784.99971371,8711.32101229,5573.67450454,5534.13203571,3849.42161276,4726.54349046,5538.58795611,10244.09172289,157.34966802,3156.01090279,8184.35380405,5087.4543092,1913.35397119,2692.95550416,5128.58203201,5567.70152087,2354.41326872,3986.80421689,2524.81539173,4069.43909649,4938.21966483,12229.87389265,1390.95933684,4052.09468516,2361.07335917,4228.84745193,2549.84065127,1710.27472495,2544.75140758,3008.731831,2458.56915468,8884.85030602,1943.50986651,5264.32270095,6091.69606998,5046.56576106,1832.61638679,3541.63486605,6603.21161865,3524.80342308,3318.8162196,3184.83722762,2735.97330078,2146.23098183,4854.68131062,5423.73106857,4200.36719629,6909.08947479,2758.09177348,4967.71403844,3639.55029624
"Gly_2.2",8717.15364921,0,11576.59636467,12582.97789813,0,13992.05587272,12939.87571068,12137.17178086,11887.58767508,0,11606.63936179,8445.12270228,14390.64339394,12739.39808252,0,0,11553.67237359,11780.00395772,0,0,13520.27589835,42519.52449387,14472.58359158,0,12514.22006927,14796.78427812,17350.12105442,13098.30191869,12294.06723301,0,9764.95852891,11636.9777774,9458.06526426,15970.82768571,15684.88166429,0,0,15203.63773114,0,0,0,11812.17648962,0,0,0,10428.58689215,0,10810.18398957,12097.32287899,13057.60517932,0
"Ala_0.0",0,241337.56603061,0,0,0,0,0,0,0,0,141362.11457482,404519.32540163,0,0,0,442595.65456738,0,106242.94020272,0,0,0,953917.32077798,0,0,0,0,0,0,0,55967.23184279,0,0,102300.55041577,0,0,331141.78233678,0,0,467287.1236396,0,0,0,286170.27277813,249222.45527178,172969.97575658,14737.0434815,0,72272.64531971,0,0,77496.41828087
"Ala_1.0",0,1165.63672736,0,0,0,0,0,0,0,0,452.45639594,4083.91642193,0,0,0,2405.71489188,0,1195.89062921,0,0,0,2500.84530956,0,0,0,0,0,0,0,2672.97663491,0,0,677.7750163,0,0,2655.62353407,0,0,0,0,0,0,2553.51301552,59.87432805,1005.19036177,0,0,1845.14942316,0,0,0
"Ala_1.1",0,7137.26678203,0,0,0,0,0,0,0,0,2945.17104544,3866.61551287,0,0,0,3869.81775087,0,2996.65216655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756.26924455,0,0,2978.29578936,0,0,3534.21061779,0,0,0,3819.08686178,1659.42780938,202.01765457,0,0,3453.65769492,0,0,0
"Ala_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_3.2",0,8158.40157849,0,0,0,0,0,0,0,0,7732.68683743,16213.34998911,0,0,0,14623.36839646,0,8328.33711691,0,0,0,0,0,0,0,0,0,0,0,3524.62393233,0,0,5668.29145849,0,0,17365.85209682,0,0,15227.17490802,0,0,0,13111.4366855,8270.45177963,7623.32800891,0,0,4419.56648995,0,0,4494.66362729
