"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",3931976.88945679,3026594.16007384,3709925.93160896,3680134.6928293,2935965.11358283,3706627.56796739,3881292.8294909,3808403.98485763,3757769.51298706,4514978.50888469,3862500.36896266,3807206.80334914,3560984.02282986,3320834.6760597,2924515.23315129,2966689.72705703,3833632.95617452,3948843.84080649,2804465.21192167,3613895.3338022,3963275.11346038,315482.970084991,4485193.76702759,3672314.60397682,3830622.62958493,4546701.64333489,4032374.15947785,4383526.04960416,4081399.89649659,3320232.47025942,3382085.55588943,4270992.54929461,2811652.48213173,4053135.32862551,3867689.12781032,3043103.44010302,3639795.04554429,3533422.32859031,3507552.39275776,3617349.51181495,3594536.91048139,3544638.19119357,3292617.40287307,2746576.9134311,3639614.24043572,3389646.11008297,3144968.35959191,3300849.19550465,3906897.1977467,3963679.49127006,3665788.27017541
"Arg_1.1",5777.06716177596,4204.06573826884,13439.3847712502,0,13036.1174678532,38257.8917321644,29627.6613185125,23047.4251404943,24178.3477233078,16765.4044308366,0,31861.8745504412,44079.4151935652,11233.4560735291,5392.34704028177,17481.2498306161,0,0,10437.8368774999,0,28696.1017981513,11170.6319844011,26727.7281897444,19429.6881784016,15921.0074155643,10345.0606460885,1808.66955801626,31280.2851451505,20726.2450808917,0,28662.1036169848,12157.5795812729,17949.8483823628,26028.9220687725,25936.7721250224,20756.899147503,0,10850.2058901085,10880.68322408,0,15656.8007582842,21574.3966397529,118.752417131841,0,0,4022.05436023423,0,10886.3977864768,15934.218572905,16600.9799670119,621.186200025332
"Arg_2.2",31986.3572164148,34167.9225333737,40205.1567883671,33166.310390722,44258.551452644,23528.3106259359,38618.7932440283,56509.7686148105,33922.2737601672,4367.34931171108,35579.1442934447,19444.2034545401,35808.2377284952,28620.6397887676,26559.7746922762,87489.0401224439,27755.976172246,29376.4159409969,66209.5383334164,25763.3930790865,34422.2514263278,24722.8213384139,5139.19894503089,45967.6060268211,33366.1590494094,17108.1193209957,39538.4596802877,6908.54506946909,14060.3733725275,33655.4318123988,49780.7616194616,24941.2520139343,59511.0233474645,29796.778301133,29057.05778646,35534.0877644201,29544.1572854049,53192.9889108114,29823.458799194,49903.8411085598,29665.1365047673,35098.2203504225,26958.3057580997,123297.280869695,28986.7470518079,62901.8822482988,49782.7865722633,39063.6978741721,5442.81539389839,24831.6780054697,39627.8334070548
"Arg_3.3",6159.52728416626,8760.50569125044,8347.07276995423,7040.93155052934,7557.34845071226,5518.76877657535,6929.90216109888,10281.4441432147,6684.32850578305,6153.24123079465,6452.00294851957,6180.37213106101,9280.46059359684,6632.91573614928,4754.69448201493,11637.3728825599,7469.46654021371,7424.16520497291,9711.92237479244,4621.54612780222,8726.62932617386,450.987536487237,5438.48943099524,7856.98502822813,8305.22217222654,6839.3469591055,6585.76065297828,4884.82328147913,5821.10657205293,11206.6181571443,10489.2326272908,5900.14450242096,8616.92303160485,6594.88970359489,7032.81653053396,7506.33161547475,7314.59952057674,17292.9112031111,7095.09270183058,8942.92612341468,6641.2557550451,9031.99483744547,6453.79301919393,10630.1523648446,7222.92985646155,9170.22981883434,7305.56221249618,7621.47784142512,6691.67604718079,4256.32216045365,10842.3766234544
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",5400109.00653195,2041594.30410189,5490348.97042227,5588432.04563534,3791451.15916245,5271637.35644528,6245341.60993409,5261781.62697158,5892184.97734858,5094478.69687654,5321978.03338261,2829941.67300573,5869057.4700784,4857594.91945263,4439044.96917811,2312347.77845006,5379364.83021327,5079276.83880213,3959380.3802903,4687753.10578099,6445185.90160578,8822632.26505921,5171570.56897222,4758073.49098481,5897986.49059816,5688039.2153399,6791566.85022054,5893123.64900539,5433468.12650499,3188483.6372736,4162416.26822092,5756201.70897367,3506212.62869109,7083165.18927891,6126439.37244749,2954923.69236022,4926837.91508092,7417733.22264874,2105594.4487255,4961943.19819361,4948570.64916069,5742215.39381512,2665812.65320839,2097042.18065689,4350584.73733145,4447980.28462738,3884202.41942534,3959252.23787492,4509170.17891511,5539906.9554745,3617156.32203294
"Ser_1.1",47276.9824276928,10834.3459314202,40012.7926680041,37146.4944491003,31009.3582202295,22346.6744573386,50927.2739778399,22464.2314014286,40755.0164943458,38673.5842449713,20547.2948596556,10578.5761050479,59026.2776772438,19364.5986419969,24717.5606454572,18553.2728716923,21755.9921308506,28782.9490076288,32868.8391556637,36458.5978848096,46073.1351509132,26601.9666148553,33612.0213914805,20992.6206356516,29438.8908548738,29329.2364508287,39647.1521922457,24790.4487464555,25092.9409994104,21188.1604131994,16536.6281873569,49819.6438123953,15991.4877522418,75775.988048844,28533.8781176176,22749.0829808536,25171.6187334723,41340.2584236748,17605.5390110424,23365.7185989701,37533.8866945023,65780.700466851,14867.6874061418,13937.6364175921,39145.9726022709,24265.7307541606,8438.25439137511,37213.0182458935,3608.51940167407,31978.3046253313,16662.1411049274
"Ser_2.2",0,1206.32698695759,801.036969984983,5398.37423618859,2988.50316485957,1734.4255448983,916.111250937009,0,1416.03680471443,0,328.120852407328,1746.16799496644,3165.23937812722,0,0,0,4596.46052620401,0,664.980755458427,1266.27813668669,1023.26938479279,1111.75677902695,0,2627.43110193218,630.430601815335,678.656648077428,739.765232736372,181.066018651765,666.239495463083,936.104664253555,0,2783.50959748153,2199.55913629236,0,1748.51854797211,2471.44825905873,1106.71996509095,905.713371982793,902.051058756882,254.793407192436,124.697363691034,341.063100180012,3420.23593383255,321.583425454903,856.684468353878,716.027248204797,996.014007007388,2053.85137183036,0,0,1678.52801347831
