"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0.927354788478722,0.923466353086562,0.922413111058337,0.929006350157581,0.917666111452671,0.921037976570939,0.920004223767469,0.916337778358679,0.921899108428694,0.931946987624076,0.929533810192792,0.923776267987788,0.915003301215274,0.924819625170704,0.926116080398815,0.902816520476208,0.931753076467246,0.93010878408935,0.910118441317286,0.931049309923789,0.921118516391852,0.84228311241368,0.929863650557676,0.919528240380995,0.923893886491936,0.930610545974714,0.926725261913181,0.928489753358899,0.928410103271433,0.926572316454526,0.913963102269518,0.928325172230918,0.910234431773901,0.92352806130177,0.922965384771118,0.918627438084607,0.928910888726847,0.916936716673534,0.925154434451041,0.923445687810489,0.92439696096664,0.920779639878922,0.928268375909428,0.896143212150751,0.929591473888128,0.917386463645098,0.923252638178107,0.921769309407667,0.930922207482261,0.926991792929065,0.92493770090311
"Arg_1.1",0.0615859572388666,0.0612536676289046,0.0632431303540464,0.0586838243160952,0.0636676134353641,0.0693161388215691,0.0667664144978907,0.0650515601505476,0.0657988499244557,0.063981339013268,0.0581365200067021,0.0677191930135859,0.0707432602148586,0.0631864311580908,0.061850455966769,0.0639479734658815,0.0574783856532417,0.0591558290644193,0.0624905047429896,0.0590555062797008,0.0664854809090389,0.0845098828955099,0.0659257045434415,0.0645787235174828,0.0638375225983257,0.0625519543208398,0.0605986387713022,0.0669204414498702,0.0650051836993562,0.0587171572481093,0.0670965002300365,0.0629284226693665,0.0649206691061413,0.0659037561902682,0.0661256913466397,0.0659204418685099,0.0596347541240292,0.0623618637206595,0.0629497768452574,0.0592676000495943,0.0640566017065833,0.0653988871454506,0.0603168230666012,0.0566986704324236,0.0590681740054683,0.0606647240689226,0.0575058705063539,0.0629000156884161,0.0642508030156998,0.0640812688995178,0.0602237122786175
"Arg_2.2",0.00924137956160698,0.0121091241600295,0.0117902477585183,0.0101272877391853,0.0156559134816782,0.00797444496850042,0.0111435201557304,0.0154965862031621,0.0102565850445842,0.00272511082106981,0.01036348658764,0.00675546811133053,0.0114142462497503,0.0097586284840603,0.0101240586838412,0.0284789521831345,0.00861579113195931,0.00864604024909536,0.0232530968574166,0.00837890397003748,0.00997321477333332,0.0690524210743263,0.00299789612897169,0.0133802580547027,0.0098722857887876,0.00524844795300615,0.0107307794563419,0.00345176364986657,0.00508200722196582,0.0111264311577975,0.0154672125484812,0.00719100705631823,0.0211653041503996,0.0087276554008771,0.0088851759506139,0.0126715987959483,0.00922037709610661,0.0155562395288423,0.00964098962962076,0.0144070818156471,0.00946507388862993,0.011031299230941,0.00922717754477475,0.041884616910888,0.00913309512615569,0.0186821869337483,0.0164154724016628,0.0126844223735432,0.0031365430973197,0.00764184964073816,0.0116245981984366
"Arg_3.3",0.00181787472080458,0.00317085512450369,0.00255351082909852,0.00218253778713839,0.00301036163028667,0.0016714396389915,0.00208584157890954,0.00311407528761074,0.00204545660226581,0.00134656254158623,0.00196618321286599,0.00174907088729524,0.00283919232011721,0.00223531518714475,0.0019094049505743,0.00475655387477573,0.00215274674755303,0.00208934659713508,0.00413795708230759,0.00151627982647321,0.00242278792577614,0.00415458361648349,0.00121274876991037,0.00251277804681929,0.00239630512095098,0.00158905175143972,0.00194531985917471,0.00113804154136377,0.00150270580724544,0.00358409513956705,0.00347318495196449,0.00155539804339686,0.00367959496955774,0.00184052710708428,0.00202374793162813,0.00278052125093492,0.00223398005301753,0.00514518007696456,0.00225479907408072,0.0028796303242697,0.0020813634381464,0.00279017374468636,0.00218762347919637,0.00527350050593726,0.0022072569802482,0.00326662535223156,0.00282601891387635,0.00264625253037415,0.00169044640471929,0.00128508853067884,0.00321398861983554
"Arg_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arg_6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",0.96020316316204,0.962612759468855,0.961152522533557,0.960998580182839,0.959719512599826,0.963868251444666,0.960334582328458,0.964517137950949,0.96141543077191,0.961110325766629,0.964476370244204,0.964075779674089,0.958183973314009,0.964790835643263,0.963298704427131,0.960623878278586,0.963564232772775,0.962953538493089,0.960176398772129,0.960575867302893,0.961272186227495,0.965220642620797,0.962109201964123,0.963496554678122,0.963361139128651,0.963193218766709,0.962557441125922,0.964176612509534,0.963700421950421,0.961622623919968,0.96460655238158,0.959552477281604,0.9632855314555,0.958571450908449,0.963511774667537,0.960126987821277,0.963140119049081,0.962795676646185,0.959879669668244,0.963680589399489,0.960983960174231,0.957314336216972,0.961715331709025,0.961751466165166,0.959494249133933,0.962871072174894,0.965901572511881,0.958820686656089,0.967770959709636,0.962792661968273,0.963394138423303
"Ser_1.1",0.0396111030133755,0.0363604100941975,0.0382091035803668,0.0375872451891839,0.0390070688296607,0.0353787652632799,0.0390087160614038,0.0354828620490506,0.0378628646580663,0.0385104586628298,0.0350363620144605,0.034903488302521,0.0407443377944275,0.0352091643567368,0.0366783501314587,0.0388979462096286,0.0351800287042449,0.0367337579946657,0.0391434865131049,0.0386563968469153,0.0380798901986362,0.0342472643859412,0.0374966695924976,0.0355317515549318,0.0360848089086577,0.0362373830968701,0.0368692764880955,0.0353588802110061,0.0357379764202051,0.0376099013949844,0.0351678249837593,0.0394571574235294,0.035667386863322,0.0414285490915507,0.0357688235249366,0.0385627728530709,0.0361899137468372,0.0366237363493851,0.0391887895276373,0.0358247010297801,0.0384877346584074,0.0420459378546613,0.0365864968548861,0.0376160125783439,0.0397837464520101,0.0365132718324801,0.0334575159218478,0.0401403934066569,0.0322290402903641,0.0368229315446714,0.0357152551294521
"Ser_2.2",0.00018573382458444,0.00102683043694782,0.00063837388607652,0.00141417462797717,0.00127341857051363,0.000752983292053655,0.000656701610138118,0,0.000721704570023103,0.000379215570540972,0.000487267741335315,0.00102073202339028,0.00107168889156325,0,2.29454414098071e-05,0.000478175511785191,0.00125573852298027,0.000312703512245841,0.0006801147147664,0.000767735850191259,0.000647923573868787,0.00053209299326174,0.000394128443379555,0.000971693766946539,0.000554051962691708,0.000569398136421136,0.000573282385982515,0.000464507279459584,0.000561601629373352,0.000767474685047589,0.000225622634660684,0.000990365294866592,0.00104708168117832,0,0.000719401807526715,0.00131023932565203,0.000669967204081576,0.000580587004429727,0.000931540804118989,0.000494709570730629,0.000528305167361247,0.000639725928367107,0.00169817143608855,0.000632521256490342,0.000722004414056931,0.000615655992625956,0.000640911566271151,0.00103891993725402,0,0.000384406487055188,0.000890606447244884
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
