"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2247751.99879089,1487642.25200403,1835121.13624673,378968.76294513,593971.15478921,1574512.31499255,692679.81678573,1498499.24829386,1813389.26024426,2280316.12008225,1550734.43773857,1997975.79161334,1748251.25797731,2117124.7267866,604829.78818242,617856.06102413,2573350.33476508,1737392.7328481,1878554.89321137,524469.61874596
"Cit_1.0",10814.47829704,114363.74790229,9717.32687089,11744.07108457,20940.24377652,4741.46907953,4219.06048957,95965.57601985,113467.84479905,74038.7346572,0,116501.75682926,74223.0809789,3450.71241394,15221.57614537,0,10998.09546207,115504.4104428,1563.77148875,0
"Cit_1.1",6407.75676851,156705.8673181,20500.08633273,21061.73467884,7522.20061488,32677.00546938,0,100224.04178396,96767.72049527,87247.11807277,0,201472.57932653,66100.64823889,0,19387.85081733,8112.53886926,0,155855.69727438,13815.36400674,1135.25021598
"Cit_2.1",0,2009.46332231,0,135.41289258,0,0,0,214.50547488,722.39817651,3120.94241605,61.71566469,2194.30776194,3940.42432406,0,1694.3933608,0,0,2157.3980108,1522.8516374,0
"Cit_2.2",267.02016612,5521.72882635,4122.82696066,46.50587304,3671.24013183,382.70510437,106.48144612,0,0,0,0,0,4428.8373298,2244.02672101,549.1693033,0,734.6763072,11875.70458103,0,588.01375941
"Cit_3.2",0,0,0,0,0,164.05137235,0,0,224.89507754,860.11074642,0,1252.111515,134.46493811,0,0,0,0,484.23134301,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,1060.64187217,0,898.67253632,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2069.30248361,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
