"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.992279296873738,0.842263608119746,0.981630944293588,0.919924250419532,0.948676830930555,0.976455342823607,0.993794105193646,0.884120754862583,0.895690128008722,0.932018074413351,0.999960203883306,0.860319632266824,0.921549140408275,0.997317370023042,0.942568211425869,0.987040022661454,0.995461356062553,0.858705255850148,0.991082895470658,0.996725033667355
"Cit_1.0",0.00477409559703008,0.0647497224662176,0.00519792866196857,0.0285080377215971,0.0334452674084354,0.00294048688692657,0.00605312489606881,0.0566200868022418,0.0560453459502927,0.0302613476699518,0,0.0501651466521797,0.0391249347955263,0.00162553267922008,0.023721341247989,0,0.00425444560535403,0.0570879815748468,0.000825010320712746,0
"Cit_1.1",0.00282873038672206,0.0887227080590607,0.0109657715272439,0.0511261148185246,0.0120142828206544,0.0202650917838031,0,0.0591325992177188,0.0477966280366333,0.0356599202488488,0,0.0867532109676296,0.0348433872345421,0,0.0302140738193448,0.0129599773385465,0,0.0770315794888276,0.00728867227210719,0.00215747923101647
"Cit_2.1",0,0.00113770486550319,0,0.000328706785054559,0,0,0,0.000126559117456342,0.000356815235083257,0.00127560153407895,3.97961166943595e-05,0.000944859319495598,0.0020771011215417,0,0.00264054673024708,0,0,0.00106629259798831,0.000803421936521929,0
"Cit_2.2",0.000117877142510023,0.00312625648947202,0.00220535551719983,0.000112890255291627,0.00586361884035522,0.000237339803779001,0.000152769910284949,0,0,0,0,0,0.00233455644070713,0.00105709729773739,0.000855826776549822,0,0.000284198332093444,0.00586955945414659,0,0.00111748710162883
"Cit_3.2",0,0,0,0,0,0.000101738701884628,0,0,0.000111082769268856,0.000351547206372283,0,0.000539153738830848,7.08799994079173e-05,0,0,0,0,0.000239331034042271,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,0.00043350892739661,0,0.000386964461341552,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000891032593698567,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
