"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2.9e-07,5e-08,2.6e-07,1.6e-07,2.5e-07,3.1e-07,-0.00014009,-9.9e-07,-7.09e-06,-4.56e-06,-0.00122332,-1.169e-05,1.3e-07,-0.00014013,1.4e-07,-6.08e-06,-5.798e-05,2.2e-07,-2.7e-07,-9.98e-06
"Cit_1.0",-0.00352028,-4.973e-05,-0.00238679,-5.526e-05,-0.00027742,-0.00569435,-0.00183189,-4.395e-05,1.1e-07,2.8e-07,-Inf,1e-08,1.9e-07,-0.00944787,-7.971e-05,Inf,-0.00265657,1.6e-07,-0.00077667,-Inf
"Cit_1.1",-0.00195672,3.43e-06,-0.00046452,-6.353e-05,-0.00038115,-0.00031248,-Inf,-0.00021685,-0.00129708,-0.00108138,-Inf,-0.00105253,-9.326e-05,-Inf,-8.768e-05,-0.00383201,Inf,-6.78e-05,-0.00069473,-0.00432415
"Cit_2.1",Inf,-0.02595454,Inf,-0.04393788,-Inf,-Inf,-Inf,-0.18011596,-0.00048704,-0.00017726,-0.10095482,3.84e-06,-9.495e-05,-Inf,-0.00658757,-Inf,-Inf,-0.00023287,-0.00733242,-Inf
"Cit_2.2",-0.11409369,-0.00294749,-0.00810562,-0.22871515,-0.00424403,-0.06607361,-0.08497639,-Inf,Inf,-Inf,-Inf,-Inf,-0.00884175,-0.01304477,-0.02701367,Inf,-0.04578221,-0.00566004,Inf,-0.01271297
"Cit_3.2",Inf,Inf,Inf,Inf,Inf,-0.00343664,Inf,-Inf,-0.0099402,-0.00409945,-Inf,-0.0002677,-0.01765384,Inf,Inf,-Inf,Inf,-0.00660898,Inf,Inf
"Cit_3.3",Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,-0.00322599,Inf,-0.00289085,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf
"Cit_4.3",-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-0.00068785,Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,Inf
"Cit_4.4",Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,Inf
"Cit_5.4",-Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,Inf,Inf
"Cit_5.5",-Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf
"Cit_6.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
