"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2069838.71374276,1367451.70188484,1689716.70493352,348691.576483906,546732.842124518,1449648.65372033,637863.47248111,1378153.58983434,1668010.17486679,2098473.02701873,1428103.0020537,1836986.50481771,1608681.44573222,1949669.23628262,556674.836524038,568919.954455642,2369746.99242667,1597449.90382276,1729855.02474319,482984.145703092
"Cit_1.0",10068.2920303219,106453.680406855,9046.84276049818,10932.4566665437,19495.3916164194,4414.20793139385,3927.95028440805,89342.025027554,105631.968763691,68900.6589874058,0,108442.744613489,69064.3280181902,3212.61732113808,14155.197053893,0,10239.2398271985,107514.279198068,1441.39564763148,0
"Cit_1.1",5963.12693355782,145832.225004247,19015.425475009,19614.7977625251,6936.36920898479,30428.1523318826,0,93346.9684317048,90122.812219123,81231.1002929589,0,187630.693878882,61444.6699318941,0,18031.3478286527,7556.04591099055,0,144918.196682408,12853.1926622219,1046.19076769128
"Cit_2.1",0,1892.10845121444,0,127.504630996758,0,0,0,201.978125591958,677.630237610501,2923.56992660794,0,2045.81584756647,3707.71341459544,0,1595.43891556788,0,0,2022.09179071775,1433.91541859537,0
"Cit_2.2",251.47977963695,5200.36799052301,3882.88044622031,43.7994363401851,3457.57565106688,359.083422557708,64.9106488719396,0,0,0,0,0,4169.7883812992,2002.8709986223,517.20806466444,0,636.705510744248,11179.8883031504,0,553.791632056619
"Cit_3.2",0,0,0,0,0,146.193913309204,0,0,187.187064513672,796.791914447757,0,1082.88638057071,128.025419477627,0,0,0,0,461.041423956143,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0,943.654671508884,0,689.843285172958,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,1996.71867563885,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
