"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.64365587,0.08045126,0.46947357,0.06034633,0.14654098,0.49375253,-96.84543009,-1.49030559,-12.86750296,-10.57529337,-1896.9979463,-23.52217725,0.2274409,-298.109474,0.08342248,-3.75633311,-149.51806205,0.39026115,-0.49819403,-5.23502324
"Cit_1.0",-38.06995362,-5.68753861,-23.19323721,-0.64894301,-5.80933558,-27.0900318,-7.72645071,-4.21800612,0.14521954,0.12685182,678.98123399,0.23894558,0.01379204,-32.62026742,-1.21327965,82.85820087,-29.22111139,0.0185735,-1.2145345,412.08366793
"Cit_1.1",-12.53814678,0.53724442,-9.52269558,-1.338067,-2.86705261,-10.24866396,1747.32918849,-21.73308266,-125.59986961,-95.5330036,33854.62561355,-212.50480922,-6.16464352,5378.45826636,-1.699871,-31.0872825,2697.04999972,-10.56714132,-9.59789109,-4.90898747
"Cit_2.1",647.96405491,-52.15467443,378.85580072,-5.94975463,71.81380514,488.81322377,126.94158236,-38.63585023,0.85518814,0.4240194,-64.30175531,2.15500848,-0.37414531,555.67900699,-11.1619283,373.34186364,484.53899037,-0.50239288,-11.16618363,300.04276541
"Cit_2.2",-30.46530018,-16.27518132,-33.41804907,-10.63658523,-15.58082641,-25.16050934,-44.33001633,309.31129288,2617.80180797,2144.81275479,940.96765663,4770.7320892,-39.15863567,-137.92860048,-14.83506349,547.68701431,-88.22526693,-67.21687105,105.37976954,-7.47539389
"Cit_3.2",277.7797509,1154.22685002,288.08703469,131.69538106,244.70978539,-10.4214662,90.50844197,855.96383933,-29.06658047,-25.11825263,135.55891891,-48.52823618,-2.37381957,234.52805642,246.25341504,58.33604109,309.02681786,-3.20026989,246.50191623,53.53415592
"Cit_3.3",784.01186109,23.40718735,863.29993872,261.16995356,359.76355161,737.33760132,228.44556949,1136.16414576,1216.77021296,-68.30925905,506.48430204,-146.97280334,1138.95666187,759.65832232,340.18737164,254.14731237,862.15619063,1952.38127289,702.70329819,197.39828242
"Cit_4.3",13.60525862,72.28220966,14.25788952,8.10331259,11.51803786,15.97928214,4.31687366,47.62372754,64.10052333,100.63891418,6.48273762,0.04134349,69.12461327,10.86245885,20.43158821,3.25295441,14.6660854,92.823721,19.44367051,2.52659612
"Cit_4.4",45.40642194,102.76335112,65.16765606,12.86673488,35.75900957,40.35469473,13.39641695,54.15201116,59.16080211,87.44704917,29.0371909,106.47503918,77.30329754,52.79107882,19.76529125,13.68129624,52.36528144,146.4694627,38.77233491,13.74853016
"Cit_5.4",0.78586786,4.00873098,1.01803532,0.42260685,0.85403958,1.56586507,0.25132273,2.56593867,4.32293933,8.56779878,0.37166105,57.75381803,4.27088034,0.7410113,0.98698861,0.17511353,0.87841305,7.65230106,0.92662009,0.17597409
"Cit_5.5",1.73528088,4.65316587,2.42930943,0.6146281,1.25940263,1.70791091,0.50035386,2.66706222,2.83309318,8.96819763,1.08981813,9.134403,3.1626708,1.90612331,0.84509934,0.56485401,1.94145092,6.06258441,1.54267741,0.50232118
"Cit_6.5",0.02989305,0.17350874,0.03799687,0.01841384,0.03099516,0.05575438,0.00940139,0.10580035,0.16766683,0.38429733,0.01394911,13.06845312,0.18403514,0.0268487,0.04921059,0.00722984,0.03266236,0.29087311,0.04564476,0.00642945
