"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2.9e-07,5e-08,2.6e-07,1.6e-07,2.5e-07,3.1e-07,-0.00013982,-1e-06,-7.1e-06,-4.64e-06,-0.00122329,-1.179e-05,1.3e-07,-0.00014081,1.4e-07,-6.08e-06,-5.811e-05,2.2e-07,-2.7e-07,-9.98e-06
"Cit_1.0",-0.00348469,-4.924e-05,-0.00236267,-5.47e-05,-0.00027462,-0.00565581,-0.00181281,-4.351e-05,1.27e-06,1.7e-06,Inf,2.03e-06,1.8e-07,-0.00935764,-7.899e-05,Inf,-0.00263007,1.6e-07,-0.00077654,-Inf
"Cit_1.1",-0.00193858,3.4e-06,-0.00046172,-6.29e-05,-0.00038109,-0.00031054,-Inf,-0.00021466,-0.00128493,-0.00108432,-Inf,-0.00104422,-9.25e-05,-Inf,-8.692e-05,-0.00379327,-Inf,-6.723e-05,-0.00068848,-0.0043262
"Cit_2.1",Inf,-0.02543248,-Inf,-0.0430541,-Inf,Inf,Inf,-0.17649303,0.00116442,0.00013382,-Inf,0.00097191,-9.311e-05,Inf,-0.00645506,-Inf,Inf,-0.00022924,-0.00718493,Inf
"Cit_2.2",-0.1117987,-0.00288819,-0.00794258,-0.22411353,-0.00415866,-0.06466339,-0.63025503,Inf,Inf,Inf,Inf,-Inf,-0.00866658,-0.06355295,-0.02647028,Inf,-0.12787591,-0.0055485,Inf,-0.01245725
"Cit_3.2",-Inf,Inf,Inf,Inf,Inf,-0.06583393,-Inf,Inf,-0.14340635,-0.02911352,Inf,-0.0413868,-0.01712386,-Inf,Inf,-Inf,-Inf,-0.00641057,Inf,-Inf
"Cit_3.3",-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,Inf,-0.06685211,Inf,-0.19675925,Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,Inf
"Cit_4.3",Inf,-Inf,Inf,Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,1.914e-05,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,Inf,Inf
"Cit_4.4",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf
"Cit_5.4",-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf
"Cit_5.5",Inf,Inf,Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,-Inf,-Inf,Inf
"Cit_6.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
