"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2070000.01259348,1370000.01239449,1690000.01221169,349000.004321664,547000.005720108,1450000.00891835,638000.003678172,1380000.02176367,1670000.01408112,2100000.00135046,1430000.00515763,1840000.00154148,1610000.01274185,1950000.01092523,557000.005701052,569000.003591,2370000.01366487,1600000.02049327,1730000.01059009,483000.0028123
"Cit_1.0",32492.1861329048,121277.285877012,27346.1904527526,14707.0569168339,25413.8114331053,20123.5546287939,10833.8888470082,104258.219700558,123687.129028669,91634.1143474021,14762.5417404691,128349.8902323,86506.1543993457,24330.5420923423,20194.1873550924,6070.96298895579,35896.8980971545,124825.992135064,20167.1494437478,4811.60372329481
"Cit_1.1",117915.624862707,219961.695659763,110481.259233364,38479.2632449277,36584.7110515584,108838.437517571,32749.4939337838,167940.325716411,180508.386345374,194875.58667516,43370.7071438598,287262.418356443,148598.820046497,100094.831594624,48169.4145168297,38351.9469512709,125468.975348292,231610.446439158,106421.937836635,27180.3096538273
"Cit_2.1",1171.22967864,10077.5599919625,1304.79393961529,1140.56031838581,1377.68367814737,929.824977385795,461.895888575865,6886.36496243695,8342.62271684423,8770.50606461004,967.571712150855,11033.7502894198,9051.39573455948,769.169633085723,2892.43211525027,41.1348654200097,1460.2439593447,10349.6763348948,2673.43296237409,0
"Cit_2.2",2959.40122568777,13123.3057426282,6713.49333985301,1310.23289751804,4411.93982564286,3396.31784987525,856.916767322838,5338.02671227939,3232.52570510412,3861.44662643495,767.52829940256,5527.0666880503,8750.02970105691,4426.03142363498,1963.10495693505,444.058852682027,3498.2384403143,19386.9900007356,2473.20282764852,1171.03944002723
"Cit_3.2",0,0,0,0,0,198.722483495886,0,0,437.470169777333,1097.88672088938,0,1527.79138050483,465.546432859759,0,0,0,0,886.082000340433,0,0
"Cit_3.3",0,264.567005313308,0,0,0,0,0,0,0,1098.09341964939,0,1017.85168384995,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2043.14459609584,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
