"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2105705.04094324,1391147.71760143,1718996.4190699,354733.87350902,556206.76698901,1474768.21270801,649033.27306654,1402036.47285426,1696926.14776164,2134846.27628373,1455136.34165637,1868840.25381987,1636557.4910485,1983812.83119101,566321.17674179,578782.84670407,2410991.17475033,1625131.15522541,1759831.51097077,491363.10759231
"Cit_1.0",33398.85253639,124602.1582494,28105.94833033,15111.10439904,26118.16737454,20682.98243742,11135.45784539,107134.96357515,127098.2143316,94134.41223166,15169.95502486,131864.99203178,88858.45722169,25010.58518282,20735.2067879,6242.21370014,36896.84289059,128248.48332208,20709.67895187,4947.66884768
"Cit_1.1",121176.4647624,225804.68779424,113452.49395363,39528.33612196,37513.31314269,111836.06070412,33653.00323079,172507.01803914,185459.18942516,200215.64834837,44571.17344777,295156.99514598,152525.29453801,102825.43480028,49460.75232229,39426.83215551,128929.21764435,237650.00709026,109352.25014401,27924.60274218
"Cit_2.1",1216.51550012,10467.21078222,1355.24404851,1184.66030196,1430.95208243,961.60701692,479.75518208,7152.6275859,8656.01232113,9086.58225054,1004.98305832,11428.96407004,9391.60105486,798.90972562,3004.268557,42.72535326,1516.70457346,10731.25576784,2776.80176017,0
"Cit_2.2",3073.82812902,13622.39569853,6973.07286334,1360.89365835,4582.52866001,3525.55322355,890.04992047,5544.4240866,3352.92384807,3964.6712627,797.20532858,5693.35846332,9083.46833141,4597.16569916,2039.00923025,461.2288274,3633.49965733,20127.29742275,2568.83067084,1216.31815486
"Cit_3.2",0,0,0,0,0,208.49104533,0,0,458.97486319,1151.85535538,0,1537.93582878,488.43127097,0,0,0,0,929.63901596,0,0
"Cit_3.3",0,277.5725104,0,0,0,0,0,0,0,1152.07220412,0,1046.23376227,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2165.23130361,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
