"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.929847338925359,0.787774273351821,0.91979875417633,0.861174131788854,0.888719710889738,0.91487831923033,0.933603527124566,0.827465026360896,0.839251673045052,0.873307950607562,0.959422336474301,0.806322158843188,0.862751541260151,0.937066949437902,0.882724626866162,0.926117980530725,0.933780627071821,0.803399656074468,0.928553836034817,0.935125169606493
"Cit_1.0",0.0147484256105553,0.0705592752164602,0.0150389005889666,0.0366846618917071,0.0417321966140869,0.0128307703176429,0.016017827054511,0.0632297641147744,0.0628591816794946,0.0385078455254324,0.0100020824698764,0.056893929180719,0.0468439216717626,0.0118139132847787,0.0323199598152888,0.009988247542123,0.0142902045648978,0.0634009058664192,0.0109272119029171,0.00941602981350066
"Cit_1.1",0.0535096849315741,0.127867890372737,0.0607060383832615,0.0959614603594413,0.0599396174037315,0.0693779445235331,0.0484082462616348,0.101811562675399,0.0917228691489925,0.0819028140251168,0.0293873351551268,0.12734722779934,0.0804074611882528,0.0485702658022817,0.0770944579353416,0.0630873882709489,0.0499344862646739,0.117484630916406,0.0576983936912503,0.0531439956968469
"Cit_2.1",0.000537194753564028,0.0059273355831693,0.000725162527155733,0.00287595542233771,0.00228640749532518,0.00059653673290424,0.00069010503580185,0.0042213945845984,0.00428101884810332,0.00371707537512246,0.000662620516255486,0.00493109401055534,0.00495101353255228,0.000377370227519676,0.00468275238485864,6.83653949040484e-05,0.00058742203726019,0.00530510240075607,0.00146514590188908,0
"Cit_2.2",0.00135735577894749,0.00771404268356427,0.00373114432428617,0.00330379053765983,0.00732206759711806,0.00218709094739426,0.00128029452348669,0.00327225226433275,0.00165826129369106,0.0016218399299871,0.000525625384440166,0.00245643311558014,0.00478857378721901,0.00217150124751746,0.00317820299834865,0.000738018261299033,0.00140726006134726,0.00995012850203036,0.00135541246912699,0.00231480488315911
"Cit_3.2",0,0,0,0,0,0.000129338248195515,0,0,0.000226995984666705,0.000471192914908296,0,0.000663551491407303,0.000257488560062162,0,0,0,0,0.000459576239920204,0,0
"Cit_3.3",0,0.000157182792248558,0,0,0,0,0,0,0,0.000471281621870866,0,0.000451403732407772,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,0.000934201826803086,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
