"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2068481.16322532,1366555.52091639,1688608.63385933,348463.018819899,546374.348735879,1448697.80372635,637559.902047458,1377251.78876659,1666928.5126739,2097107.2505466,1429412.97765641,1835803.58451914,1607627.03082704,1948743.71903728,556309.959680418,568551.336833488,2368370.56126322,1596402.68555779,1728721.85805415,482676.971653764
"Cit_1.0",32481.0063693583,121177.920448761,27333.5584131112,14695.8305737742,25400.4043978481,20114.5857797119,10829.4402272578,104190.748184355,123605.381494492,91547.4697803146,14753.0639038719,128241.161621134,86416.5052330576,24323.2600802507,20165.3749335826,6070.66912649862,35882.867162358,124724.039519211,20140.5486374162,4811.70013789761
"Cit_1.1",117845.779368501,219598.165950374,110334.111475203,38441.850788156,36482.2132141179,108762.107897947,32728.0087069654,167765.448738082,180361.613632748,194712.472984312,43346.0794769025,287044.239137067,148332.947684897,99999.1502203314,48101.2622129346,38343.1367840897,125385.438224007,231117.90195724,106346.567951029,27157.0604090529
"Cit_2.1",1171.27075185415,10077.9133858116,1304.83969623699,1140.6003149418,1377.73199050051,925.842846708498,461.912086418411,6886.60645050838,8334.07717240645,8748.63330826834,967.605642676181,11003.8970633003,9042.3078271958,769.196606946829,2892.53354452291,41.1363082764979,1460.29516756826,10332.1379877998,2673.52671220664,0
"Cit_2.2",2959.49308654753,13115.6929404728,6713.70033223891,1310.27344547636,4412.07553544294,3394.4156775864,856.943353938577,5338.19200828633,3228.20747666433,3817.2001490972,767.552237620898,5481.58657680198,8745.5968910181,4426.16813084962,1963.16562509153,444.072820181366,3498.34690310721,19378.6363691406,2473.27966683877,1171.07561622128
"Cit_3.2",0,0,0,0,0,198.732571852165,0,0,437.492434425046,1097.94248867637,0,1465.95237274232,465.57012796042,0,0,0,0,886.127038422322,0,0
"Cit_3.3",0,264.579669674888,0,0,0,0,0,0,0,1098.14506763812,0,997.26079799908,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2043.28153711464,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
