"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",0.0125934,0.01239449,0.01221161,0.00432163,0.00572008,0.00891828,0.00367815,0.02176355,0.014081,0.00135046,0.0051576,0.00154148,0.01274174,0.01092516,0.00570102,0.00359097,0.01366478,0.0204931,0.01059002,0.00281228
"Cit_1.0",-1.43995002,-4.96905822,-1.26272222,-0.61240385,-1.07429512,0.0001264,-0.4751345,-4.19766122,0.00074726,0.00090721,-0.6878794,0.00036161,0.00078508,-1.13465433,-0.86081805,-0.28012249,-1.60133261,0.00098114,-0.95351423,-0.24236298
"Cit_1.1",-4.59469925,0.00445792,-4.3306472,-1.48874549,-1.45324418,-4.22835887,-1.27905229,-6.48730466,-6.95986537,0.00159501,-1.71507101,0.00095342,-5.79516326,-3.92596494,-1.87161295,-1.48538228,-4.89922375,-9.04692418,-4.13938172,-1.07491076
"Cit_2.1",-0.40260334,-1.60790776,-0.36416077,-0.19476558,-0.31565614,-0.04639057,-0.13524763,-1.29235231,-0.34006547,-0.37558345,-0.20685867,0.00048813,-0.36338567,-0.31195151,-0.32232892,-0.07238541,-0.45329541,-0.42463745,-0.34087761,5.50343021
"Cit_2.2",-1.85193297,-2.21673268,-1.84387216,-0.63526243,-0.90873147,-1.26764938,-0.54553429,-3.23544321,-1.94096778,-0.32879828,-0.77821246,-0.37512424,-1.86357885,-1.63784427,-0.84918267,-0.51169022,-2.0216491,-3.05564533,-1.53991279,-0.41557417
"Cit_3.2",233.62255593,806.2108988,204.86910907,99.36000365,174.29832345,-0.02085482,77.08764252,681.05068733,-0.10925113,-0.14058369,111.60487862,-0.08799934,-0.11347711,184.08994682,139.66717546,45.44769366,259.80617414,-0.14810754,154.70607044,37.97873896
"Cit_3.3",745.57867441,-0.30822808,702.73171614,241.58829869,235.87263259,686.02928438,207.55708128,1052.85386863,1129.19303587,-0.25746002,278.31747675,-0.1519237,940.24292531,637.06150696,303.72704606,241.01586474,795.0003718,1467.83759259,671.66680957,172.6279623
"Cit_4.3",8.922398,66.23690207,9.62582126,7.61213659,9.13592771,7.52705726,3.33365341,45.26035361,55.17430863,60.93817052,6.61875509,-0.09997253,58.95771635,6.17238971,18.57462772,0.77317599,10.82569095,68.89650413,17.95402977,0.37528587
"Cit_4.4",45.27670195,100.1674946,63.55891581,12.76276105,34.38295021,40.05394308,13.58992223,51.54270923,42.32028168,53.37758148,23.14509104,60.86466855,75.36248647,52.67783317,19.48954858,10.20837318,52.45133396,141.3881594,37.89298414,13.52505649
"Cit_5.4",0.50945373,1.80393821,0.481438,0.21942499,0.39957612,1.56604042,0.16736554,1.47008745,4.40525006,8.09605407,0.23954346,14.28204819,4.17770276,0.41799228,0.31424043,0.09744463,0.56879295,7.3959737,0.34891137,0.0877886
"Cit_5.5",1.51406749,4.50752786,1.44549932,0.49643463,0.49359849,1.40205014,0.42075079,2.1640619,2.30891876,9.2659042,0.55470092,9.95296075,1.94230781,1.29830415,0.6236543,0.48891093,1.61343786,3.06656803,1.36513621,0.35233838
"Cit_6.5",0.01784184,0.13661441,0.01939795,0.01543456,0.01843305,0.01591735,0.00668642,0.0915363,0.11325827,0.13698674,0.01335855,12.76767215,0.12170204,0.01232013,0.03788139,0.00149102,0.02170049,0.14324992,0.03657781,0.00069895
