"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,1e-08,0,0,0,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
"Cit_1.0",-4.311e-05,-3.988e-05,-4.493e-05,-4.053e-05,-4.113e-05,1e-08,-4.267e-05,-3.918e-05,1e-08,1e-08,-4.534e-05,0,1e-08,-4.537e-05,-4.151e-05,-4.488e-05,-4.34e-05,1e-08,-4.604e-05,-4.899e-05
"Cit_1.1",-3.792e-05,2e-08,-3.817e-05,-3.766e-05,-3.874e-05,-3.781e-05,-3.801e-05,-3.761e-05,-3.753e-05,1e-08,-3.848e-05,0,-3.799e-05,-3.818e-05,-3.784e-05,-3.767e-05,-3.8e-05,-3.807e-05,-3.785e-05,-3.849e-05
"Cit_2.1",-0.00033095,-0.00015361,-0.0002687,-0.00016441,-0.00022059,-4.824e-05,-0.00028191,-0.00018068,-3.929e-05,-4.133e-05,-0.00020583,4e-08,-3.869e-05,-0.00039047,-0.00010729,-0.0016942,-0.00029887,-3.957e-05,-0.00012276,Inf
"Cit_2.2",-0.00060248,-0.00016273,-0.00026443,-0.0004668,-0.0001983,-0.00035956,-0.00061293,-0.00058355,-0.00057889,-8.293e-05,-0.00097618,-6.589e-05,-0.00020516,-0.00035627,-0.00041647,-0.00110941,-0.00055639,-0.00015182,-0.00059946,-0.00034167
"Cit_3.2",Inf,-Inf,Inf,Inf,Inf,-0.00010003,Inf,Inf,-0.00023803,-0.00012205,Inf,-5.722e-05,-0.00023233,Inf,Inf,Inf,Inf,-0.00015932,Inf,Inf
"Cit_3.3",-Inf,-0.00111044,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-0.00022348,-Inf,-0.00014521,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cit_4.3",-Inf,Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf,-4.617e-05,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,Inf
"Cit_4.4",Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Cit_5.4",Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf
"Cit_5.5",-Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf
"Cit_6.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,Inf
