"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",90388.04140263,136785.77694103,123654.34235469,91154.0417535,92248.32796903,511031.66265169,145540.06666526,385188.74786594,1105229.07768353,537294.53182437
"Ser_1",2498.21590933,17565.77286544,17225.274679,9751.03982653,8898.12178792,37354.86916991,1475.22499732,17038.28990223,80536.76630288,14159.18813741
"Asn_0",112591.29378043,322470.97860893,315912.32317651,190203.04909441,194575.2080877,693039.59082553,173806.35348637,543281.82435377,1694339.39745383,631824.66812676
"Asn_1",515.93298758,3261.4474432,3837.05677173,2066.36201845,2164.24861674,6191.93462349,1641.00635764,5531.43915876,27923.7076535,3867.19366248
"Asn_2",0,0,0,0,0,378.60248611,0,100.43552641,0,0
"Gly_0",329307.98656234,345503.46131131,318511.00339636,234294.53470173,241852.42291791,551725.83978149,435118.42158893,418922.94683996,1284840.99675142,1284840.99675142
"Gly_1",4282.82086709,34227.54923228,28388.53722124,17769.74133606,20678.32313088,30744.08649876,9073.7500996,15596.10014268,67396.06948156,30821.4185706
"Arg_0",46677.7746162,116374.18625623,107439.11653869,104602.67079356,111125.7135483,95886.34730093,45865.30775273,85112.763917,115233.00581642,54357.788486
"Arg_1",0,1850.08204773,0,0,829.28042853,0,1509.08110861,847.85667842,761.51486827,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",37300.10871278,10113.08693056,8972.79382915,9765.54476385,10018.88757558,48871.47074297,39199.54125906,42891.33392239,75357.70655562,94950.38517109
"Arg_4",4822.59478029,10409.44110433,9980.57785068,8507.0342052,7880.9183384,21028.93953769,5176.534465,16318.940582,38110.49906363,15181.68103141
"Ala_0",35120.71087888,161598.36293961,121737.43341451,99329.12708688,96097.15982809,184222.13375116,55482.10460927,101483.77192608,460016.6731681,267175.96006016
"Ala_1",6165.58541433,95110.7822907,72137.71336214,52356.99799595,58252.08328343,32753.70307202,6405.16267578,22730.75365577,113452.10448842,33874.06558455
"Asp_0",4252403.1057756,1933938.64650965,1538103.25102522,1277982.84827831,1266673.26555018,8357781.63608555,5598243.45042266,6887535.8814291,22619165.4562532,27482286.0293476
"Asp_1",883326.63352959,2098646.21118431,1514972.11028735,1183189.52639021,1143024.24881285,4030395.9453155,1073327.7872063,3211303.18552135,12883906.2501265,6720991.99296095
"Glu_0",7581095.9714515,5637225.20954086,4505206.35407525,3636181.77816226,3784830.71877895,16351383.4678366,9364883.25885185,13721440.6723104,38877415.2382128,40020868.627572
"Glu_1",1015486.41419415,5669342.90413186,4068960.09138657,3164550.50985047,3316703.83653756,7702649.27215066,1508409.12180215,6051800.90098913,19252474.6166408,6804519.61194609
"Orn_0",80666.6785856,174042.14120262,157573.68579179,100186.60372439,96070.95685778,288101.26560154,89015.77205566,162274.07645501,575044.74088985,470378.83888277
"Orn_1",1096.17794318,14048.75666196,6561.55697643,6213.38058329,8010.44934524,4269.41861666,1681.98329517,13062.16003408,46838.35962595,15269.91274583
"Orn_2",2382.23383867,0,0,139.95088551,4815.59328087,0,0,7381.56514524,0,0
"Pro_0",166228.10439702,591281.17671423,498684.31319106,339149.95796439,350306.20658164,594628.0512994,200812.47511049,546656.18224523,2621718.42505365,1416843.5743907
"Pro_1",17935.00040203,507955.79221796,367475.76522847,270597.62676768,285005.27290979,225283.78673182,25585.10868018,188006.63816235,1073836.56994911,212510.38799755
