"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.973104569162048,0.886196329823287,0.877730540147048,0.903364234250222,0.912027344416915,0.931882227220594,0.989965499638596,0.957640117887723,0.932080379350341,0.974323886801614
"Ser_1",0.0268954308379516,0.113803670176713,0.122269459852952,0.0966357657497778,0.0879726555830853,0.0681177727794055,0.0100345003614035,0.0423598821122768,0.0679196206496593,0.0256761131983865
"Asn_0",0.995438549752102,0.989987341810797,0.987999799179122,0.989252778138291,0.988999417539353,0.990608287605852,0.99064673096763,0.989739963322048,0.983786619146231,0.993916559429288
"Asn_1",0.00456145024789805,0.0100126581892036,0.0120002008208777,0.0107472218617088,0.0110005824606466,0.00885055029401195,0.00935326903236969,0.0100770652443994,0.016213380853769,0.00608344057071183
"Asn_2",0,0,0,0,0,0.000541162100136299,0,0.000182971433552937,0,0
"Gly_0",0.987161454177672,0.909863697507131,0.91816496161771,0.92950313461557,0.921234661303111,0.947217727282339,0.979572467328482,0.964107211752899,0.95015957544389,0.976573459717586
"Gly_1",0.0128385458223276,0.0901363024928694,0.0818350383822898,0.0704968653844305,0.0787653386968894,0.0527822727176609,0.020427532671518,0.0358927882471009,0.0498404245561097,0.0234265402824145
"Arg_0",0.525647784900014,0.838752240246462,0.850043527530991,0.851291622972471,0.855769010015351,0.578371570200597,0.499891831174754,0.586293580806828,0.502186161877052,0.330462864040698
"Arg_1",0,0.0133342325484164,0,0,0.00638621313364859,0,0.0164476672181357,0.00584040401374579,0.00331868657073881,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.420044007723492,0.0728887959752356,0.0709915118819161,0.0794752790551119,0.0771545417189392,0.294785129137461,0.427240793125071,0.295454084600778,0.328409357674079,0.577241589463987
"Arg_4",0.0543082073764934,0.0750247312298864,0.0789649605870926,0.0692330979724171,0.0606902351320611,0.126843300661941,0.05641970848204,0.112411930578648,0.16608579387813,0.0922955464953146
"Ala_0",0.850662666117038,0.629499828666524,0.627916653776955,0.654833308139688,0.622595601318616,0.849044467109432,0.896502738660634,0.817004061728741,0.802165158926277,0.887480276701497
"Ala_1",0.149337333882962,0.370500171333476,0.372083346223045,0.345166691860312,0.377404398681384,0.150955532890568,0.103497261339366,0.182995938271259,0.197834841073723,0.112519723298503
"Asp_0",0.828003676523466,0.479577917082091,0.503788170614944,0.519257757575974,0.525656543196878,0.674657880964951,0.839119189621701,0.68201263885562,0.637104463617119,0.803498600672798
"Asp_1",0.171996323476534,0.520422082917909,0.496211829385056,0.480742242424026,0.474343456803122,0.325342119035049,0.160880810378299,0.31798736114438,0.362895536382881,0.196501399327201
"Glu_0",0.881873241174332,0.498579688625757,0.52543957278317,0.534675035594557,0.532959558148663,0.679777218422679,0.861273929827736,0.693939869264477,0.668802492750065,0.854683113845419
"Glu_1",0.118126758825668,0.501420311374243,0.47456042721683,0.465324964405443,0.467040441851337,0.320222781577321,0.138726070172264,0.306060130735523,0.331197507249935,0.145316886154581
"Orn_0",0.958661738116149,0.925308684144436,0.960023472925338,0.940366666665608,0.882218585572622,0.985397241080868,0.98145507252452,0.888113117624775,0.924683015847992,0.968557702053958
"Orn_1",0.0130272359135054,0.0746913158555641,0.0399765270746622,0.0583197330843426,0.0735598720185587,0.0146027589191318,0.0185449274754803,0.0714881632618428,0.0753169841520078,0.0314422979460424
"Orn_2",0.0283110259703461,0,0,0.0013136002500492,0.0442215424088192,0,0,0.0403987191133823,0,0
"Pro_0",0.902613498932917,0.537901465676329,0.575741512008961,0.556213696382932,0.551392848846462,0.725234133376128,0.886990363360784,0.744091258003166,0.709424816732214,0.869573835456809
"Pro_1",0.097386501067083,0.462098534323671,0.424258487991039,0.443786303617068,0.448607151153538,0.274765866623872,0.113009636639216,0.255908741996834,0.290575183267786,0.130426164543191
