"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",82599.9999999974,125000,112999.999999999,83299.9999999976,84299.9999999992,467000,133000.000000003,351999.999999998,1010000,491000.000000002
"Ser_1",2291.39622257425,16111.5560269013,15799.2466483211,8943.78093632197,8161.47338454574,34262.3733165013,1353.0956126257,15627.7417717532,73869.372697357,12986.9920736678
"Asn_0",102999.714881748,294999.886217945,288999.958365048,173999.775369563,177999.47298921,634000.000000002,158999.903568424,497000.000000004,1549999.7290287,577999.936648945
"Asn_1",473.724298214807,2994.62708992769,3523.14558315835,1897.31209403658,1987.19054956444,5685.36991182394,1506.75495433117,5078.90985201866,25639.25767522,3550.81696251303
"Asn_2",0,0,0,0,0,348.912860734685,0,92.5594736557688,0,0
"Gly_0",305000.000000002,320000.000000004,295000,217000.000000001,223999.999999996,510999.999999999,403000.000000004,388000.000000002,1190000,1190000
"Gly_1",3981.33422614433,31818.1211552999,26390.1429400409,16518.8509084334,19222.6848087117,28579.8747198648,8435.00882995461,14498.2219007951,62651.7630462683,28651.7630462623
"Arg_0",40913.5137402758,102003.081928315,94171.4082749612,91685.2365814493,97402.7456437138,84045.2960763028,40201.3788012087,74602.1476949862,101002.826410819,47645.1189971922
"Arg_1",0,1627.60410743265,0,0,729.556958484639,0,1327.60955863353,745.89935835753,669.940411014769,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",33057.5138837756,8962.80260706779,7952.20890285912,8654.79063611939,8879.31768993062,43312.7242348419,34740.9008747747,38012.7810766208,66786.3584498982,84150.5235342036
"Arg_4",4289.84909130614,9259.5238656418,8878.03657036164,7567.27334920164,7010.32367695843,18705.9003040406,4604.6895255545,14516.2087249972,33900.4824634064,13504.5807380021
"Ala_0",32600.000000004,149999.999999998,113000.000000002,92199.9999999984,89200.0000000005,171000.000000002,51500.0000000029,94200.0000000032,427000.000000003,248000.000000001
"Ala_1",5744.20290649332,88610.5041709913,67207.5131421426,48778.6965637686,54270.8864803442,30515.1747549282,5967.40643204213,21177.2366193789,105698.301873413,31558.9668960351
"Asp_0",3760000,1710000,1360000,1130000,1120000,7390000,4950000,6090000.00000001,2e+07,24300000
"Asp_1",783927.491756837,1862489.36460218,1344495.05020992,1050047.35789501,1014401.80605523,3576862.80959654,952548.16069051,2849941.0704253,11434103.6795576,5964690.97066252
"Glu_0",6630000,4930000,3940000,3180000,3310000,14300000,8190000,1.2e+07,3.4e+07,3.5e+07
"Glu_1",891367.515808866,4976401.48611429,3571627.1511745,2777759.9849581,2911316.21075827,6761184.83801913,1324042.22541096,5312113.15078529,16899320.5938916,5972830.02312374
"Orn_0",68599.9999999966,148007.716393451,134002.726216695,85199.9999999962,81699.9999999982,245005.089670231,75700.1784390817,138000.000000004,489025.579293948,400016.325366799
"Orn_1",935.647261981106,11991.3749284803,5600.64436392481,5303.45694927674,6837.35249714054,3644.18009300625,1435.66386699805,11149.2612558791,39979.0774959155,13033.6978044633
"Orn_2",2040.8760671769,0,0,119.896883413022,4125.55178952226,0,0,6323.83748340936,0,0
"Pro_0",149000.000000001,530000.000000002,447000.000000003,304000.000000003,314000.000000003,532999.999999998,179999.999999998,490000.000000001,2350000,1270000
"Pro_1",16135.5717330791,456992.302137793,330606.715199236,243448.414811113,256410.533719375,202680.937810268,23018.1403486862,169143.826504754,966097.943441157,191189.101349049
