"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.973007909817308,0.88582397869789,0.877334324078306,0.903041908673536,0.911731090952851,0.931647825289955,0.989928809556223,0.957490308820448,0.931846609417957,0.974231493514877
"Ser_1",0.0269920901826915,0.11417602130211,0.122665675921694,0.0969580913264636,0.0882689090471485,0.0683521747100449,0.0100711904437765,0.0425096911795518,0.0681533905820429,0.0257685064851225
"Asn_0",0.995421778748545,0.989950730781295,0.987956009164383,0.989213510460034,0.988959234476079,0.990571938199281,0.990612508115247,0.989701785860876,0.98372770800191,0.993894226874504
"Asn_1",0.00457822125145466,0.0100492692187047,0.0120439908356167,0.0107864895399658,0.0110407655239208,0.00888291465762664,0.00938749188475291,0.010113895675592,0.0162722919980895,0.00610577312549641
"Asn_2",0,0,0,0,0,0.000545147143092447,0,0.000184318463532105,0,0
"Gly_0",0.98711464485026,0.909560880346881,0.917887516092974,0.929261167378257,0.920966727162682,0.947033097306117,0.979498563202139,0.963979413791377,0.949984692558203,0.976488965990874
"Gly_1",0.0128853551497397,0.0904391196531187,0.082112483907026,0.0707388326217428,0.0790332728373184,0.0529669026938834,0.0205014367978606,0.0360205862086228,0.050015307441797,0.0235110340091262
"Arg_0",0.522783738918263,0.837099385796765,0.848378425861998,0.849666668519029,0.854245614950405,0.575400795229409,0.497083007015386,0.583389711943357,0.499125430916125,0.32790809212216
"Arg_1",0,0.0133571101274142,0,0,0.00639839081047794,0,0.0164156596422032,0.00583294215054052,0.00331064296137415,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.422401527700859,0.0735542143978238,0.0716404543025952,0.0802057932193755,0.077873761671156,0.296532669069948,0.429565153937886,0.297260415251371,0.330037991264109,0.579149306454829
"Arg_4",0.0548147333808786,0.0759892896779972,0.0799811198354065,0.0701275382615952,0.0614822325679608,0.128066535700643,0.0569361794045249,0.113516930654731,0.167525934858391,0.0929426014230106
"Ala_0",0.850193706712313,0.628639550136935,0.627054877067581,0.653999520830403,0.621728924859057,0.848571330709765,0.896160157512962,0.816452211546369,0.80157942778926,0.887111591352491
"Ala_1",0.149806293287687,0.371360449863065,0.372945122932419,0.346000479169597,0.378271075140943,0.151428669290235,0.103839842487038,0.183547788453631,0.198420572210741,0.112888408647509
"Asp_0",0.827477992732286,0.478657828052183,0.50286651472867,0.518337363593375,0.524737187170006,0.673848130345297,0.838620857507908,0.681212544022987,0.636251639425828,0.802915847498841
"Asp_1",0.172522007267714,0.521342171947817,0.49713348527133,0.481662636406624,0.475262812829994,0.326151869654703,0.161379142492092,0.318787455977013,0.363748360574172,0.19708415250116
"Glu_0",0.881488637015099,0.497658004968841,0.52452017661499,0.533757655230948,0.532041755774469,0.678974146515537,0.860832841179264,0.693156282857109,0.667985340536752,0.854224616172403
"Glu_1",0.118511362984901,0.502341995031159,0.47547982338501,0.466242344769052,0.467958244225531,0.321025853484463,0.139167158820736,0.306843717142891,0.332014659463248,0.145775383827597
"Orn_0",0.958414809902542,0.925053481057885,0.959881739669813,0.940155008578664,0.881690473970597,0.985344094931482,0.981387850004914,0.887613362819838,0.924425849597395,0.96844523163467
"Orn_1",0.0130719853167274,0.0749465189421148,0.0401182603301867,0.058521967296292,0.0737873753232316,0.0146559050685177,0.0186121499950859,0.0717118353354164,0.0755741504026049,0.0315547683653297
"Orn_2",0.0285132047807303,0,0,0.00132302412504378,0.0445221507061714,0,0,0.0406748018447461,0,0
"Pro_0",0.902288940149369,0.536984937827821,0.574840714802048,0.555303461979867,0.550480717725455,0.72449885895706,0.886620277827624,0.743388590314691,0.708664231298722,0.869155127715822
"Pro_1",0.0977110598506307,0.463015062172179,0.425159285197952,0.444696538020133,0.449519282274545,0.27550114104294,0.113379722172376,0.256611409685309,0.291335768701278,0.130844872284177
