"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-2.53e-06,-3.5e-07,-1.3e-07,-1.18e-06,-2.71e-06,0,-5.5e-07,0,-1.6e-07,-1e-07
"Asn_1",-0.12561032,-0.0079297,-0.00246634,-0.02470904,-0.05534851,0,-0.0133568,0,-0.00220569,-0.0037235
"Asn_2",-Inf,Inf,Inf,Inf,Inf,0,Inf,0,Inf,Inf
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-0.00185284,2.648e-05,-0.00026612,-0.00109714,2.471e-05,-0.00057051,3.006e-05,2.523e-05,2.453e-05,-0.00100963
"Arg_1",-Inf,-0.1046004,Inf,Inf,-0.20789525,Inf,-0.0573708,-0.1590567,-0.23305515,Inf
"Arg_2",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_3",0,0,0,0,0,0,0,0,0,0
"Arg_4",0,0,0,0,0,0,0,0,0,0
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,4.434e-05,1.73e-05,0,0,1.767e-05,2e-06,0,4.448e-05,3.471e-05
"Orn_1",0,-0.05205396,-0.03937592,0,0,-0.11297912,-0.01005416,0,-0.05175641,-0.10132198
"Orn_2",0,Inf,Inf,0,0,Inf,Inf,0,Inf,-Inf
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
