"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",90362.71274754,136607.6828857,123479.70050743,91055.17891156,92158.11260497,510652.9329375,145525.10980544,385016.00180075,1104412.539782,537150.97610069
"Ser_1",2523.54456443,17743.86692077,17399.91652626,9849.90266848,8988.33715198,37733.5988841,1490.18185713,17211.03596742,81353.3042044,14302.74386108
"Asn_0",112586.06289101,322437.91177987,315873.4204189,190182.09887444,194553.26542408,692976.85159195,173789.71581917,543225.75309015,1694056.28743111,631785.45982027
"Asn_1",521.1638869,3294.51427917,3875.95953442,2087.31224783,2186.19129983,6246.95786571,1657.64402961,5585.46352612,28206.81771219,3906.40197481
"Asn_2",0,0,0,0,0,386.31855304,0,102.48248877,0,0
"Gly_0",329264.56433763,345156.43854758,318223.18060841,234114.3726718,241642.77165736,551414.13479225,435026.42558256,418764.8227003,1284157.68839833,1284528.5077157
"Gly_1",4326.24309179,34574.57199601,28676.36000919,17949.90336599,20887.97439143,31055.791488,9165.74610596,15754.22428234,68079.37783464,31133.90760632
"Arg_0",46661.25540808,116356.34728345,107435.28240854,104598.46896062,111118.22496144,95864.86086946,45853.79313669,85108.27930161,115232.50415997,54315.72532092
"Arg_1",0,1830.05214966,0,0,798.96674732,0,1367.92327142,686.34137006,470.86237023,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",38051.86452211,9887.68649338,8745.55519407,9621.37572581,9902.55548392,49228.58469358,39983.59142141,43293.29425969,75687.34387995,96770.2576148
"Arg_4",5029.87390457,10847.17956633,10399.06571645,8864.85461378,8213.71112083,21908.12702812,5399.22489749,17002.86040877,39698.41339916,15825.22202173
"Ala_0",35058.19987419,160634.06350038,121006.05096903,98798.29532847,95506.55958391,183890.05386763,55417.16460323,101253.31169354,458866.41661355,266832.52116016
"Ala_1",6228.09641902,96075.08172993,72869.09580762,52887.82975436,58842.68352761,33085.78295555,6470.10268182,22961.21388831,114602.36104297,34217.50448455
"Asp_0",4243447.32435041,1912661.10766643,1522743.40725963,1265986.84772686,1255084.48859328,8316918.67127377,5587361.30479846,6854977.45023515,22488539.4297088,27414143.9254365
"Asp_1",892282.41495478,2119923.75002753,1530331.95405294,1195185.52694165,1154613.02576975,4071258.91012728,1084209.9328305,3243861.6167153,13014532.2766709,6789134.09687206
"Glu_0",7570800.26200432,5579745.4574915,4463952.39905673,3604097.35819865,3751203.66228068,16273288.6378407,9349589.95524042,13660083.2943703,38682220.2242555,39951879.6624091
"Glu_1",1025782.12364133,5726822.65618121,4110214.04640509,3196634.92981408,3350330.89303583,7780744.10214651,1523702.42541357,6113158.27892924,19447669.6305982,6873508.57710897
"Orn_0",80655.80964657,173899.70511026,157507.16015126,100123.62252495,95990.23634616,288057.9792582,88998.71893603,162142.40194188,574569.86093582,470224.02185842
"Orn_1",1058.49650881,14191.19275432,6628.08261696,6273.50955739,7993.02716063,4312.70496001,1699.0364148,13043.39686206,47313.23957998,15424.72977019
"Orn_2",2430.78421447,0,0,142.803111,4913.73598193,0,0,7532.00283779,0,0
"Pro_0",166046.26685543,586131.16665443,494958.58761286,336406.4505148,347416.62436785,592343.96716107,200553.07543615,544750.03983544,2610831.12103519,1414688.99587665
"Pro_1",18116.83794362,513105.80227776,371201.49080666,273341.13421727,287894.85512357,227567.87087015,25844.50835453,189912.78057214,1084723.87396758,214664.9665116
