"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.972978706888252,0.885607977000464,0.877092578475179,0.902873999054451,0.911585357111573,0.931547622937798,0.989919495050862,0.9574381933438,0.931746824329089,0.974203907057017
"Ser_1",0.0270212931117482,0.114392022999536,0.122907421524821,0.0971260009455487,0.0884146428884273,0.0684523770622023,0.0100805049491384,0.0425618066562005,0.0682531756709113,0.0257960929429827
"Asn_0",0.995417637495521,0.989941132373851,0.987944283336351,0.98920313433158,0.988948587726415,0.990573533938538,0.990603599243999,0.989695490335791,0.983711229162122,0.993888617728807
"Asn_1",0.00458236250447864,0.0100588676261496,0.0120557166636494,0.0107968656684195,0.0110514122735848,0.00888036871947237,0.00939640075600063,0.0101198689767395,0.0162887708378786,0.00611138227119293
"Asn_2",0,0,0,0,0,0.000546097341990117,0,0.000184640687469032,0,0
"Gly_0",0.987103859415734,0.909419240835183,0.917765349177717,0.929163489534406,0.920851430622554,0.946968810655761,0.979479935925651,0.963941433004764,0.949925376150207,0.976466939394023
"Gly_1",0.0128961405842658,0.0905807591648171,0.0822346508222827,0.0708365104655945,0.0791485693774462,0.0530311893442385,0.0205200640743491,0.0360585669952359,0.0500746238497927,0.0235330606059773
"Arg_0",0.523991771679439,0.839912342112916,0.851114871075343,0.852112589897205,0.85669462870626,0.578247486436874,0.499134673215901,0.586692811581553,0.50299703069793,0.32901689680808
"Arg_1",0,0.0131425923595402,0,0,0.00612834408534138,0,0.0148141895975031,0.00470709347128719,0.00204483417171618,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.420695444182031,0.070268776340495,0.0682106916206089,0.0771671832717923,0.0751643406683931,0.29234486943663,0.428497302699304,0.293821390212559,0.32526512846838,0.577109647949101
"Arg_4",0.05531278413853,0.0766762891870488,0.0806744373040482,0.0707202268310029,0.0620126865400058,0.129407644126497,0.057553834487292,0.114778704734601,0.169693006661974,0.093873455242819
"Ala_0",0.849875566639343,0.627074231027676,0.625477287826632,0.652624079151514,0.620109747335565,0.848247430924779,0.895984579411515,0.816004056619933,0.801067138231534,0.886911098506989
"Ala_1",0.150124433360657,0.372925768972324,0.374522712173368,0.347375920848486,0.379890252664435,0.151752569075222,0.104015420588485,0.183995943380067,0.198932861768466,0.113088901493011
"Asp_0",0.827010137598839,0.475607076325429,0.500066072573978,0.515691318949911,0.522153743601244,0.672513411832128,0.838199354646362,0.679929086170607,0.634639968574474,0.802337935746474
"Asp_1",0.172989862401161,0.524392923674571,0.499933927426022,0.484308681050089,0.477846256398755,0.327486588167872,0.161800645353638,0.320070913829393,0.365360031425526,0.197662064253526
"Glu_0",0.881212995469992,0.494776748729985,0.521906815706832,0.531233435272807,0.529501092976259,0.677650868863373,0.860483702211558,0.691930125225279,0.666584346414957,0.853850366386937
"Glu_1",0.118787004530008,0.505223251270015,0.478093184293168,0.468766564727193,0.470498907023741,0.322349131136627,0.139516297788442,0.308069874774721,0.333415653585043,0.146149633613063
"Orn_0",0.958861107857758,0.924889808144456,0.959806118292748,0.940056233299633,0.882179412020362,0.985319670094411,0.981356200380188,0.888056786367496,0.924260398824764,0.968388070308224
"Orn_1",0.0125227094026532,0.0751101918555441,0.0401938817072522,0.058616065974781,0.0731021196830068,0.0146803299055889,0.0186437996198117,0.0710924805323316,0.0757396011752365,0.0316119296917764
"Orn_2",0.0286161827395885,0,0,0.00132770072558597,0.0447184682966315,0,0,0.0408507331001724,0,0
"Pro_0",0.902099899361877,0.5345484930782,0.572750510043734,0.553037846657045,0.548170725046955,0.723520452875575,0.886384792633539,0.742521409729945,0.707587568308312,0.86886261243583
"Pro_1",0.0979001006381229,0.4654515069218,0.427249489956266,0.446962153342955,0.451829274953045,0.276479547124425,0.113615207366461,0.257478590270055,0.292412431691688,0.13113738756417
