"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-0.28511905,-0.11378236,-0.04163506,-0.22463107,-0.52701227,0,-0.09643184,0,-0.27097196,-0.06335121
"Asn_1",-64.80649635,-25.86230606,-9.46349343,-51.05780283,-119.7879222,0,-21.91859679,0,-61.59091393,-14.39949453
"Asn_2",793.60689903,316.70443048,115.88797568,625.24325269,1466.89802469,0,268.41058549,0,754.22954436,176.33322034
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-100.93177912,3.55449057,-31.94462579,-118.43783809,3.21948816,-73.49335617,3.35583019,4.29332346,6.59618018,-91.66400397
"Arg_1",633.93636622,-224.59951955,91.96710219,778.24837661,-203.4315408,322.19417327,-212.0466585,-271.28455329,-416.7964076,386.53923136
"Arg_2",1548.4525399,1838.40136137,1507.06000123,1495.48074782,1665.13633829,2432.09801209,1735.65315923,2220.52964806,3411.57935106,3176.73538942
"Arg_3",-47.1167109,-55.64035748,-45.69657533,-45.55565954,-50.39638409,-73.79844004,-52.53061942,-67.2057071,-103.25356512,-96.38287233
"Arg_4",0.95139181,1.12150462,0.9216423,0.9202102,1.01580544,1.48877814,1.05882376,1.35461946,2.08121147,1.94431646
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,1e-08,1e-08
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,7.71639345,2.72621669,0,0,5.08967023,0.17843908,0,25.57929395,16.3253668
"Orn_1",0,-731.29340549,-258.36737094,0,0,-482.35517055,-16.91092138,0,-2424.18548299,-1547.17785726
"Orn_2",0,4913.0216156,1735.78001481,0,0,3240.58901876,113.6120217,0,16286.31625664,10394.34814929
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
