"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-2.53e-06,-3.5e-07,-1.3e-07,-1.18e-06,-2.71e-06,0,-5.5e-07,0,-1.6e-07,-1e-07
"Asn_1",-0.12434955,-0.00785011,-0.00244159,-0.02446103,-0.05479297,0,-0.01322274,0,-0.00218355,-0.00368613
"Asn_2",Inf,Inf,Inf,Inf,Inf,0,Inf,0,Inf,Inf
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-0.00216307,3.055e-05,-0.00029734,-0.00113231,2.897e-05,-0.00076663,7.319e-05,5.045e-05,5.724e-05,-0.00168761
"Arg_1",Inf,-0.12272848,Inf,Inf,-0.25461828,Inf,-0.15501356,-0.39526184,-0.88517672,Inf
"Arg_2",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf
"Arg_3",-0.00123822,-0.00562724,-0.00522512,-0.00473484,-0.00508923,-0.0014991,-0.0013138,-0.00155234,-0.00136421,-0.000996
"Arg_4",0.00018915,0.00010339,8.863e-05,0.0001038,0.00012367,6.796e-05,0.00019611,7.967e-05,5.243e-05,0.00012286
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,4.437e-05,1.731e-05,0,0,1.767e-05,2e-06,0,4.452e-05,3.472e-05
"Orn_1",0,-0.0515315,-0.03898071,0,0,-0.11184516,-0.00995324,0,-0.05123694,-0.10030502
"Orn_2",0,Inf,Inf,0,0,Inf,Inf,0,Inf,-Inf
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
