"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",90055.41341027,136282.40528189,123199.29437483,90818.59487985,91908.8541221,509151.06613313,145004.47921993,383771.2532738,1101161.83467765,535317.28794725
"Ser_1",2830.84390169,18069.14452458,17680.32265886,10086.48670019,9237.59563484,39235.46568847,2010.81244264,18455.78449438,84604.00930875,16136.43201452
"Asn_0",111763.88896342,320101.86627201,313591.46082254,188805.53238388,193145.29613679,687948.20485641,172529.41009065,539290.6274663,1681891.84048115,627182.95221316
"Asn_1",1343.1036329,5616.63510127,6141.38417401,3456.79576378,3589.78967338,11251.14885384,2911.20079063,9494.92301034,40258.1545756,8488.55084956
"Asn_2",0,0,0,0,0,410.77422488,0,128.14856229,0,0
"Gly_0",328096.13317179,344232.00857368,317338.88290386,233432.33081403,240962.40600158,549695.4886911,433517.18579748,417381.31039559,1280112.78188337,1280112.78188337
"Gly_1",5494.67425764,35499.0019699,29560.65771374,18631.94522377,21568.34004721,32774.43758916,10674.98589105,17137.73658706,72124.2843496,35549.63343865
"Arg_0",46081.53171596,114668.23575208,105899.34876914,103201.22123535,109496.85738597,94544.94154317,45192.8299934,83865.1644216,113543.96225222,53624.16697964
"Arg_1",0,3546.87320031,1303.74139445,493.96784583,2457.46464542,903.21756386,2171.23079405,2093.10936037,2450.70939721,299.12518841
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",37171.21322438,10079.00610647,8943.80330151,9742.59174442,9983.85691079,48698.26222329,39057.48373091,42735.16431247,75082.17572571,94607.21925073
"Arg_4",4959.54722603,10446.64681899,10013.47194744,8542.49664427,7917.78325527,21208.55600133,5320.78017981,16476.77595388,38387.81123008,15530.87101144
"Ala_0",34991.46666284,161003.68096399,121289.43965954,98963.5958992,95743.52227992,183544.19629895,55277.9304643,101110.31164539,458323.81181084,266192.75252714
"Ala_1",6294.82963037,95705.46426632,72585.70711711,52722.52918363,58605.7208316,33431.64052422,6609.33682074,23104.21393646,115144.96584568,34857.27311757
"Asp_0",4236754.26234634,1926821.75229049,1532443.03106144,1273279.87139664,1262011.90793295,8327024.99966476,5577641.91452511,6862189.74938544,22535926.9273742,27381151.2167596
"Asp_1",898975.47695884,2105763.10540347,1520632.33025112,1187892.50327187,1147685.60643007,4061152.58173629,1093929.32310386,3236649.31756501,12967144.7790055,6822126.80554895
"Glu_0",7553197.53827656,5616480.22076975,4488627.19469225,3622800.62921862,3770902.54173385,16291210.3766749,9330420.48845928,13670945.7706363,38734346.3501362,39873591.8310225
"Glu_1",1043384.84736909,5690087.89290297,4085539.25076957,3177931.65879411,3330632.01358267,7762822.3633123,1542871.89219472,6102295.80266323,19395543.5047174,6951796.40849555
"Orn_0",80074.06425164,172760.34413901,156414.93828247,99450.58708805,95365.17564663,285982.6446723,88361.74122885,161081.93683275,570809.57758038,466916.49417119
"Orn_1",1683.66592188,15302.18753002,7704.11530045,6925.17521203,8685.45107147,6383.10471575,2330.08134966,14204.03332695,50978.66699123,18716.72625143
"Orn_2",2387.36019392,0,0,164.17289312,4846.37276578,0,0,7431.83147462,0,0
"Pro_0",165616.38497284,589105.26198392,496849.15491851,337901.88611908,349017.07974142,592439.82007062,200073.48520209,544644.48749457,2612070.50124945,1411629.59003694
"Pro_1",18546.71982621,510131.70694827,369310.92350101,271845.69861299,286294.39975001,227472.01796061,26324.09858858,190018.33291301,1083484.49375331,217724.37235131
