"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",82599.9999999989,125000.000000002,113000.000000003,83300.0000000002,84299.9999999955,466999.999999999,133000.000000002,352000.000000005,1010000,490999.999999997
"Ser_1",2596.48695647346,16573.2550794118,16216.6225917883,9251.45718492333,8472.84322555514,35987.2809766924,1844.34340449233,16927.8863036336,77599.9010416591,14800.5459519364
"Asn_0",102999.477435366,294999.800542854,288999.934527032,173999.592827436,177999.036680798,634000.000000003,158999.827640081,497000,1549999.5774938,577999.897225025
"Asn_1",1237.7787996937,5176.18423751603,5659.78301685524,3185.71732401565,3308.28198526656,10368.8451005166,2682.90735876645,8750.34071760105,37101.1506691232,7822.88724736822
"Asn_2",0,0,0,0,0,378.561724175556,0,118.099281193441,0,0
"Gly_0",305000.000000001,320000,294999.999999999,217000.000000003,224000.000000004,511000.000000004,403000.000000002,388000.000000003,1190000,1190000
"Gly_1",5107.87991427721,33000.0707297286,27479.7527039735,17320.3604636035,20050.0495108081,30467.3004465428,9923.52657525988,15931.3357598045,67047.1380261896,33047.1380261928
"Arg_0",40990.9656448097,102000.986886391,94200.7872906728,91800.7183492882,97400.8838722782,84100.6864653411,40200.4376301924,74600.6902459689,101000.910398218,47700.3759324403
"Arg_1",0,3155.05479280865,1159.71880099435,439.399868972788,2185.99176508834,803.440310061375,1931.37779001021,1861.88632814131,2179.98276024438,266.081223106672
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",33064.9582927978,8965.59158646734,7955.7931391234,8666.34047558389,8880.95339702323,43318.6293819623,34742.85498266,38014.2670377219,66787.9467349434,84156.0844366317
"Arg_4",4411.67258087467,9292.6195140421,8907.29689960845,7598.81829936865,7043.1161750514,18865.6747736848,4733.00060637172,14656.6082313796,34147.1603203385,13815.1961611861
"Ala_0",32599.9999999986,149999.999999996,112999.999999998,92199.9999999981,89199.999999998,170999.999999996,51499.9999999955,94200.0000000013,427000.000000002,248000.000000002
"Ala_1",5864.61401939412,89164.5430340093,67624.8890856189,49119.2457849026,54600.3549242201,31146.7790587623,6157.62644167563,21525.1730253548,107275.4658368,32474.9778162201
"Asp_0",3760000,1710000,1360000,1130000,1120000,7390000,4950000,6090000,2e+07,24300000
"Asp_1",797815.399256432,1868805.40764056,1349518.33590126,1054221.11732972,1018538.62956574,3604158.45758112,970831.443170039,2872435.04826374,11507975.5279597,6054445.26647109
"Glu_0",6630000,4930000,3940000,3180000,3310000,14300000,8190000,1.2e+07,3.4e+07,3.5e+07
"Glu_1",915856.033554167,4994610.89674541,3586179.90530972,2789505.60885404,2923542.00166883,6814003.20962665,1354292.74733162,5356436.25982655,17024902.7361752,6102105.75782745
"Orn_0",68599.9999999982,148004.971630912,134001.750335252,85200.0000000041,81699.9999999958,245003.292987186,75700.1097040582,138000.000000001,489016.479779982,400010.562714591
"Orn_1",1442.40814201709,13109.4890008389,6600.1684134577,5932.84509766239,7440.88549858544,5468.44958592782,1996.19667217526,12168.6927638219,43673.773627978,16034.7477407052
"Orn_2",2045.26785087662,0,0,140.648043449363,4151.92078533331,0,0,6366.90099252052,0,0
"Pro_0",149000.000000002,530000.000000001,446999.999999997,304000.000000002,314000.000000003,533000,180000.000000004,490000.000000003,2350000,1270000
"Pro_1",16685.917003674,458949.90612045,332257.751011021,244571.266906826,257570.321739287,204649.622570192,23682.9869842993,170953.686790603,974777.885628408,195879.963722585
