"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.96952354434755,0.882935127329557,0.874500491759344,0.900039853868121,0.908671083789511,0.928452900624419,0.986322426599981,0.954116002253889,0.928650323554335,0.97073837489819
"Ser_1",0.0304764556524499,0.117064872670443,0.125499508240656,0.0999601461318793,0.0913289162104889,0.0715470993755806,0.013677573400019,0.0458839977461108,0.0713496764456646,0.0292616251018103
"Asn_0",0.988125370482676,0.982756168048209,0.980792138592842,0.982020420760092,0.981753180127495,0.983330825822748,0.983406346022131,0.982468880646487,0.976623316963588,0.986646324699689
"Asn_1",0.0118746295173239,0.0172438319517909,0.0192078614071578,0.0179795792399078,0.0182468198725051,0.0160820268383582,0.0165936539778695,0.0172976608653861,0.0233766830364119,0.0133536753003107
"Asn_2",0,0,0,0,0,0.000587147338893425,0,0.000233458488127314,0,0
"Gly_0",0.983528700026297,0.906515399100317,0.914786114558953,0.926082563080157,0.917844517749545,0.943731966045934,0.975967640648707,0.960559297213629,0.94666298820626,0.972979669385821
"Gly_1",0.0164712999737032,0.0934846008996832,0.085213885441047,0.0739174369198431,0.0821554822504547,0.056268033954066,0.024032359351293,0.0394407027863713,0.0533370117937398,0.0270203306141788
"Arg_0",0.522393541583177,0.826492763914877,0.839402679461595,0.846048421728188,0.843217789410983,0.571769553410797,0.492606113286134,0.577702285357831,0.494821132554297,0.326854291883392
"Arg_1",0,0.0255647522206396,0.0103340014130968,0.00404957142315087,0.0189245422684817,0.00546229438288047,0.023666620626775,0.0144183114566002,0.0106801169823118,0.00182325166336585
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.421383599853345,0.0726463223212205,0.0708923382733085,0.079870221207084,0.0768840855809858,0.294507386527692,0.425730259827273,0.294379701735823,0.327205837195541,0.576657454967924
"Arg_4",0.0562228585634778,0.0752961615432632,0.0793709808519997,0.0700317856415768,0.0609735827395493,0.12826076567863,0.0579970062598178,0.113499701449746,0.167292913267851,0.0946650014853174
"Ala_0",0.847532227505589,0.627183269297023,0.625605920491032,0.652423521565732,0.620304449505746,0.845919983470482,0.89320360858238,0.813997486781563,0.799213191141426,0.88421434928324
"Ala_1",0.152467772494411,0.372816730702977,0.374394079508968,0.347576478434268,0.379695550494254,0.154080016529518,0.10679639141762,0.186002513218438,0.200786808858574,0.11578565071676
"Asp_0",0.82495662299386,0.477813070347228,0.501934230147081,0.517346889028094,0.523722127117914,0.672175139963001,0.836031231003892,0.679502832344631,0.634759919191009,0.800541725822323
"Asp_1",0.17504337700614,0.522186929652772,0.498065769852919,0.482653110971906,0.476277872882086,0.327824860036999,0.163968768996108,0.320497167655369,0.365240080808991,0.199458274177677
"Glu_0",0.878627947646811,0.496744915371614,0.523505955155328,0.532707431463569,0.530998266974676,0.677275638258883,0.85810444176597,0.691386170545584,0.666341299576745,0.851537879986468
"Glu_1",0.121372052353189,0.503255084628386,0.476494044844672,0.467292568536431,0.469001733025324,0.322724361741117,0.14189555823403,0.308613829454416,0.333658700423255,0.148462120013532
"Orn_0",0.951618970304472,0.918632449567624,0.953057764273802,0.933458302820495,0.875737404139835,0.978167399125546,0.974307701803623,0.881588632262166,0.918012816362663,0.961459131162523
"Orn_1",0.0200090809164012,0.0813675504323754,0.0469422357261983,0.0650007454901475,0.0797584057654013,0.0218326008744542,0.025692298196377,0.0777375450005526,0.081987183637337,0.0385408688374775
"Orn_2",0.0283719487791268,0,0,0.0015409516893575,0.0445041900947639,0,0,0.040673822737281,0,0
"Pro_0",0.899291881256849,0.535921988282638,0.573622783244766,0.554166829980242,0.549363723162707,0.722565271765297,0.883726238823646,0.741353002173717,0.706814133406638,0.866373803742327
"Pro_1",0.100708118743151,0.464078011717362,0.426377216755234,0.445833170019758,0.450636276837293,0.277434728234703,0.116273761176354,0.258646997826283,0.293185866593362,0.133626196257673
