"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-0.52256463,-0.19945715,-0.06547297,-0.40717257,-0.9633192,0,-0.17235992,0,-0.42250619,-0.10277497
"Asn_1",-61.64845003,-23.53053228,-7.72403434,-48.03531715,-113.64553188,0,-20.33379412,0,-49.84426901,-12.1246586
"Asn_2",790.69804053,301.80070639,99.06784054,616.09709783,1457.60841238,0,260.79960097,0,639.29856818,155.5098919
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-9.03435519,0.98688639,0.78729067,0.71834929,0.88387228,0.68646534,0.43763019,0.69024597,0.91039822,0.37593244
"Arg_1",29.89056045,-173.33344358,-138.27711457,-126.16847938,-155.24038728,-120.56848897,-76.86391125,-121.23250561,-159.89931463,-66.0275227
"Arg_2",483.45667148,1554.76485416,1240.31689119,1131.70495781,1392.47391103,1081.47421118,689.45326013,1087.43030203,1434.26351808,592.25311393
"Arg_3",0,0,0,0,0,0,0,0,0,0
"Arg_4",0,0,0,0,0,0,0,0,0,0
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,1e-08,-1e-08
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,4.97163091,1.75033526,0,0,3.29298719,0.10970406,0,16.47977998,10.56271459
"Orn_1",0,-706.93810626,-248.88788255,0,0,-468.24435826,-15.59930395,0,-2343.33253125,-1501.95892993
"Orn_2",0,4870.24923105,1714.64235395,0,0,3225.83647081,107.46697259,0,16143.72369712,10347.31931805
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
