"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-4.68e-06,-6.2e-07,-2.1e-07,-2.16e-06,-4.99e-06,0,-1e-06,0,-2.5e-07,-1.6e-07
"Asn_1",-0.04589999,-0.00418944,-0.0012577,-0.01389591,-0.03165799,0,-0.00698468,0,-0.00123812,-0.00142835
"Asn_2",Inf,Inf,Inf,Inf,Inf,0,Inf,0,Inf,Inf
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-0.00019605,8.61e-06,7.43e-06,6.96e-06,8.07e-06,7.26e-06,9.68e-06,8.23e-06,8.02e-06,7.01e-06
"Arg_1",Inf,-0.04886937,-0.10606177,-0.25541841,-0.06317095,-0.13348776,-0.03540108,-0.05791981,-0.06524613,-0.22073542
"Arg_2",Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf
"Arg_3",0,0,0,0,0,0,0,0,0,0
"Arg_4",0,0,0,0,0,0,0,0,0,0
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,2.878e-05,1.119e-05,0,0,1.151e-05,1.24e-06,0,2.887e-05,2.262e-05
"Orn_1",0,-0.0461985,-0.03230584,0,0,-0.07335683,-0.00669475,0,-0.04596692,-0.08024688
"Orn_2",0,Inf,Inf,0,0,Inf,Inf,0,Inf,Inf
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
